Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	kzoi	name	וְ⁠לָבָ֥ן	1	rc://*/tw/dict/bible/names/laban
1:1	nyaa	name	מֹשֶׁה֙	1	rc://*/tw/dict/bible/names/moses
1:1	u7vy	name	מֹשֶׁה֙	2	rc://*/tw/dict/bible/names/moses
1:1	pdta	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:1	usw7	name	הַ⁠יַּרְדֵּ֑ן	1	rc://*/tw/dict/bible/names/jordanriver
1:1	wt7c		בַּ⁠מִּדְבָּ֡ר	1	rc://*/tw/dict/bible/other/desert
1:3	j752	name	מֹשֶׁה֙	1	rc://*/tw/dict/bible/names/moses
1:3	hqwm	name	מֹשֶׁה֙	2	rc://*/tw/dict/bible/names/moses
1:3	rqnm	keyterm	בְּנֵ֣י	1	rc://*/tw/dict/bible/kt/son
1:3	dn2u	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:3	p7d5	keyterm	צִוָּ֧ה	1	rc://*/tw/dict/bible/kt/command
1:3	ykvs	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	pu9q		מֶ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
1:4	wnvn	name	הָֽ⁠אֱמֹרִ֔י	1	rc://*/tw/dict/bible/names/amorite
1:4	pbh7		מֶ֣לֶךְ	2	rc://*/tw/dict/bible/other/king
1:4	t5ne	name	הַ⁠בָּשָׁ֔ן	1	rc://*/tw/dict/bible/names/bashan
1:5	gzxy	name	מֹשֶׁ֔ה	1	rc://*/tw/dict/bible/names/moses
1:5	z6uq	name	הַ⁠יַּרְדֵּ֖ן	1	rc://*/tw/dict/bible/names/jordanriver
1:5	fhqg	name	מוֹאָ֑ב	1	rc://*/tw/dict/bible/names/moab
1:5	p9x6	name	מֹשֶׁ֔ה	2	rc://*/tw/dict/bible/names/moses
1:5	w94k	keyterm	הַ⁠תּוֹרָ֥ה	1	rc://*/tw/dict/bible/kt/lawofmoses
1:6	nguv	keyterm	יְהוָ֧ה	1	rc://*/tw/dict/bible/kt/yahweh
1:6	rpzg	keyterm	אֱלֹהֵ֛י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
1:7	jh9p	name	הָֽ⁠אֱמֹרִי֮	1	rc://*/tw/dict/bible/names/amorite
1:7	gfgt		אֶ֤רֶץ	1	rc://*/tw/dict/bible/other/earth
1:7	zt2k	name	הַֽ⁠כְּנַעֲנִי֙	1	rc://*/tw/dict/bible/names/canaan
1:7	dnan	name	וְ⁠הַ⁠לְּבָנ֔וֹן	1	rc://*/tw/dict/bible/names/lebanon
1:7	brnt	name	פְּרָֽת	1	rc://*/tw/dict/bible/names/euphrates
1:8	w2dm	name	וּֽ⁠לְ⁠יַעֲקֹב֙	1	rc://*/tw/dict/bible/names/jacob
1:8	z5ty		הָ⁠אָ֑רֶץ	1	rc://*/tw/dict/bible/other/earth
1:8	b7st	keyterm	וּ⁠רְשׁ֣וּ	1	rc://*/tw/dict/bible/kt/inherit
1:8	b3ua		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:8	rcfw		נִשְׁבַּ֣ע	1	rc://*/tw/dict/bible/other/oath
1:8	fthg	keyterm	יְ֠הוָה	1	rc://*/tw/dict/bible/kt/yahweh
1:8	zdax		לַ⁠אֲבֹ֨תֵי⁠כֶ֜ם	1	rc://*/tw/dict/bible/other/father
1:10	nf6p	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:10	xagg	keyterm	אֱלֹהֵי⁠כֶ֖ם	1	rc://*/tw/dict/bible/kt/god
1:10	tvdh	keyterm	הַ⁠שָּׁמַ֖יִם	1	rc://*/tw/dict/bible/kt/heaven
1:11	t25p	keyterm	יְהוָ֞ה	1	rc://*/tw/dict/bible/kt/yahweh
1:11	ukvy	keyterm	אֱלֹהֵ֣י	1	rc://*/tw/dict/bible/kt/god
1:11	xpfn		אֲבֽוֹתֵ⁠כֶ֗ם	1	rc://*/tw/dict/bible/other/father
1:11	kakc	keyterm	וִ⁠יבָרֵ֣ךְ	1	rc://*/tw/dict/bible/kt/bless
1:13	jsmy		חֲכָמִ֧ים	1	rc://*/tw/dict/bible/other/wisemen
1:13	afza		וִ⁠ידֻעִ֖ים	1	rc://*/tw/dict/bible/other/know
1:13	sudc		לְ⁠שִׁבְטֵי⁠כֶ֑ם	1	rc://*/tw/dict/bible/other/tribe
1:13	ux3b	keyterm	וַ⁠אֲשִׂימֵ֖⁠ם	1	rc://*/tw/dict/bible/kt/appoint
1:13	ujd2		בְּ⁠רָאשֵׁי⁠כֶֽם	1	rc://*/tw/dict/bible/other/head
1:14	ngxf	keyterm	טֽוֹב	1	rc://*/tw/dict/bible/kt/good
1:15	xgku		רָאשֵׁ֣י	1	rc://*/tw/dict/bible/other/head
1:15	uakm		שִׁבְטֵי⁠כֶ֗ם	1	rc://*/tw/dict/bible/other/tribe
1:15	qmxq		חֲכָמִים֙	1	rc://*/tw/dict/bible/other/wisemen
1:15	gkxw		וִֽ⁠ידֻעִ֔ים	1	rc://*/tw/dict/bible/other/know
1:15	ubws		רָאשִׁ֖ים	1	rc://*/tw/dict/bible/other/head
1:15	b8vm		שָׂרֵ֨י	1	rc://*/tw/dict/bible/other/prince
1:15	vye3		וְ⁠שָׂרֵ֣י	1	rc://*/tw/dict/bible/other/prince
1:15	xk85		וְ⁠שָׂרֵ֤י	1	rc://*/tw/dict/bible/other/prince
1:15	xwkx		וְ⁠שָׂרֵ֣י	2	rc://*/tw/dict/bible/other/prince
1:15	fhek		לְ⁠שִׁבְטֵי⁠כֶֽם	1	rc://*/tw/dict/bible/other/tribe
1:16	ga6n	keyterm	וָ⁠אֲצַוֶּה֙	1	rc://*/tw/dict/bible/kt/command
1:16	mupd	keyterm	אֲחֵי⁠כֶם֙	1	rc://*/tw/dict/bible/kt/brother
1:16	wr6d	keyterm	וּ⁠שְׁפַטְתֶּ֣ם	1	rc://*/tw/dict/bible/kt/judge
1:16	ewze	keyterm	אָחִ֖י⁠ו	1	rc://*/tw/dict/bible/kt/brother
1:17	wpg2		פָנִ֜ים	1	rc://*/tw/dict/bible/other/face
1:17	qcwr		הַ⁠מִּשְׁפָּ֖ט	1	rc://*/tw/dict/bible/other/ordinance
1:17	dkux	keyterm	לֵ⁠אלֹהִ֣ים	1	rc://*/tw/dict/bible/kt/god
1:18	tdvt	keyterm	וָ⁠אֲצַוֶּ֥ה	1	rc://*/tw/dict/bible/kt/command
1:19	vhjj		וְ⁠הַ⁠נּוֹרָ֨א	1	rc://*/tw/dict/bible/other/awe
1:19	yrjj	name	הָֽ⁠אֱמֹרִ֔י	1	rc://*/tw/dict/bible/names/amorite
1:19	j7d2	keyterm	צִוָּ֛ה	1	rc://*/tw/dict/bible/kt/command
1:19	efb7	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:19	ts2p	keyterm	אֱלֹהֵ֖י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
1:20	b5tb	name	הָ⁠אֱמֹרִ֔י	1	rc://*/tw/dict/bible/names/amorite
1:20	cyce	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:20	cnqv	keyterm	אֱלֹהֵ֖י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
1:21	mgyu	keyterm	יְהוָ֧ה	1	rc://*/tw/dict/bible/kt/yahweh
1:21	zc7z	keyterm	אֱלֹהֶ֛י⁠ךָ	1	rc://*/tw/dict/bible/kt/god
1:21	rqfh		הָ⁠אָ֑רֶץ	1	rc://*/tw/dict/bible/other/earth
1:21	kff9	keyterm	יְהוָ֜ה	1	rc://*/tw/dict/bible/kt/yahweh
1:21	bsme	keyterm	אֱלֹהֵ֤י	1	rc://*/tw/dict/bible/kt/god
1:21	g4tr		אֲבֹתֶ֨י⁠ךָ֙	1	rc://*/tw/dict/bible/other/father
1:21	pmht	keyterm	תִּירָ֖א	1	rc://*/tw/dict/bible/kt/fear
1:21	zt3w		תֵּחָֽת	1	rc://*/tw/dict/bible/other/courage
1:22	tqfr		הָ⁠אָ֑רֶץ	1	rc://*/tw/dict/bible/other/earth
1:22	mekt		וְ⁠יָשִׁ֤בוּ	1	rc://*/tw/dict/bible/other/return
1:23	dqsy		לַ⁠שָּֽׁבֶט	1	rc://*/tw/dict/bible/other/tribe
1:25	dra5		בְ⁠יָדָ⁠ם֙	1	rc://*/tw/dict/bible/other/hand
1:25	ugcd		הָ⁠אָ֔רֶץ	1	rc://*/tw/dict/bible/other/earth
1:25	q9q7		וַ⁠יָּשִׁ֨בוּ	1	rc://*/tw/dict/bible/other/return
1:25	ynpc	keyterm	טוֹבָ֣ה	1	rc://*/tw/dict/bible/kt/good
1:25	krr3		הָ⁠אָ֔רֶץ	2	rc://*/tw/dict/bible/other/earth
1:25	amrg	keyterm	יְהוָ֥ה	1	rc://*/tw/dict/bible/kt/yahweh
1:25	eap2	keyterm	אֱלֹהֵ֖י⁠נוּ	1	rc://*/tw/dict/bible/kt/god
1:26	etnw		וַ⁠תַּמְר֕וּ	1	rc://*/tw/dict/bible/other/disobey
1:26	hmsj	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:26	p8bw	keyterm	אֱלֹהֵי⁠כֶֽם	1	rc://*/tw/dict/bible/kt/god
1:27	zsw8	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:27	shan		הוֹצִיאָ֖⁠נוּ	1	rc://*/tw/dict/bible/other/know
1:27	fea9	name	מִצְרָ֑יִם	1	rc://*/tw/dict/bible/names/egypt
1:27	pfu6		בְּ⁠יַ֥ד	1	rc://*/tw/dict/bible/other/hand
1:27	je74	name	הָ⁠אֱמֹרִ֖י	1	rc://*/tw/dict/bible/names/amorite
1:27	avgk		לְ⁠הַשְׁמִידֵֽ⁠נוּ	1	rc://*/tw/dict/bible/other/destroyer
1:28	tj37	keyterm	אַחֵי⁠נוּ֩	1	rc://*/tw/dict/bible/kt/brother
1:28	nh88	keyterm	לְבָבֵ֜⁠נוּ	1	rc://*/tw/dict/bible/kt/heart
1:28	w8cj		עַ֣ם	1	rc://*/tw/dict/bible/other/peoplegroup
1:28	pnn3	keyterm	וָ⁠רָם֙	1	rc://*/tw/dict/bible/kt/exalt
