Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	vv6j	name	יְהוֹשֻׁ֔עַ	1	rc://*/tw/dict/bible/names/joshua
1:1	nhaq	keyterm	בְּנֵ֣י	1	rc://*/tw/dict/bible/kt/son
1:1	k9j2	keyterm	יִשְׂרָאֵ֔ל	1	rc://*/tw/dict/bible/kt/israel
1:1	pcgw	keyterm	בַּ⁠יהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:1	c9wf	name	הַֽ⁠כְּנַעֲנִ֛י	1	rc://*/tw/dict/bible/names/canaan
1:2	gy8d	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	dubt	name	יְהוּדָ֣ה	1	rc://*/tw/dict/bible/names/judea
1:2	fzqy		הָ⁠אָ֖רֶץ	1	rc://*/tw/dict/bible/other/earth
1:2	g5gf		בְּ⁠יָדֽ⁠וֹ	1	rc://*/tw/dict/bible/other/hand
1:3	herq	name	יְהוּדָה֩	1	rc://*/tw/dict/bible/names/judea
1:3	zzru	keyterm	אָחִ֜י⁠ו	1	rc://*/tw/dict/bible/kt/brother
1:4	dxeh	name	יְהוּדָ֔ה	1	rc://*/tw/dict/bible/names/judea
1:4	x7sp	keyterm	יְהוָ֛ה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	tzug	name	הַ⁠כְּנַעֲנִ֥י	1	rc://*/tw/dict/bible/names/canaan
1:4	ypcb	name	וְ⁠הַ⁠פְּרִזִּ֖י	1	rc://*/tw/dict/bible/names/perizzite
1:4	nbeu		בְּ⁠יָדָ֑⁠ם	1	rc://*/tw/dict/bible/other/hand
1:5	fs92	name	הַֽ⁠כְּנַעֲנִ֖י	1	rc://*/tw/dict/bible/names/canaan
1:5	zp88	name	הַ⁠פְּרִזִּֽי	1	rc://*/tw/dict/bible/names/perizzite
1:6	b2h3		יָדָ֖י⁠ו	1	rc://*/tw/dict/bible/other/hand
1:7	q5wb		מְלָכִ֡ים	1	rc://*/tw/dict/bible/other/king
1:7	d5hf		יְדֵי⁠הֶ֨ם	1	rc://*/tw/dict/bible/other/hand
1:7	dp68		מְלַקְּטִים֙	1	rc://*/tw/dict/bible/other/glean
1:7	zhfd	keyterm	אֱלֹהִ֑ים	1	rc://*/tw/dict/bible/kt/god
