Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	ssd5	keyterm; name	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus
1:1	zgyu	keyterm	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ
1:1	hj94	keyterm	υἱοῦ	1	rc://*/tw/dict/bible/kt/son
1:1	mpxb	name	Δαυεὶδ	1	rc://*/tw/dict/bible/names/david
1:1	z6q3	keyterm	υἱοῦ	2	rc://*/tw/dict/bible/kt/son
1:1	jmw4	name	Ἀβραάμ	1	rc://*/tw/dict/bible/names/abraham
1:2	aceq	name	Ἀβραὰμ	1	rc://*/tw/dict/bible/names/abraham
1:2	suej		ἐγέννησεν	1	rc://*/tw/dict/bible/other/father
1:2	h2fq	name	Ἰσαάκ	1	rc://*/tw/dict/bible/names/isaac
1:2	a7ws	name	Ἰσαὰκ	1	rc://*/tw/dict/bible/names/isaac
1:2	jkm3		ἐγέννησεν	2	rc://*/tw/dict/bible/other/father
1:2	m8q9	name	Ἰακώβ	1	rc://*/tw/dict/bible/names/jacob
1:2	v2m3	name	Ἰακὼβ	1	rc://*/tw/dict/bible/names/jacob
1:2	ve5a		ἐγέννησεν	3	rc://*/tw/dict/bible/other/father
1:2	c5dr	name	Ἰούδαν	1	rc://*/tw/dict/bible/names/judah
1:2	d7gp	keyterm	ἀδελφοὺς	1	rc://*/tw/dict/bible/kt/brother
1:3	ybty	name	Ἰούδας	1	rc://*/tw/dict/bible/names/judah
1:3	tubx		ἐγέννησεν	1	rc://*/tw/dict/bible/other/father
1:3	zbmd	name	Θαμάρ	1	rc://*/tw/dict/bible/names/tamar
1:3	szwk		ἐγέννησεν	2	rc://*/tw/dict/bible/other/father
1:3	wkrb		ἐγέννησεν	3	rc://*/tw/dict/bible/other/father
1:4	kd5f		ἐγέννησεν	1	rc://*/tw/dict/bible/other/father
1:4	epjd		ἐγέννησεν	2	rc://*/tw/dict/bible/other/father
1:4	qa87		ἐγέννησεν	3	rc://*/tw/dict/bible/other/father
1:5	dk89		ἐγέννησεν	1	rc://*/tw/dict/bible/other/father
1:5	qmbw	name	Βόες	1	rc://*/tw/dict/bible/names/boaz
1:5	hj9b	name	Ῥαχάβ	1	rc://*/tw/dict/bible/names/rahab
1:5	r5at	name	Βόες	2	rc://*/tw/dict/bible/names/boaz
1:5	cn6b		ἐγέννησεν	2	rc://*/tw/dict/bible/other/father
1:5	z625	name	Ῥούθ	1	rc://*/tw/dict/bible/names/ruth
1:5	xevu		ἐγέννησεν	3	rc://*/tw/dict/bible/other/father
1:5	rnw3	name	Ἰεσσαί	1	rc://*/tw/dict/bible/names/jesse
1:6	w69k	name	Ἰεσσαὶ	1	rc://*/tw/dict/bible/names/jesse
1:6	f5xw		ἐγέννησεν	1	rc://*/tw/dict/bible/other/father
1:6	ajce	name	Δαυεὶδ	1	rc://*/tw/dict/bible/names/david
1:6	scsw		βασιλέα	1	rc://*/tw/dict/bible/other/king
1:6	h4zv	name	Δαυεὶδ	2	rc://*/tw/dict/bible/names/david
1:6	pssq		ἐγέννησεν	2	rc://*/tw/dict/bible/other/father
1:6	ngza	name	Σολομῶνα	1	rc://*/tw/dict/bible/names/solomon
1:6	mwpa	name	Οὐρίου	1	rc://*/tw/dict/bible/names/uriah
1:7	jgnz	name	Σολομὼν	1	rc://*/tw/dict/bible/names/solomon
1:7	gbau		ἐγέννησεν	1	rc://*/tw/dict/bible/other/father
1:7	gpsg	name	Ῥοβοάμ	1	rc://*/tw/dict/bible/names/rehoboam
1:7	ajgm	name	Ῥοβοὰμ	1	rc://*/tw/dict/bible/names/rehoboam
1:7	xpx8		ἐγέννησεν	2	rc://*/tw/dict/bible/other/father
1:7	fdzs	name	Ἀβιά	1	rc://*/tw/dict/bible/names/abijah
1:7	s89t	name	Ἀβιὰ	1	rc://*/tw/dict/bible/names/abijah
1:7	uwnq		ἐγέννησεν	3	rc://*/tw/dict/bible/other/father
1:7	a9kw	name	Ἀσάφ	1	rc://*/tw/dict/bible/names/asa
1:8	vwtd	name	Ἀσὰφ	1	rc://*/tw/dict/bible/names/asa
1:8	n33u		ἐγέννησεν	1	rc://*/tw/dict/bible/other/father
1:8	zjgt	name	Ἰωσαφάτ	1	rc://*/tw/dict/bible/names/jehoshaphat
1:8	w8wr	name	Ἰωσαφὰτ	1	rc://*/tw/dict/bible/names/jehoshaphat
1:8	ukmc		ἐγέννησεν	2	rc://*/tw/dict/bible/other/father
1:8	uqrc	name	Ἰωράμ	1	rc://*/tw/dict/bible/names/jehoram
1:8	y5g3	name	Ἰωρὰμ	1	rc://*/tw/dict/bible/names/jehoram
1:8	nyzs		ἐγέννησεν	3	rc://*/tw/dict/bible/other/father
1:8	qacv	name	Ὀζείαν	1	rc://*/tw/dict/bible/names/uzziah
1:9	twn3	name	Ὀζείας	1	rc://*/tw/dict/bible/names/uzziah
1:9	vh3h		ἐγέννησεν	1	rc://*/tw/dict/bible/other/father
1:9	b7bq	name	Ἰωαθάμ	1	rc://*/tw/dict/bible/names/jotham
1:9	yjnm	name	Ἰωαθὰμ	1	rc://*/tw/dict/bible/names/jotham
1:9	du2z		ἐγέννησεν	2	rc://*/tw/dict/bible/other/father
1:9	qrkv	name	Ἀχάζ	1	rc://*/tw/dict/bible/names/ahaz
1:9	nmtu	name	Ἀχὰζ	1	rc://*/tw/dict/bible/names/ahaz
1:9	vrcu		ἐγέννησεν	3	rc://*/tw/dict/bible/other/father
1:9	qrqa	name	Ἑζεκίαν	1	rc://*/tw/dict/bible/names/hezekiah
1:10	bm5x	name	Ἑζεκίας	1	rc://*/tw/dict/bible/names/hezekiah
1:10	mdna		ἐγέννησεν	1	rc://*/tw/dict/bible/other/father
1:10	fjmb	name	Μανασσῆ	1	rc://*/tw/dict/bible/names/manasseh
1:10	sjg8	name	Μανασσῆς	1	rc://*/tw/dict/bible/names/manasseh
1:10	dmtz		ἐγέννησεν	2	rc://*/tw/dict/bible/other/father
1:10	az6q		ἐγέννησεν	3	rc://*/tw/dict/bible/other/father
1:10	b9ss	name	Ἰωσίαν	1	rc://*/tw/dict/bible/names/josiah
1:11	avg3	name	Ἰωσίας	1	rc://*/tw/dict/bible/names/josiah
1:11	js6c		ἐγέννησεν	1	rc://*/tw/dict/bible/other/father
1:11	p5yk	keyterm	ἀδελφοὺς	1	rc://*/tw/dict/bible/kt/brother
