Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	h7h6	name	נְחֶמְיָ֖ה	1	rc://*/tw/dict/bible/names/nehemiah
1:1	qcux	keyterm	בֶּן	1	rc://*/tw/dict/bible/kt/son
1:1	ew4v		הַ⁠בִּירָֽה	1	rc://*/tw/dict/bible/other/stronghold
1:2	uxu8	keyterm	מֵ⁠אַחַ֛⁠י	1	rc://*/tw/dict/bible/kt/brother
1:2	tb8r	name	מִֽ⁠יהוּדָ֑ה	1	rc://*/tw/dict/bible/names/judea
1:2	fzuz	keyterm	הַ⁠יְּהוּדִ֧ים	1	rc://*/tw/dict/bible/kt/jew
1:2	pfdk		הַ⁠שֶּׁ֖בִי	1	rc://*/tw/dict/bible/other/captive
1:2	tdqe	name	יְרוּשָׁלִָֽם	1	rc://*/tw/dict/bible/names/jerusalem
1:3	rft4		הַ⁠שְּׁבִי֙	1	rc://*/tw/dict/bible/other/captive
1:3	q9bs		בַּ⁠מְּדִינָ֔ה	1	rc://*/tw/dict/bible/other/province
1:3	ar5g	keyterm	בְּ⁠רָעָ֥ה	1	rc://*/tw/dict/bible/kt/evil
1:3	qs5a		וּ⁠בְ⁠חֶרְפָּ֑ה	1	rc://*/tw/dict/bible/other/shame
1:3	qkju	name	יְרוּשָׁלִַ֨ם֙	1	rc://*/tw/dict/bible/names/jerusalem
1:3	s6t3		וּ⁠שְׁעָרֶ֖י⁠הָ	1	rc://*/tw/dict/bible/other/gate
1:3	zea4		בָ⁠אֵֽשׁ	1	rc://*/tw/dict/bible/other/fire
1:4	vew9		וָ⁠אֶתְאַבְּלָ֖⁠ה	1	rc://*/tw/dict/bible/other/mourn
1:4	xws4		צָם֙	1	rc://*/tw/dict/bible/other/fast
1:4	jcvj	keyterm	וּ⁠מִתְפַּלֵּ֔ל	1	rc://*/tw/dict/bible/kt/pray
1:4	vzuk		לִ⁠פְנֵ֖י	1	rc://*/tw/dict/bible/other/face
1:4	ra9d	keyterm	אֱלֹהֵ֥י	1	rc://*/tw/dict/bible/kt/god
1:4	s3jj	keyterm	הַ⁠שָּׁמָֽיִם	1	rc://*/tw/dict/bible/kt/heaven
1:5	nvu2	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:5	rdvc	keyterm	אֱלֹהֵ֣י	1	rc://*/tw/dict/bible/kt/god
1:5	s52f	keyterm	הַ⁠שָּׁמַ֔יִם	1	rc://*/tw/dict/bible/kt/heaven
1:5	pqdq	keyterm	הָ⁠אֵ֥ל	1	rc://*/tw/dict/bible/kt/god
1:5	hmjw	keyterm	וְ⁠הַ⁠נּוֹרָ֑א	1	rc://*/tw/dict/bible/kt/fear
1:5	w5v8	keyterm	הַ⁠בְּרִית֙	1	rc://*/tw/dict/bible/kt/covenant
1:5	f9x8	keyterm	וָ⁠חֶ֔סֶד	1	rc://*/tw/dict/bible/kt/covenantfaith
