Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

MAT	front	intro	sa9c			0		# Introduction à l'évangile de Matthieu<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre de Matthieu<br><br>1. La naissance de Jésus-Christ et le début de son ministère (1:1-4:25)<br>1. Le sermon de Jésus sur la montagne (5:1-7:28)<br>1. Jésus illustre le royaume de Dieu par des actes de guérison (8:1-9:34)<br>1. Jésus enseigne sur la mission et le royaume (9:35-10:42)<br>1. Jésus enseigne sur l'évangile du royaume de Dieu. L'opposition à Jésus commence. (11:1-12:50)<br>1. Jésus raconte des paraboles sur le royaume de Dieu (13:1-52)<br>1. Nouvelle opposition à Jésus et incompréhension du royaume de Dieu (13:53-17:57)<br>1. Jésus enseigne la vie dans le royaume de Dieu (18:1-35)<br>1. Jésus exerce son ministère en Judée (19:1-22:46)<br>1. Jésus enseigne sur le jugement dernier et le salut (23:1-25:46)<br>1. La crucifixion de Jésus, sa mort et sa résurrection (26:1-28:19)<br><br>### De quoi parle le livre de Matthieu ?<br><br>L'Évangile de Matthieu est l'un des quatre livres du Nouveau Testament qui décrivent une partie de la vie de Jésus-Christ. Les auteurs des évangiles ont écrit sur différents aspects de qui était Jésus et de ce qu'il a fait. Matthieu a montré que Jésus était le Messie, et que Dieu sauverait Israël à travers lui. Matthieu a souvent expliqué que Jésus avait accompli les prophéties de l'Ancien Testament concernant le Messie. Cela peut indiquer qu'il s'attendait à ce que la plupart de ses premiers lecteurs soient juifs. (Voir : [[rc://fr/tw/dict/bible/kt/christ]])<br><br>### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, " L'Évangile de Matthieu ", ou " L'Évangile selon Matthieu. " Ou bien ils peuvent choisir un titre qui peut être plus clair, tel que : "La bonne nouvelle sur Jésus que Matthieu a écrite." (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>### Qui a écrit le livre de Matthieu ?<br><br>Le livre ne donne pas le nom de l'auteur. Cependant, depuis les premiers temps du christianisme, la plupart des chrétiens pensent que l'auteur était l'apôtre Matthieu.<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Qu'est-ce que le " royaume des cieux ? "<br><br>Matthieu a parlé du " royaume des cieux " de la même manière que les autres auteurs de l'Évangile ont parlé du royaume de Dieu. Le royaume des cieux représente Dieu qui règne sur tous les hommes et sur toute la création, partout. Ceux que Dieu accepte dans son royaume seront bénis. Ils vivront avec Dieu pour toujours.<br><br>### Quelles étaient les méthodes d'enseignement de Jésus ?<br><br>Les gens considéraient Jésus comme un rabbin. Un rabbin est un enseignant de la loi de Dieu. Jésus enseignait selon des méthodes semblables à celles des autres enseignants religieux en Israël. Il avait des étudiants qui le suivaient partout où il allait. Ces étudiants étaient appelés des disciples. Il racontait souvent des paraboles. Les paraboles sont des histoires qui enseignent des leçons morales. (Voir : [[rc://fr/tw/dict/bible/kt/lawofmoses]] et [[rc://fr/tw/dict/bible/kt/disciple]] et [[rc://fr/tw/dict/bible/kt/parable]])<br><br>## Partie 3 : Questions importantes de traduction<br><br>### Que sont les Évangiles synoptiques ?<br><br>Les Évangiles de Matthieu, Marc et Luc sont appelés les Évangiles synoptiques parce qu'ils ont beaucoup de passages similaires. Le mot "synoptique" signifie "voir ensemble". <br><br>Les textes sont considérés comme "parallèles" lorsqu'ils sont identiques ou presque parmi deux ou trois évangiles. Lorsqu'ils traduisent des passages parallèles, les traducteurs doivent utiliser la même formulation et les rendre aussi semblables que possible.<br><br>### Pourquoi Jésus se désigne comme le "Fils de l'homme" ?<br><br>Dans les évangiles, Jésus se désigne comme le "Fils de l'homme". Il s'agit d'une référence à Daniel 7:13-14. Dans ce passage, il y a une personne décrite comme un "fils de l'homme". Cela signifie que cette personne était quelqu'un qui ressemblait à un être humain. Dieu a donné l'autorité au fils de l'homme pour régner sur les nations pour toujours. Tous les peuples l'adoreront pour toujours.<br><br>Les Juifs de l'époque de Jésus n'utilisaient pas "fils de l'homme" comme titre pour qui que ce soit. Par conséquent, Jésus l'a utilisé pour lui-même afin de les aider à comprendre qui il était vraiment. (Voir : [[rc://fr/tw/dict/bible/kt/sonofman]])<br><br>Traduire le titre "Fils de l'homme" peut être difficile dans de nombreuses langues. Les lecteurs peuvent mal comprendre une traduction littérale. Les traducteurs peuvent envisager des alternatives, telles que "L'humain". Il peut également être utile d'inclure une note de bas de page pour expliquer le titre.<br><br>### Quels sont les principaux problèmes dans le texte du livre de Matthieu ?<br><br>Les versets suivants se trouvent dans les anciennes versions de la Bible mais ne sont pas inclus dans la plupart des versions modernes:<br>* "Bénissez ceux qui vous maudissent ; faites du bien à ceux qui vous haïssent" (5:44)<br>* "Car c'est à vous qu'appartiennent le royaume, la puissance et la gloire pour toujours. Amen" (6:13)<br>* "Mais cette sorte de démon ne sort pas, si ce n'est par la prière et le jeûne" (17:21)<br>* "Car le Fils de l'homme est venu sauver ce qui était perdu" (18:11)<br>* "Beaucoup sont appelés, mais peu sont élus" (20:16)<br>* "Malheur à vous, scribes et pharisiens, hypocrites ! car vous dévorez les maisons des veuves, tandis que vous vous donnez en spectacle de longues prières. Vous recevrez donc une plus grande condamnation." (23:14)<br><br>Il est conseillé aux traducteurs de ne pas inclure ces passages. Cependant, si dans la région des traducteurs, il existe des versions plus anciennes de la Bible qui incluent un ou plusieurs de ces passages, les traducteurs peuvent les inclure. S'ils sont inclus, ils doivent être mis entre crochets ([]) pour indiquer qu'ils ne sont probablement pas d'origine dans l'Évangile de Matthieu. (Voir : [[rc://fr/ta/man/translate/translate-textvariants]])

MAT	1	intro	y7kk			0		# Matthieu 1 Notes générales<br><br>## Structure et formatage<br><br>### Indentation<br><br>Certaines traductions placent une citation de l'Ancien Testament plus à droite sur la page que le reste du texte. L'ULT fait cela pour le matériel cité dans 1:23.<br><br>### Généalogie<br><br>Une généalogie est une liste qui enregistre les ancêtres ou les descendants d'une personne. Les généalogies étaient importantes pour le peuple juif parce que la lignée familiale est la façon dont ils ont décidé comment quelqu'un fonctionnait dans la société. Par exemple, si quelqu'un était un descendant d'Aaron, il pouvait devenir prêtre. De même, si quelqu'un était un descendant du roi David, il pouvait devenir roi. Cette généalogie montre que Jésus était clairement un descendant du roi David, et donc, qu'il pouvait devenir roi.<br><br>### Figures de style importantes dans ce chapitre<br><br>### Utilisation de la voix passive<br><br>Matthieu utilise la voix passive très volontairement dans ce chapitre pour indiquer que Marie n'a eu de relation sexuelle avec personne. Elle est devenue enceinte de Jésus parce que le Saint-Esprit a accompli un miracle. De nombreuses langues n'ont pas de voix passive, les traducteurs de ces langues doivent donc trouver d'autres moyens de présenter les mêmes vérités. (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])

MAT	1	1	vpg1	figs-metaphor	Ἰησοῦ Χριστοῦ, υἱοῦ Δαυεὶδ, υἱοῦ Ἀβραάμ	1	of Jesus Christ, son of David, son of Abraham	Ici, **fils** signifie "descendant". Si vos lecteurs ne comprendraient pas ce que cela signifie, vous pourriez utiliser une métaphore équivalente issue de votre culture. Sinon, vous pourriez exprimer le sens d'une manière non figurative. Traduction alternative : "de Jésus-Christ, descendant du roi David, qui était un descendant d'Abraham" (voir : [[rc://fr/ta/man/translate/figs-metaphor]]).

MAT	1	3	g8y6	translate-names		0	of Perez … Zerah … of Hezron … of Ram	Sauf indication contraire, tous les noms figurant dans cette généalogie sont des noms d'hommes. (Voir : [[rc://fr/ta/man/translate/translate-names]])

MAT	1	5	q5bd	translate-names	Ῥαχάβ…Ῥούθ	1	Boaz became the father of Obed by Ruth	**Rahab** et **Ruth** sont des noms de femmes. (Voir : [[rc://fr/ta/man/translate/translate-names]])

MAT	1	11	v2im		Βαβυλῶνος	1	to Babylon	Ici, **> Babylonien <** fait référence au pays de Babylonie, et pas seulement à la ville de Babylone.

MAT	1	12	y7cx		μετὰ…τὴν μετοικεσίαν Βαβυλῶνος	1	after the deportation to Babylon	Utilisez la même formulation que celle utilisée dans [1:11](../01/11.md) pour **> Babylonien <**> .

MAT	1	16	b3bm	figs-activepassive	Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς	1	of Mary, by whom Jesus was born	Si votre langue n'utilise pas cette forme passive, vous pouvez l'énoncer à la forme active. Traduction alternative : "Marie, qui a donné naissance à Jésus" (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])

MAT	1	16	wdbo	translate-names	Μαρίας	1		**Marie** est le nom d'une femme. (Voir : [[rc://fr/ta/man/translate/translate-names]])

MAT	1	16	z2rg	figs-activepassive	ὁ λεγόμενος Χριστός	1	who is called Christ	Si votre langue n'utilise pas cette forme passive, vous pouvez l'énoncer à la forme active. Traduction alternative : "que les gens appelaient Christ" (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])

MAT	1	17	z5xw		τῆς μετοικεσίας Βαβυλῶνος	1	the deportation to Babylon	Utilisez la même formulation que celle utilisée dans [1:11](../01/11.md).

