Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

MRK	front	intro	r2f2			0		# Introduction à l'évangile de Marc<br><br>## Première partie : Introduction générale<br><br>#### Plan du livre de Marc<br><br>1. Introduction (1:1-13)<br>1. Le ministère de Jésus en Galilée<br> * Le début du ministère (1:14-3:6)<br> * Jésus devient plus populaire parmi le peuple (3:7-5:43)<br> * S'éloigner de la Galilée puis y revenir (6:1-8:26)<br>1. Progression vers Jérusalem, moments répétés où Jésus prédit sa propre mort ; les disciples comprennent mal, et Jésus leur enseigne combien il sera difficile de le suivre (8:27-10:52)<br>1. Les derniers jours du ministère et la préparation du conflit final à Jérusalem (11:1-13:37)<br>1. La mort du Christ et le tombeau vide (14:1-16:8)<br><br>### De quoi parle le livre de Marc ? <br><br>L'Évangile de Marc est l'un des quatre livres du Nouveau Testament qui décrivent une partie de la vie de Jésus-Christ. Les auteurs des évangiles ont écrit sur qui était Jésus et ce qu'il a fait pendant sa vie. Marc a beaucoup écrit sur la façon dont Jésus a souffert et est mort sur la croix. Il a fait cela pour encourager ses lecteurs qui étaient persécutés. Marc explique également les coutumes juives et certains mots araméens. Cela peut indiquer que Marc s'attendait à ce que la plupart de ses premiers lecteurs soient des païens.<br><br>### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, "L'Évangile de Marc" ou "L'Évangile selon Marc". Ils peuvent aussi choisir un titre qui peut être plus clair, comme "La bonne nouvelle sur Jésus que Marc a écrite." (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>### Qui a écrit le livre de Marc ? <br><br>Le livre ne donne pas le nom de l'auteur. Cependant, depuis les premiers temps du christianisme, la plupart des chrétiens ont pensé que l'auteur était Marc. Marc était aussi connu sous le nom de Jean Marc. Il était un ami proche de Pierre. Marc n'a peut-être pas été témoin de ce que Jésus a dit et fait. De nombreux experts pensent que Pierre l'apôtre était la source de ce que Marc a écrit sur Jésus.<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Quelles étaient les méthodes d'enseignement de Jésus ?<br><br>Les gens considéraient Jésus comme un rabbin. Un rabbin est un enseignant de la loi de Dieu. Jésus enseignait de la même manière que les autres enseignants religieux en Israël. Il avait des étudiants qui le suivaient partout où il allait. Ces étudiants étaient appelés des disciples. Jésus enseignait souvent en racontant des paraboles, des histoires qui enseignent des leçons de morale. (Voir : [[rc://fr/tw/dict/bible/kt/lawofmoses]] et [[rc://fr/tw/dict/bible/kt/disciple]] et [[rc://fr/tw/dict/bible/kt/parable]])<br><br>## Partie 3 : Questions importantes relatives à la traduction<br><br>### Que sont les évangiles synoptiques ?<br><br>Les évangiles de Matthieu, Marc et Luc sont appelés les évangiles synoptiques parce qu'ils comportent de nombreux passages similaires. Le mot "synoptique" signifie "voir ensemble". <br><br>Les textes sont considérés comme "parallèles" lorsqu'ils sont identiques ou presque parmi deux ou trois des Évangiles. Lorsqu'ils traduisent des passages parallèles, les traducteurs doivent utiliser la même formulation et les rendre aussi semblables que possible.<br><br>### Pourquoi Jésus se désigne comme le "Fils de l'homme"?<br><br>Dans les évangiles, Jésus se désigne comme le "Fils de l'homme". Cette expression pourrait signifier plusieurs choses :<br><br><br>* L'expression "fils de l'homme" peut simplement décrire que le père de quelqu'un est aussi un être humain. Par conséquent, la personne décrite est littéralement un fils d'homme, ou un être humain.<br><br><br>* L'expression est parfois une référence à Daniel 7:13-14. Dans ce passage, il y a une personne décrite comme un "fils de l'homme". Cette description nous indique que la personne qui monte sur le trône de Dieu ressemblait à un être humain. Cette description est différente de la première car Dieu donne à ce Fils de l'Homme une autorité pour toujours. Par conséquent, le titre de Fils de l'homme est devenu un titre pour le Messie.<br><br>Traduire le titre "Fils de l'homme" peut être difficile dans de nombreuses langues. Les lecteurs peuvent mal comprendre une traduction littérale. Les traducteurs peuvent envisager des alternatives, telles que "l'humain". Il peut également être utile d'inclure une note de bas de page pour expliquer le titre.<br><br>### Pourquoi Marc utilise-t-il fréquemment des termes indiquant de courtes périodes de temps ?<br><br>L'Évangile de Marc utilise le mot " immédiatement " 42 fois. Marc fait cela pour rendre les événements plus passionnants et plus vivants. Il fait passer rapidement le lecteur d'un événement à l'autre.<br><br>## Sabbat/Sabbats<br><br>Souvent, dans la culture de la Bible, les fêtes religieuses étaient écrites au pluriel du mot au lieu d'être au singulier. Cela se produit également dans Marc. Dans l'ULT, le mot devrait être gardé au pluriel, "Sabbats". Il s'agit simplement d'un souci de rendre le texte traduit aussi proche que possible du texte original. Dans l'UST, Sabbat est changé en singulier pour donner plus de sens à l'utilisation du mot dans son contexte.<br><br>### Quels sont les problèmes majeurs dans le texte du livre de Marc ?<br><br>Certains versets trouvés dans les anciennes versions de la Bible ne sont pas inclus dans la plupart des versions modernes. Il est conseillé aux traducteurs de ne pas inclure ces versets. Cependant, s'il existe des versions anciennes de la Bible dans la région du traducteur qui incluent un ou plusieurs de ces versets, les traducteurs peuvent les inclure. S'ils sont inclus, ils doivent être entourés de crochets ([]) pour indiquer qu'ils n'étaient probablement pas originaires de l'Évangile de Marc.<br>* "Si quelqu'un a des oreilles pour entendre, qu'il entende." (7:16)<br>* "où leur ver ne meurt jamais et où le feu ne s'éteint jamais" (9:44)<br>* "où leur ver ne meurt jamais et où le feu ne s'éteint jamais" (9:46)<br>* "Et s'accomplit l'Écriture qui dit : Il a été compté avec les impies" (15:28)<br><br>Le passage suivant ne se trouve pas dans les manuscrits les plus anciens. La plupart des Bibles incluent ce passage, mais les Bibles modernes le mettent entre parenthèses ([]) ou indiquent d'une manière ou d'une autre que ce passage n'était peut-être pas original dans l'Évangile de Marc. Il est conseillé aux traducteurs de faire quelque chose de similaire aux versions modernes de la Bible.<br>* "Tôt le premier jour de la semaine, après s'être levé, il apparut d'abord à Marie-Madeleine, de laquelle il avait chassé sept démons. Elle alla le dire à ceux qui étaient avec lui, pendant qu'ils étaient en deuil et en pleurs. Ils apprirent qu'il était vivant et qu'il avait été vu par elle, mais ils ne crurent pas. Après ces choses, il apparut sous une autre forme à deux d'entre eux, alors qu'ils se promenaient dans la campagne. Ils allèrent le dire aux autres disciples, mais ceux-ci ne les crurent pas. Plus tard, Jésus apparut aux onze, alors qu'ils étaient à table, et il leur reprocha leur incrédulité et la dureté de leur cœur, parce qu'ils n'avaient pas cru ceux qui l'avaient vu après sa résurrection des morts. Il leur dit : "Allez dans le monde entier, et prêchez la bonne nouvelle à toute la création. Celui qui aura cru et qui aura été baptisé sera sauvé, et celui qui n'aura pas cru sera condamné. Ces signes accompagneront ceux qui auront cru : En mon nom, ils chasseront les démons. Ils parleront des langues nouvelles. Ils saisiront des serpents avec leurs mains, et s'ils boivent quelque chose de mortel, cela ne leur fera pas de mal. Ils imposeront les mains aux malades, et ceux-ci seront guéris". Après que le Seigneur leur eut parlé, il fut enlevé au ciel et s'assit à la droite de Dieu. Les disciples partirent et prêchèrent partout, tandis que le Seigneur travaillait avec eux et confirmait la parole par les signes qui les accompagnaient." (16:9-20)<br><br>(Voir : [[rc://fr/ta/man/translate/translate-textvariants]])

MRK	1	intro	c6ep			0		# Marc 1 Notes générales<br><br>## Structure et mise en forme<br><br>Certaines traductions placent chaque ligne de poésie plus à droite que le reste du texte pour en faciliter la lecture. L'ULT fait cela avec la poésie de 1:2-3, des mots de l'Ancien Testament.<br><br>### Concepts spéciaux dans ce chapitre<br><br>### "Tu peux me rendre pur"<br><br>La lèpre est une maladie de la peau. Elle rendait une personne impure et incapable d'adorer correctement Dieu. Jésus est capable de rendre les gens physiquement "propres" ou en bonne santé, ainsi que spirituellement "propres" ou droits avec Dieu. (Voir : [[rc://fr/tw/dict/bible/kt/clean]])<br><br>### "Le royaume de Dieu est proche"<br><br>Les spécialistes débattent pour savoir si le "royaume de Dieu" était présent à ce moment-là ou est quelque chose qui est encore à venir ou une combinaison des deux. Les traductions anglaises utilisent fréquemment l'expression "at hand", mais cela peut créer des difficultés pour les traducteurs. D'autres versions utilisent la phase "est à venir" et "s'est approché". <br><br>## Figures de style importantes dans ce chapitre<br><br>### Le présent historique<br><br>Pour attirer l'attention sur un développement dans l'histoire, Jean utilise le présent dans la narration passée. Dans ce chapitre, le présent historique apparaît aux versets 12, 21, 30, 37, 40 et 44. Si cela n'est pas naturel dans votre langue, vous pouvez utiliser le passé dans votre traduction. Traduction alternative : "Jean rendit témoignage de lui" (Voir : [[rc://fr/ta/man/translate/figs-pastforfuture]])

MRK	1	1	kpq1	writing-newevent	ἀρχὴ τοῦ εὐαγγελίου Ἰησοῦ Χριστοῦ, Υἱοῦ Θεοῦ	1		Ce verset introduit le lecteur dans l'histoire de Jésus le Messie telle que racontée par Marc. Il fonctionne comme une introduction à l'ensemble du livre de Marc. Utilisez la forme naturelle de votre langue pour commencer le récit de quelque chose qui s'est réellement produit. (Voir : rc://fr//ta/man/translate/writing-newvent)

MRK	1	1	i3bc	guidelines-sonofgodprinciples	Υἱοῦ Θεοῦ	1	Son of God	**Fils de Dieu** est un titre important qui décrit la relation entre Dieu et Jésus. Si cela devait être mal compris, vous pourriez utiliser la traduction alternative : "qui est le Fils de Dieu" (Voir : [[rc://fr/ta/man/translate/guidelines-sonofgodprinciples]])

MRK	1	2	fc4t	figs-activepassive	καθὼς γέγραπται ἐν τῷ Ἠσαΐᾳ τῷ προφήτῃ	1		Si votre langue n'utilise pas la forme passive de cette manière, vous pouvez l'énoncer à la forme active ou d'une autre manière qui soit naturelle dans votre langue. Traduction alternative : "Comme l'a écrit le prophète Isaïe" (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])
