Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

JHN	front	intro	t6za			0		# Introduction à l'Évangile de Jean<br><br>## Première partie : Introduction générale<br><br>#### Schéma de l'Évangile de Jean<br><br>1. Introduction sur qui est Jésus (1:1-18)<br>1. Jean le Baptiseur baptise Jésus, et Jésus choisit 12 disciples (1:19-51)<br>1. Jésus prêche, enseigne et guérit les gens (2-11)<br>1. Les sept jours avant la mort de Jésus (12-19)<br><br> * Marie oint les pieds de Jésus (12:1-11)<br> * Jésus entre à Jérusalem à dos d'âne (12:12-19)<br> * Des hommes grecs veulent voir Jésus (12:20-36)<br> * Les chefs juifs rejettent Jésus (12 :37-50)<br> * Jésus enseigne ses disciples (13-16)<br> * Jésus prie pour lui et ses disciples (17)<br> * Jésus est arrêté et subit un procès (18:1-19:15)<br> * Jésus est crucifié et enterré (19:16-42)<br><br>1. Jésus ressuscite des morts (20:1-29)<br>1. Jean dit pourquoi il a écrit son évangile (20:30-31)<br>1. Jésus rencontre les disciples (21)<br><br>Des schémas plus détaillés figurent dans les notes générales de chaque chapitre.<br><br>### De quoi parle l'Évangile de Jean ? <br><br>L'Évangile de Jean est l'un des quatre livres du Nouveau Testament qui décrivent une partie de la vie et des enseignements de Jésus-Christ. Ces livres sont appelés "évangiles", ce qui signifie "bonne nouvelle". Leurs auteurs ont écrit sur différents aspects de qui était Jésus et de ce qu'il a fait. Jean a déclaré qu'il avait écrit son Évangile "afin que les gens croient que Jésus est le Christ, le Fils du Dieu vivant" ([20:31](../20/31.md)). L'Évangile de Jean souligne à plusieurs reprises que Jésus est Dieu sous forme humaine.<br><br>L'Évangile de Jean est très différent des trois autres Évangiles. Jean n'inclut pas certains des enseignements et des événements que les autres auteurs ont inclus dans leurs évangiles. De plus, Jean a écrit sur certains enseignements et événements qui ne figurent pas dans les autres Évangiles.<br><br>Jean a beaucoup écrit sur les signes miraculeux que Jésus a faits pour prouver que ce qu'il a dit de lui était vrai. (Voir : [[rc://fr/tw/dict/bible/kt/sign]])<br><br>### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, "L'Évangile de Jean" ou "L'Évangile selon Jean". Ou ils peuvent choisir un titre qui peut être plus clair, comme "La bonne nouvelle sur Jésus que Jean a écrite." (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>### Qui a écrit l'Évangile de Jean ?<br><br>Ce livre ne donne pas le nom de l'auteur. Cependant, depuis les premiers temps du christianisme, la plupart des chrétiens ont pensé que l'apôtre Jean en était l'auteur. Une autre preuve que l'apôtre Jean a écrit cet Évangile est le fait que son nom n'apparaît pas une seule fois dans le livre. Au lieu de cela, cet Évangile contient les expressions "le disciple que Jésus aimait" ou "l'autre disciple" dans des endroits où les autres Évangiles indiquent que Jean était présent ([13:23-25](../13/23.md) ; [19:26-27](../19/26.md) ; [20:2-8](../20/02.md) ; [21:7](../21/07.md), [20-24](../21/20.md)). L'apôtre Jean s'est probablement désigné de cette manière parce qu'il voulait dire humblement qu'il avait une relation très étroite avec Jésus. Il faisait partie du cercle restreint des disciples de Jésus qui sont devenus les " piliers " de l'église primitive ([Galates 2:9](../../gal/02/09.md)).<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Pourquoi Jean écrit-il autant sur la dernière semaine de la vie de Jésus ?<br><br>Jean a beaucoup écrit sur la dernière semaine de Jésus. Il voulait que ses lecteurs réfléchissent profondément à la dernière semaine de Jésus et à sa mort sur la croix. Il voulait que les gens comprennent que Jésus est mort volontairement sur la croix pour que Dieu puisse leur pardonner d'avoir péché contre lui. (Voir : [[rc://fr/tw/dict/bible/kt/sin]])<br><br>## Partie 3 : Questions importantes relatives à la traduction<br><br>### Pourquoi Jésus se désigne-t-il comme le "Fils de l'homme"?<br><br>Dans les Évangiles, Jésus se désigne comme le "Fils de l'homme". Il s'agit d'une référence à [Daniel 7:13-14](../../dan/07/13.md). Dans ce passage, une personne est décrite comme un "fils de l'homme". Cela signifie que cette personne était quelqu'un qui ressemblait à un être humain. Dieu a donné l'autorité à ce "fils de l'homme" pour régner sur les nations pour toujours. Tous les peuples l'adoreront pour toujours.<br><br>Les Juifs de l'époque de Jésus n'utilisaient pas "fils de l'homme" comme titre pour qui que ce soit. Mais Jésus l'a utilisé pour lui-même afin de les aider à comprendre qui il était vraiment. (Voir : [[rc://fr/tw/dict/bible/kt/sonofman]])<br><br>Traduire le titre "Fils de l'homme" peut être difficile dans de nombreuses langues. Les lecteurs peuvent mal comprendre une traduction littérale. Les traducteurs peuvent envisager des alternatives, telles que "L'humain". Il peut également être utile d'inclure une note de bas de page pour expliquer le titre.<br><br>###Que signifie le mot "signe" dans l'Évangile de Jean?<br><br>Alors que d'autres auteurs du Nouveau Testament utilisent des termes comme "œuvres puissantes" ou "merveilles" pour désigner les miracles que Jésus a faits, Jean préfère utiliser le terme "signe". Les miracles que Jean appelle "signes" étaient des manifestations significatives de la puissance divine. Jean les appelle des signes pour souligner qu'un objectif important des miracles de Jésus était de prouver que Jésus était Dieu et que ce que Jésus disait de lui-même était vrai. Jean a déclaré que dans son Évangile, il n'a écrit que sur certains des signes que Jésus a faits. Jean a dit : " Ceux-ci ont été écrits pour que vous croyiez que Jésus est le Christ, le Fils de Dieu, et pour que, croyant, vous ayez la vie en son nom " ([20:30-31](../20/30.md)).<br><br>#### Que signifient les mots " demeurer ", " résider " et " demeurer " dans l'Évangile de Jean ?<br><br>Jean a souvent utilisé les mots " demeurer ", " résider " et " demeurer " comme métaphores. Jean parlait d'un croyant devenant plus fidèle à Jésus et connaissant mieux Jésus comme si la parole de Jésus "demeurait" dans le croyant. Jean a également parlé de quelqu'un qui est spirituellement uni à quelqu'un d'autre comme si la personne "restait" dans l'autre personne. On dit des chrétiens qu'ils "demeurent" en Christ et en Dieu. Le Père est dit "demeurer" dans le Fils, et le Fils est dit "demeurer" dans le Père. Il est dit que le Fils "demeure" dans les croyants. Le Saint-Esprit est également dit "demeurer" dans les croyants.<br><br>Plusieurs traducteurs trouveront impossible de représenter ces idées dans leur langue exactement de la même manière. Par exemple, Jésus a voulu exprimer l'idée que le chrétien est spirituellement ensemble avec lui lorsqu'il a dit : " Celui qui mange ma chair et boit mon sang demeure en moi, et moi en lui " ([6:56](../06/56.md)). L'UST utilise l'idée de "sera uni à moi, et je serai uni à eux", mais les traducteurs devront peut-être trouver d'autres moyens d'exprimer cette idée.<br><br>Dans le passage, "mes paroles demeurent en vous" ([15:7](../15/07.md)), l'UST exprime cette idée par "obéissez à ce que je vous ai enseigné." Les traducteurs pourraient trouver la possibilité d'utiliser cette traduction comme modèle.<br><br>### Qu'est-ce que le double sens dans l'Évangile de Jean ?<br><br>Jean a parfois utilisé des mots ou des phrases qui pouvaient avoir deux sens (double sens) dans la langue dans laquelle il a initialement écrit cet Évangile. Par exemple, l'expression traduite par "né de nouveau" dans l'ULT pourrait également signifier "né d'en haut" ([3:3](../03/03.md), [7](../03/07.md)). Dans ce cas, vous pouvez choisir un sens et mettre l'autre sens dans une note de bas de page.<br><br>#### Quels sont les problèmes majeurs du texte de l'Évangile de Jean ?<br><br>Les versets suivants se trouvent dans les anciennes versions de la Bible mais ne sont pas inclus dans la plupart des versions modernes. Il est conseillé aux traducteurs de ne pas traduire ces versets. Cependant, s'il existe des versions anciennes de la Bible dans la région des traducteurs qui incluent ces versets, alors les traducteurs peuvent les inclure. S'ils sont traduits, ils doivent être mis entre crochets (\\[\\\]) pour indiquer qu'ils n'étaient probablement pas à l'origine dans l'Évangile de Jean.<br><br>* "attendant le mouvement de l'eau. En effet, un ange du Seigneur descendait dans la piscine et remuait l'eau à certains moments, et celui qui entrait alors le premier après le remuement de l'eau était guéri de la maladie dont il souffrait." (5:3-4)<br>* "passant au milieu d'eux, et passait ainsi" ([8:59](../08/59.md))<br><br>Le passage suivant est inclus dans la plupart des versions anciennes et modernes de la Bible. Mais il ne figure pas dans les copies les plus anciennes de la Bible. Il est conseillé aux traducteurs de traduire ce passage. Il doit être mis à l'intérieur de crochets (\\[\\]) pour indiquer qu'il n'était peut-être pas original dans l'Évangile de Jean.<br><br>* L'histoire de la femme adultère ([7:53](../07/53.md)-[8:11](../08/11.md)) (Voir : [[rc://fr/ta/man/translate/translate-textvariants]]).

JHN	1	intro	k29b			0		# Jean 1 Notes générales<br><br>## Structure et mise en forme<br><br>1. Jésus est Dieu (1:1-5)<br>2. Jean-Baptiste était le témoin de Jésus (1:6-8)<br>3. Résumé du ministère de Jésus sur terre (1:9-13)<br>4. Jésus est Dieu dans la chair (1:14-18)<br>5. Jean le Baptiste prépare la voie à Jésus (1:19-34)<br>6. Jésus rencontre André, Pierre, Philippe et Nathanaël (1:35-51)<br><br>Certaines traductions placent chaque ligne de poésie plus à droite que le reste du texte pour en faciliter la lecture. L'ULT fait cela avec la poésie dans [1:23](../01/23.md), qui sont des mots de l'Ancien Testament.<br><br>### Concepts spéciaux dans ce chapitre<br><br>## "La Parole"<br><br>Jean utilise l'expression "la Parole" pour se référer à Jésus ([1:1](../01/01.md), [14](../01/14.md)). Jean dit que le message le plus important de Dieu pour tous les peuples est en fait Jésus, une personne avec un corps physique. (Voir : [[rc://fr/tw/dict/bible/kt/wordofgod]])<br><br>### Lumière et ténèbres<br><br>Dans [1:4-9](../01/04.md), Jean utilise une métaphore étendue dans laquelle la lumière représente ce qui est vrai et bon et les ténèbres ce qui est faux et mauvais. Jean applique cette métaphore de la lumière à Jésus afin de montrer que Jésus est la vérité et la bonté de Dieu dans un corps humain. (Voir : [[rc://fr/tw/dict/bible/kt/righteous]])<br><br>### "Enfants de Dieu"<br><br>Les gens sont parfois décrits comme des "enfants de Dieu" parce que Dieu les a créés. Cependant, Jean utilise cette expression dans un sens différent dans ce chapitre. Il l'utilise pour décrire les personnes qui sont entrées dans une relation père-enfant avec Dieu en mettant leur foi et leur confiance en Jésus. Dieu a effectivement créé tous les hommes, mais ceux-ci ne peuvent devenir enfants de Dieu dans ce sens qu'en croyant en Jésus. Dans cet usage, le terme "enfants" ne désigne pas les jeunes, mais uniquement la relation que les gens entretiennent avec leur père à tout âge. (Voir : [[rc://fr/tw/dict/bible/kt/believe]])<br><br>## Figures de style importantes dans ce chapitre<br><br>### Métaphores<br><br>Jean utilise les métaphores de la lumière et des ténèbres et de " la Parole " pour dire au lecteur qu'il va écrire davantage sur le bien et le mal et sur ce que Dieu veut dire aux gens par Jésus. (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])<br><br>## Autres difficultés de traduction possibles dans ce chapitre<br><br>### "Au commencement"<br><br>Certaines langues et cultures parlent du monde comme s'il avait toujours existé, comme s'il n'avait pas eu de commencement. Mais "il y a très longtemps" est différent de "au commencement", et vous devez être sûr que votre traduction communique correctement.<br><br>### "Fils de l'homme"<br><br>Jésus se désigne lui-même comme le "Fils de l'homme" dans ce chapitre ([1:51](../01/51.md)). Votre langue ne permet peut-être pas aux gens de parler d'eux-mêmes comme s'ils parlaient de quelqu'un d'autre. Voir la discussion de ce concept dans la troisième partie de l'Introduction générale à l'Évangile de Jean. (Voir : [[rc://fr/tw/dict/bible/kt/sonofman]] et [[rc://fr/ta/man/translate/figs-123person]])

JHN	1	1	er9g	figs-explicit	ἐν ἀρχῇ ἦν	1	In the beginning	Cette phrase fait référence au tout premier temps avant que Dieu ne crée les cieux et la terre. Elle ne fait pas référence à un temps situé dans un passé lointain. Si cela risque de troubler vos lecteurs, vous pouvez exprimer le sens de manière explicite. Traduction alternative : "Avant le commencement de l'univers, il y avait" ou "Avant que l'univers ne commence, il y avait" (Voir : [[rc://fr/ta/man/translate/figs-explicit]]).

JHN	1	1	z59q	figs-explicit	ὁ λόγος, καὶ ὁ λόγος…καὶ Θεὸς ἦν ὁ λόγος	1	the Word	Ici, **la Parole** se réfère à Jésus. Elle ne fait pas référence à une parole prononcée. ULT l'indique en mettant la majuscule à **le Mot** pour indiquer qu'il s'agit d'un titre pour Jésus. Utilisez la convention que votre langue utilise pour indiquer qu'il s'agit d'un nom. Si "mot" est féminin dans votre langue, on pourrait le traduire par "celui qui est appelé le Verbe". Autre traduction : "Jésus, qui est la Parole, et Jésus ... et Jésus était Dieu" (Voir : [[rc://fr/ta/man/translate/figs-explicit]])

JHN	1	2	u6xx	writing-pronouns	οὗτος	1		**Il** se réfère ici à Jésus, que Jean a appelé "la Parole" dans le verset précédent. Si vos lecteurs se méprennent sur ce point, vous pourriez le dire explicitement. Traduction alternative : "Jésus" ou "la Parole" (Voir : [[rc://fr/ta/man/translate/writing-pronouns]])
