Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

ACT	front	intro	mw28			0		# Introduction aux Actes<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre des Actes<br><br>1. Les apôtres répandent la bonne nouvelle de Jésus à Jérusalem (1:1-6:7)<br>2. L'église s'étend en Judée et en Samarie (6:8-9:31)<br>3. L'église s'étend aux païens (9:32-12:24)<br>4. Paul se rend en Asie mineure comme apôtre des païens (12:25-16:5)<br>5. L'église s'étend dans la région méditerranéenne moyenne (16:6-19:20)<br>6. Paul atteint Rome, mais en tant que prisonnier et après plusieurs procès (19:21-28:31)<br><br>Luc fait des déclarations de transition à 6:7, 9:31, 12:24, 16:5 et 19:20 pour marquer le mouvement de chaque partie majeure du livre à la partie suivante.<br><br>###De quoi parle le livre des Actes ? <br><br>Le livre des Actes raconte l'histoire de l'église primitive. Il relate comment de plus en plus de personnes, issues de différents milieux et dans différentes régions de l'Empire romain, sont devenues croyantes en Jésus. Il montre la puissance du Saint-Esprit qui a aidé les premiers chrétiens. Les événements de ce livre commencent avec le retour de Jésus au ciel et ils se terminent environ 30 ans plus tard.<br><br>### Comment traduire le titre de ce livre ? <br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, "Les Actes des Apôtres." Ou les traducteurs peuvent choisir un titre différent, par exemple, "Les Actes du Saint-Esprit par les Apôtres."<br><br>### Qui a écrit le livre des Actes ? <br><br>L'auteur de ce livre ne donne pas son propre nom. Cependant, le livre est dédié à Théophile, la même personne à laquelle Luc a dédié son récit de la vie de Jésus, l'Évangile de Luc. De plus, dans certaines parties de ce livre, l'auteur utilise le mot "nous". Cela indique que l'auteur a voyagé avec Paul. La plupart des spécialistes pensent que Luc est cette personne qui a voyagé avec Paul. Par conséquent, depuis les premiers temps du christianisme, la plupart des chrétiens ont pensé que Luc était l'auteur du livre des Actes ainsi que de l'Évangile de Luc.<br><br>Luc était un médecin. Sa façon d'écrire montre qu'il était un homme instruit. Il était probablement un païen. Il a personnellement été témoin de plusieurs des événements qu'il décrit dans le livre des Actes.<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Qu'est-ce que l'église ?<br><br>L'église est la communauté des personnes qui croient en Jésus comme leur Seigneur et Sauveur. L'église comprend à la fois des croyants juifs et des croyants païens. Le livre des Actes des Apôtres montre que Dieu aide l'Église. Il montre Dieu faisant des signes et des prodiges pour confirmer le témoignage de l'église à Jésus, amenant de nombreuses personnes à avoir la foi en Jésus, guidant l'église sur où et comment partager la bonne nouvelle, et permettant aux croyants de résoudre les conflits et d'endurer la persécution.<br><br>### Le royaume de Dieu<br><br>Le "royaume de Dieu" est un concept majeur dans le livre des Actes, comme dans l'Évangile de Luc. Ce concept est très riche en signification. Il comprend l'idée de la vie éternelle dans la présence de Dieu, mais aussi l'idée de ce que sera la terre dans le futur lorsque Dieu régira tout, et l'idée de la vie sur terre dès maintenant, quand et où les volontés de Dieu sont pleinement exécutées. Le concept unificateur de toutes ces idées est celui de Dieu qui gouverne et de l'homme qui accepte la domination de Dieu sur sa vie. Partout où l'expression "le royaume de Dieu" apparaît, les notes de traduction suggèrent de communiquer l'idée derrière le nom abstrait "royaume" avec une phrase qui utilise le verbe "gouverner". L'UST adopte cette approche de manière cohérente. (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])<br><br>## Partie 3 : Questions importantes de traduction<br><br>### Difficultés de traduction possibles dans le livre des Actes<br><br>### "aux mêmes"<br><br>L'expression "aux mêmes" apparaît cinq fois dans ce livre (1:15, 2:1, 2:44, 2:47, 4:26). La signification de cette expression n'est pas entièrement claire. Dans les trois premiers cas, elle pourrait signifier "au même endroit", mais aussi "en un seul accord", c'est-à-dire "en plein accord". En 2,47, elle semble signifier "à leur groupe". Paul utilise la même expression dans 1 Corinthiens 11:20 et 14:23, où elle pourrait signifier "au même endroit" ou avoir le sens de plein accord et signifier quelque chose comme "dans la communion chrétienne." Ce sens correspondrait à Actes 2:47, où l'expression pourrait être traduite par "dans leur communion chrétienne". En 4:26, il pourrait signifier "au même endroit", mais il pourrait aussi signifier "d'un commun accord". Les notes discuteront des différentes possibilités dans chaque cas où la phrase pourrait signifier plus d'une chose.<br><br>### "dans/au/à l'intérieur du temple"<br><br>Luc utilise cette phrase plusieurs fois dans ce livre, mais elle ne fait pas référence au bâtiment du temple lui-même. Seuls les prêtres étaient autorisés à entrer dans ce bâtiment, donc l'expression fait référence à la cour ou à la zone autour du temple. L'expression "dans le portique appelé de Salomon" en 3:11 indique clairement que Pierre et Jean et la foule qui s'est rassemblée à l'occasion de ce chapitre ne se trouvaient pas à l'intérieur du bâtiment du temple. Les notes aborderont cette phrase pour expliquer sa signification chaque fois qu'elle apparaît dans le livre.<br><br>#### Quels sont les principaux problèmes dans le texte du livre des Actes?<br><br>Les points suivants sont les problèmes textuels les plus importants dans les Actes. Les notes les aborderont lorsqu'elles se présentent dans le livre.<br><br>Premièrement, il y a certains versets qui se trouvent dans les versions traditionnelles de la Bible, mais ils ne se trouvent pas dans les anciens manuscrits les plus précis de la Bible. Certaines versions modernes mettent ces versets entre crochets [ ]. L'ULT et l'UST les mettent également entre parenthèses. Si une traduction de la Bible existe déjà dans votre région, vous pouvez envisager d'inclure ces versets si cette traduction le fait. S'il n'existe pas encore de traduction de la Bible dans votre région, nous vous recommandons d'indiquer d'une manière ou d'une autre que ces versets ne sont peut-être pas originaux. Vous pourriez les mettre entre parenthèses, par exemple, ou dans des notes de bas de page. Ces versets sont :<br>- Actes 8:37, "Philippe dit : 'Si tu crois de tout ton cœur, tu peux être baptisé.' L'Éthiopien répondit : "Je crois que Jésus-Christ est le Fils de Dieu."<br>- Actes 15:34, "Mais il parut bon à Silas de rester là."<br>- Actes 24:6-8, "Et nous voulions le juger selon notre loi. Mais Lysias, l'officier, vint et l'enleva de force de nos mains, et l'envoya vers vous."<br>- Actes 28:29, "Quand il eut dit ces choses, les Juifs s'en allèrent, ayant une grande dispute entre eux."<br><br>Deuxièmement, dans certains versets, on ne sait pas ce que disait le texte original. L'ULT utilise les premières lectures énumérées ci-dessous, mais elle inclut les secondes lectures dans des notes de bas de page. Si une traduction de la Bible existe déjà dans votre région, vous pouvez envisager de suivre la même lecture qu'elle. S'il n'y a pas déjà une traduction de la Bible dans votre région, nous vous recommandons de suivre la même lecture que celle de l'ULT. Ces versets sont:<br>- Actes 3:22, "le Seigneur notre Dieu". Certaines versions lisent "le Seigneur votre Dieu", et d'autres versions lisent "le Seigneur Dieu."<br>- Actes 7:46, "une demeure pour la maison de Jacob." Certaines versions lisent " pour le Dieu de Jacob. "<br>- Actes 10:19, " trois hommes ". Certaines versions lisent "deux hommes" ou "quelques hommes."<br>- Actes 10:30, ""Il y a quatre jours, à cette heure-ci, je priais à la neuvième {heure} dans ma maison."" Certaines versions lisent : "Depuis le quatrième jour jusqu'à cette heure, je jeûnais, et à la neuvième heure, je priais dans ma maison."<br>- Actes 12:25, "Ils retournèrent de Jérusalem." Certaines versions lisent : "Ils retournèrent à Jérusalem" (ou "à là").<br>- Actes 13:18, "il les supportait." Certaines versions lisent : " il prenait soin d'eux. "<br>- Actes 15:17-18, " Voici ce que dit le Seigneur, qui a fait ces choses connues depuis les temps anciens. " Certaines versions anciennes lisent : "Voici ce que dit le Seigneur, à qui sont connues toutes ses actions depuis les temps anciens."<br><br>(Voir : [[rc://fr/ta/man/translate/translate-textvariants]]).

ACT	1	intro	vyg9			0		# Actes 1 Notes générales<br><br>## Structure et mise en forme<br><br>L'UST a placé les mots "Cher Théophile" à part des autres mots. Cela s'explique par le fait que les anglophones commencent souvent les lettres de cette façon. Vous pouvez vouloir commencer ce livre de la manière dont les gens commencent les lettres dans votre culture.<br><br>Certaines traductions placent les citations de l'Ancien Testament plus à droite sur la page que le reste du texte. L'ULT fait cela avec les deux citations du livre des Psaumes en 1:20.<br><br>## Notions spéciales dans ce chapitre<br><br>### L'Ascension<br><br>Ce chapitre relate un événement qui est communément appelé "Ascension". Ce mot décrit comment Jésus est retourné au ciel après être redevenu vivant. Dans le futur, il reviendra à nouveau sur terre, et son retour sur terre est connu comme sa "seconde venue". (Voir : [[rc://fr/tw/dict/bible/kt/heaven]] et [[rc://fr/tw/dict/bible/kt/resurrection]])<br><br>### Baptême<br><br>Luc utilise le mot "baptiser" avec deux significations différentes dans [1:5](../01/05.md). Dans le premier cas, il se réfère littéralement au baptême d'eau de Jean. Dans le second cas, il se réfère figurativement aux personnes qui sont remplies du Saint-Esprit. Luc utilise le terme "rempli" pour signifier la même chose dans [2:4](../02/04.md). (Voir : [[rc://fr/tw/dict/bible/kt/baptize]])<br><br>### "Il parla des choses concernant le royaume de Dieu"<br><br>Certains érudits croient que lorsque Jésus a parlé "des choses concernant le royaume de Dieu", comme Luc le décrit dans [1:3](../01/03.md), il a expliqué aux disciples pourquoi le royaume de Dieu n'était pas venu alors qu'il était sur terre la première fois. D'autres chercheurs pensent que le royaume de Dieu a commencé pendant que Jésus était sur terre et que Jésus a expliqué qu'il était venu sous une forme différente de celle à laquelle les disciples s'attendaient. Puisque les chrétiens ont des points de vue différents sur la venue du royaume de Dieu, les traducteurs doivent veiller à ne pas laisser la façon dont ils comprennent cette question affecter la traduction de ce verset.<br><br>### Difficultés de traduction possibles dans ce chapitre<br><br>### Longue phrase<br><br>Comme il était courant dans les compositions de cette époque, pour des raisons stylistiques, Luc commence ce livre par une très longue phrase. Elle va du début de [1:1](../01/01.md) à la fin de [1:3](../01/03.md). ULT représente tout cela comme une seule phrase. Il peut être utile à vos lecteurs de le diviser en plusieurs phrases, comme le fait UST.<br><br>### Les détails de la mort de Judas<br><br>Il y a quelques différences de détails entre la façon dont Luc décrit la mort de Judas dans le livre des Actes et la façon dont Matthieu la décrit dans son évangile. Luc dit que Judas a utilisé l'argent qu'il a reçu pour avoir trahi Jésus pour acheter un champ ; Matthieu dit que Judas a rendu l'argent aux chefs juifs et qu'ils ont acheté le champ avec cet argent. Luc dit que Judas s'est tué en tombant d'une hauteur sur le champ ; Matthieu dit que Judas s'est pendu. Luc dit que le champ a été nommé le "champ du sang" parce que Judas y a trouvé une mort sanglante ; Matthieu dit que le champ a reçu ce nom parce qu'il a été acheté avec le "prix du sang", c'est-à-dire l'argent versé pour assurer la mort de quelqu'un.<br><br>Il est possible de concilier plusieurs de ces détails. Par exemple, le corps de Judas peut être tombé et s'être ouvert en deux sur le terrain s'il est tombé lorsqu'il a essayé de se pendre. Luc peut dire que Judas a acheté le champ parce que les dirigeants juifs ne voulaient pas reprendre l'argent qu'ils lui avaient versé, et donc, en un sens, c'était encore son argent lorsque le champ a été acheté avec cet argent.<br><br>Mais il serait probablement préférable d'éviter d'essayer de concilier ces détails dans votre traduction. Par exemple, lorsque Luc dit en [1:18](../01/18.md) que Judas est tombé sur le champ, au lieu de dire qu'il est tombé alors qu'il essayait de se pendre, vous pouvez laisser Luc et Matthieu raconter chacun l'histoire comme ils le font. Ensuite, vous pouvez laisser aux prédicateurs et aux enseignants de la Bible le soin d'expliquer comment leurs récits sont compatibles.<br><br>### Les 12 disciples<br><br>Il y a une petite différence entre la liste des 12 disciples que Matthieu et Marc fournissent dans leurs évangiles et la liste que Luc fournit dans son évangile et dans le livre des Actes.<br><br>Les trois auteurs énumèrent Simon Pierre et son frère André ; Jacques et Jean, les deux fils de Zébédée ; Philippe, Barthélemy, Thomas, Matthieu, Jacques fils d'Alphée, Simon le Zélote et Judas Iscariote. Mais Matthieu et Marc disent que le douzième disciple était Thaddée, tandis que Luc dit qu'il s'agissait de Judas, fils de Jacques. Cependant, il est fort probable que Thaddée était un autre nom sous lequel cet autre Judas était connu.<br><br>Encore une fois, il n'est pas nécessaire d'essayer de concilier ces détails au sein de votre traduction. Plus précisément, dans [1:13](../01/13.md), au lieu de dire " Judas fils de Jacques, qui était aussi connu sous le nom de Thaddée ", vous pouvez laisser chacun des auteurs bibliques raconter l'histoire de la manière dont il le fait. Vous pouvez ensuite laisser aux prédicateurs et aux enseignants de la Bible le soin d'expliquer en quoi leurs récits sont compatibles.

ACT	1	1	q9ep	figs-explicit	τὸν μὲν πρῶτον λόγον ἐποιησάμην	1	I made the first account	Luc suppose que Théophile saura que par **le premier récit** il entend le livre qui est devenu connu sous le nom d'Évangile de Luc. Comme ce livre n'était pas connu sous ce titre à cette époque, il ne serait pas exact de mettre le titre dans votre traduction comme un nom que Luc aurait utilisé pour décrire le livre à Théophile. Cependant, vous pourriez expliquer cela dans une note de bas de page et utiliser une autre expression ici. Traduction alternative : "J'ai écrit dans mon premier volume" (Voir : [[rc://fr/ta/man/translate/figs-explicit]])

ACT	1	1	a000		ὦ Θεόφιλε	1	O Theophilus	Ici, Luc identifie et s'adresse à l'homme pour lequel il a compilé ce récit de l'église primitive. Puisque cela ressemble à la salutation d'une lettre, vous pouvez, dans votre traduction, suivre la manière de votre culture d'identifier et de saluer le destinataire d'une lettre. L'UST le fait en disant "Cher Théophile" et en plaçant la phrase en début de phrase.

ACT	1	1	ryj5	translate-names	Θεόφιλε	1	Theophilus	**Theophilus** est le nom d'un homme. Il signifie "ami de Dieu". Il se peut que ce soit son nom réel, ou que cela décrive ce que cet homme était. La plupart des traductions le traitent comme son nom. (Voir : [[rc://fr/ta/man/translate/translate-names]])
