Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

ROM	front	intro	gtn1			0		# Introduction à Romains<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre de Romains<br><br>1. Introduction (1:1-15)<br>2. Thème principal : On reçoit la justice en se confiant en Jésus-Christ (1:16-17)<br>3. Toute l'humanité est condamnée à cause du péché (1:18-3:20)<br>4. On reçoit la justice par Jésus-Christ en se confiant en lui (3:21-5:21)<br>5. Devenir comme le Christ dans cette vie (6:1-8:39)<br>6. Le plan de Dieu pour Israël (9:1-11:36)<br>7. Instructions pour vivre en tant que chrétiens (12:1-15:13)<br>8. Conclusion (15:14-16:27)<br><br>### Qui a écrit le livre des Romains?<br><br>L'apôtre Paul a écrit le livre des Romains et peut d'autres livres dans le Nouveau Testament. Paul était originaire de la ville de Tarse. Il avait été connu sous le nom de Saul dans sa première vie. Avant de devenir chrétien, Paul faisait partie d'un groupe religieux juif strict appelé les Pharisiens. Il persécutait les chrétiens. Après être devenu chrétien, il a voyagé à plusieurs reprises dans l'Empire romain pour parler de Jésus aux gens.<br><br>Paul a probablement écrit cette lettre alors qu'il séjournait dans la ville de Corinthe lors de son troisième voyage dans l'Empire romain.<br><br>#### De quoi parle le livre de Romains ?<br><br>Paul a écrit cette lettre aux chrétiens de Rome. Paul voulait les préparer à le recevoir lorsqu'il leur rendrait visite. Il disait que son but était de "susciter l'obéissance de la foi" ([16:26](../16/26.md)).<br><br>Dans cette lettre, Paul a décrit le plus complètement l'évangile de Jésus-Christ. Il a expliqué que les Juifs et les non-Juifs ont péché, et que Dieu ne les pardonnera et ne les déclarera justes que s'ils croient en Jésus (chapitres 1-11). Puis il leur a donné des conseils pratiques sur la façon dont les croyants doivent vivre (chapitres 12-16),<br><br>#### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, "Romains". Ou ils peuvent choisir un titre plus clair, comme "La lettre de Paul à l'Église de Rome", ou "Une lettre aux chrétiens de Rome." (Voir : [[rc://en/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>#### Quels sont les titres utilisés pour désigner Jésus?<br><br>Dans Romains, Paul décrit Jésus-Christ par de nombreux titres et descriptions : Jésus-Christ (1:1), la Semence de David (1:3), le Fils de Dieu (1:4), le Seigneur Jésus-Christ (1:7), Christ Jésus (3:24), Propitiation (3:25), Jésus (3:26), Jésus notre Seigneur (4 :24), Seigneur des armées (9 : 29), pierre d'achoppement et rocher d'offense (9 : 33), la fin de la loi (10 : 4), le libérateur (11 : 26), Seigneur des morts et des vivants (14 : 9), et la racine de Jessé (15 : 12).<br><br>### Comment traduire les termes théologiques dans Romains ? <br><br>Paul utilise de nombreux termes théologiques qui ne sont pas utilisés dans les quatre évangiles. À mesure que les premiers chrétiens en apprenaient davantage sur la signification de Jésus-Christ et de son message, ils avaient besoin de mots et d'expressions pour les nouvelles idées. Voici quelques exemples de ces mots : "justification" (5:1), "œuvres de la loi" (3:20), "réconcilier" (5:10), "propitiation" (3:25), "sanctification" (6:19) et "le vieil homme" (6:6). Si votre langue n'a pas de mots similaires, vous pouvez développer des phrases courtes pour communiquer ces idées. Par exemple, le terme "évangile" peut être traduit par "la bonne nouvelle concernant Jésus-Christ"<br><br>Les traducteurs doivent également se rappeler que certains de ces termes ont plus d'un sens. Le sens dépendra de la façon dont l'auteur utilise le mot dans ce passage particulier. Par exemple, la "justice" signifie parfois qu'une personne obéit à la loi de Dieu. À d'autres moments, la " justice " signifie que Jésus-Christ a parfaitement obéi à la loi de Dieu pour nous.<br><br>#### Que voulait dire Paul par " un reste " d'Israël ([11:5](../11/05.md))?<br><br>L'idée d'un " reste " est importante à la fois dans l'Ancien Testament et pour Paul. La plupart des Israélites ont été soit tués, soit dispersés parmi d'autres peuples lorsque les Assyriens puis les Babyloniens ont conquis leur pays. Seuls quelques Juifs ont survécu. On les appelait "le reste". <br><br>Dans [11:1-9](../11/01.md), Paul parle d'un autre reste. Ce reste, ce sont les Juifs que Dieu a sauvés parce qu'ils ont cru en Jésus. (Voir : [[rc://en/tw/dict/bible/kt/remnant]])<br><br>## Partie 3 : Questions importantes de traduction<br><br>#### Que voulait dire Paul par être " en Christ " ?<br><br>L'expression " en Christ " et des expressions similaires apparaissent en 3:24 ; 6:11, 23 ; 8:1,2,39 ; 9:1 ; 12:5,17 ; 15:17 ; et 16:3,7,9,10. Paul a utilisé ce genre d'expressions comme une métaphore pour exprimer que les croyants chrétiens appartiennent à Jésus-Christ. L'appartenance au Christ signifie que le croyant est sauvé et qu'il est devenu l'ami de Dieu. Le croyant a également la promesse de vivre avec Dieu pour toujours. Cependant, cette idée peut être difficile à représenter dans de nombreuses langues.<br><br>Ces expressions ont également des significations spécifiques qui dépendent de la façon dont Paul les utilise dans un passage particulier. Par exemple, dans [3:24](../03/24.md) ("la rédemption qui est dans le Christ Jésus"), Paul fait référence au fait que nous sommes rachetés "à cause" de Jésus-Christ. Dans [8:9](../08/09.md) ("vous n'êtes pas dans la chair mais dans l'Esprit"), Paul parle des croyants qui se soumettent "à" l'Esprit Saint. Dans [9:1](../09/01.md) ("Je dis la vérité en Christ"), Paul voulait dire qu'il dit la vérité qui "est en accord avec" Jésus-Christ.<br><br>Néanmoins, l'idée de base de notre union avec Jésus-Christ (et avec le Saint-Esprit) se voit aussi dans ces passages. Par conséquent, le traducteur a le choix dans de nombreux passages qui utilisent "en". Il décidera souvent de représenter le sens le plus immédiat de "in", comme "by means of", "in the manner of" ou "in regard to". Mais, si possible, le traducteur devrait choisir un mot ou une expression qui représente le sens immédiat et le sens de "en union avec." (Voir : [[rc://en/tw/dict/bible/kt/inchrist]])<br><br>### Comment les idées de "saint", "saints" ou "saintes", et "sanctifier" sont-elles représentées dans Romains dans l'ULT ? <br><br>Les Écritures utilisent ces mots pour indiquer l'une quelconque de diverses idées. Pour cette raison, il est souvent difficile pour les traducteurs de bien les représenter dans leurs versions. En traduisant en anglais, l'ULT utilise les principes suivants:<br><br>* Parfois, le sens d'un passage implique la sainteté morale. Le fait que Dieu considère les chrétiens comme étant sans péché parce qu'ils sont unis à Jésus-Christ est particulièrement important pour la compréhension de l'évangile. Un autre fait connexe est que Dieu est parfait et sans défaut. Un troisième fait est que les chrétiens doivent se comporter dans la vie d'une manière irréprochable et sans défaut. Dans ces cas, l'ULT utilise le mot "saint", "Dieu saint", "des saints" ou "des gens saints". (Voir : [1:7](../01/07.md))<br>* Parfois, le sens d'un passage indique une simple référence aux chrétiens sans impliquer un rôle particulier rempli par eux. Dans les cas où certaines autres versions anglaises ont "saints" ou "holy ones", l'ULT utilise "believers". (Voir : 8:27 ; 12:13 ; 15:25, 26, 31 ; 16:2, 15)<br>* Parfois, le sens d'un passage indique l'idée de quelqu'un ou de quelque chose mis à part pour Dieu seul. Dans ces cas, l'ULT utilise "mis à part", "dédié à", "consacré" ou "réservé pour". (Voir : [15:16](../15/16.md))<br><br>L'UST sera souvent utile lorsque les traducteurs réfléchiront à la façon de représenter ces idées dans leurs propres versions.<br><br>### Singulier et pluriel "vous"<br><br>Dans ce livre, le mot "vous" est presque toujours au pluriel et désigne l'auditoire de Paul. Il n'y a que quatre occurrences de " vous " au singulier, dont trois sont des citations de l'Ancien Testament ([9:7](../09/07.md), [17](../09/17.md) ; [13:4](../13/04.md), [15:9](../15/09.md)). Ces exceptions seront traitées dans les notes. (Voir : [[rc://en/ta/man/translate/figs-you]])<br><br>###Quels sont les enjeux majeurs du texte du livre de Romains ?<br><br>Pour les versets suivants, les versions modernes de la Bible diffèrent des anciennes versions. L'ULT inclut la lecture moderne et place la lecture plus ancienne dans une note de bas de page.<br><br>* " Il [Dieu] fait concourir toutes choses au bien " ([8:28](../08/28.md)). Certaines versions anciennes lisent : " Toutes choses concourent au bien. "<br>* " Mais si c'est par la grâce, ce n'est plus par les œuvres. Autrement la grâce ne serait plus la grâce " ([11:6](../11/06.md)). Certaines versions anciennes lisent : "Mais si c'est par les œuvres, alors ce n'est plus de la grâce : sinon l'œuvre n'est plus une œuvre."<br><br>Le verset suivant ne figure pas dans les meilleures copies anciennes de la Bible. Il est conseillé aux traducteurs de ne pas inclure ce verset. Cependant, si dans la région des traducteurs il y a des versions anciennes de la Bible qui ont ce verset, les traducteurs peuvent l'inclure. S'il est traduit, il doit être mis entre crochets (\\\[\\\]) pour indiquer qu'il n'est probablement pas original au livre des Romains.<br><br>* "Que la grâce de notre Seigneur Jésus-Christ soit avec vous tous. Amen" ([16:24](../16/24.md)).<br><br>(Voir : [[rc://en/ta/man/translate/translate-textvariants]])

ROM	1	intro	hn5n			0		# Romains 1 Notes générales<br><br>## Structure et mise en forme<br><br>1. Introduction (1:1-15)<br> * Salutation (1:1-7)<br> * Paul envisage de se rendre à Rome (1:8-15)<br>2. Thème principal : On reçoit la justice en ayant foi en Jésus-Christ (1:16-17)<br>3. Toute l'humanité est condamnée à cause du péché (1:18-3:20)<br> * Tous les non-juifs ont péché (1:18-32)<br><br>### Notions particulières à ce chapitre<br><br>### L'évangile<br><br>Ce chapitre désigne le contenu du livre des Romains comme "l'évangile" ([1:2](../rom/01/02.md)). Romains n'est pas un évangile comme Matthieu, Marc, Luc ou Jean, qui sont des récits historiques de la vie de Jésus. Au contraire, les chapitres 1 à 8 présentent l'évangile biblique, qui est la bonne nouvelle du salut. L'évangile contient les idées vraies suivantes : Tout le monde a péché. Jésus est mort pour nos péchés. Jésus est revenu à la vie pour que nous puissions vivre pour sa gloire et recevoir la vie éternelle à notre mort.<br><br>### Condamnation universelle et colère de Dieu<br><br>Dans ce chapitre, Paul explique que personne n'a d'excuse pour pécher. Nous connaissons tous le vrai Dieu, Yahvé, de par sa création tout autour de nous. À cause de notre péché et de notre nature pécheresse, chaque personne mérite à juste titre le châtiment éternel de Dieu. L'exigence de ce châtiment a été satisfaite par la mort de Jésus sur une croix pour ceux qui croient en lui. (Voir : [[rc://en/tw/dict/bible/kt/believe]] et [[rc://en/tw/dict/bible/kt/sin]])<br><br>## Figures de style importantes dans ce chapitre<br><br>### "Dieu les a livrés"<br><br>Plusieurs spécialistes considèrent les expressions "Dieu les a livrés" et "Dieu les a abandonnés" comme significatives sur le plan théologique. Pour cette raison, il est important de traduire ces phrases avec Dieu jouant un rôle passif dans l'action. Dieu permet aux hommes de poursuivre leurs propres désirs pécheurs, il ne les force pas à agir de manière pécheresse. (Voir : [[rc://en/ta/man/translate/figs-activepassive]])

ROM	1	1	x3em	figs-123person	Παῦλος	1	Paul	Dans la culture de cette époque, les auteurs de lettres donnaient d'abord leur propre nom. Votre langue a peut-être une façon particulière de présenter l'auteur d'une lettre, et si cela peut être utile à vos lecteurs, vous pouvez l'utiliser ici. Traduction alternative : "De Paul" (Voir : [[rc://en/ta/man/translate/figs-123person]])

ROM	1	1	plvo	translate-names	Παῦλος	1	Paul	**Paul** est le nom d'un homme, un apôtre de Jésus. Voir les informations le concernant dans la première partie de l'introduction à Romains. (Voir : [[rc://en/ta/man/translate/translate-names]])

ROM	1	1	e417	figs-distinguish	δοῦλος Χριστοῦ Ἰησοῦ, κλητὸς ἀπόστολος	1	Paul	Ces deux phrases donnent des informations supplémentaires sur Paul. Il se décrit comme quelqu'un qui a reçu la position et l'autorité d'être le **serviteur du Christ** et **l'apôtre**. (Voir : [[rc://en/ta/man/translate/figs-distinguish]])
