Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

1CO	front	intro	e8ey			0		# Introduction à 1 Corinthiens<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre de 1 Corinthiens<br><br>1. Ouverture (1:1-9)<br>2. Contre les divisions (1:10-4:15)<br>3. Contre l'immoralité sexuelle (4:16-6:20)<br>4. Sur l'abstinence (7:1-40)<br>5. Sur la nourriture (8:1-11:1)<br>6. Sur les couvre-chefs (11:2-16)<br>7. Sur la cène (11:17-34)<br>8. Sur les dons spirituels (12:1-14:40)<br>9. Sur la résurrection des morts (15:1-58)<br>10. Sur la collecte et les visites (16:1-12)<br>11. Clôture : derniers commandements et salutations (16:13-24)<br><br>Des schémas plus détaillés pour chacune de ces sections figurent dans les introductions des chapitres.<br><br>### Qui a écrit le livre de 1 Corinthiens?<br><br>L'auteur s'identifie comme étant l'apôtre Paul. Paul était originaire de la ville de Tarse. Il avait été connu sous le nom de Saul dans sa première vie. Avant de devenir chrétien, Paul était un pharisien, et il a persécuté les chrétiens. Après être devenu chrétien, il a voyagé plusieurs fois dans l'Empire romain pour parler de Jésus aux gens. Paul a rendu visite aux Corinthiens pour la première fois lors de son troisième voyage dans l'Empire romain (voir [Actes 18:1-18](../act/18/01.md)). Ensuite, Paul a écrit cette lettre alors qu'il se trouvait à Éphèse ([16:8](../16/08.md)). Il y a vécu et proclamé l'Évangile pendant plus de deux ans (voir [Actes 19:1-10](../act/19/01.md)), et c'est à un moment donné pendant ces années qu'il a écrit cette lettre aux Corinthiens.<br><br>#### De quoi parle le livre de 1 Corinthiens ?<br><br>Pendant que Paul était à Éphèse, il a appris des choses sur les Corinthiens. Des personnes de "Chloé" ont parlé à Paul de "factions" au sein du groupe corinthien ([1:11](../01/11.md)), et les croyants corinthiens lui ont écrit une lettre pour lui poser des questions ([7:1](../07/01.md)). Paul mentionne également qu'il a "entendu" des choses sur ce qu'ils font et disent (voir [5:1](../05/01.md) ; [11:18](../11/18.md) ; [15:12](../15/12.md)). Il peut avoir appris ces choses par les gens "de Chloé", par leur lettre, ou par d'autres sources, telles que "Stephanas et Fortunatus et Achaicus", qui ont rendu visite à Paul avant qu'il n'écrive cette lettre (voir [16:17](../16/17.md)). Paul écrit sa lettre en réponse à ce qu'il a appris sur la façon dont les Corinthiens pensent et agissent. Il aborde plusieurs sujets dans l'ordre. Vous pouvez voir ces sujets dans le schéma ci-dessus. Paul se concentre sur l'encouragement des croyants corinthiens à rester fidèles à Jésus et à se comporter comme ceux qui suivent Jésus.<br><br>### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, "Premiers Corinthiens" ou "1 Corinthiens". Ou ils peuvent choisir un titre plus clair, tel que "Première lettre de Paul à l'Église de Corinthe" ou "Une première lettre aux chrétiens de Corinthe." (Voir : [[rc://en/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>#### A quoi ressemblait la ville de Corinthe?<br><br>Corinthe était une ville importante située dans la Grèce antique. Parce qu'elle était près de la mer Méditerranée et dans un endroit important, de nombreux voyageurs et commerçants venaient y acheter et vendre des marchandises. Par conséquent, de nombreux types de personnes différentes vivaient dans la ville, et il y avait beaucoup de gens riches. En outre, les habitants de Corinthe adoraient de nombreux dieux différents, et leur culte pouvait inclure la nourriture et l'activité sexuelle. Dans cette culture, les chrétiens qui ne participaient pas à l'adoration d'au moins quelques-uns de ces nombreux dieux étaient souvent considérés comme étranges, et les gens ne voulaient pas s'associer avec eux.<br><br>### Quel était le problème que Paul abordait dans cette lettre?<br><br>Paul aborde de nombreux sujets et problèmes spécifiques dans sa lettre aux croyants de Corinthe. Il s'agit notamment de l'unité de l'église, du comportement sexuel, des pratiques cultuelles, de la nourriture sacrifiée aux idoles, des dons spirituels et de la résurrection. Il est possible que tous les problèmes que Paul souhaite corriger dans ces domaines proviennent d'un seul et même problème dans l'église de Corinthe. Il se peut que de faux enseignants égarent les Corinthiens, ou que les Corinthiens agissent comme tout le monde dans leur culture, même si ce n'est pas en suivant correctement Jésus. Très probablement, les Corinthiens croyaient avoir déjà reçu toutes les bénédictions que les chrétiens recevront lorsque Jésus reviendra sur la terre. Ils ont peut-être aussi cru au faux enseignement selon lequel la matière et les choses physiques étaient moins importantes que les choses "spirituelles". Quel que soit exactement le problème principal, ce qui est clair, c'est que les Corinthiens ne suivaient pas correctement Jésus dans leur façon de penser et d'agir, et Paul écrit la lettre pour les guider à nouveau à suivre fidèlement Jésus.<br><br>## Partie 3 : Questions importantes de traduction<br><br>#### Que veut dire Paul quand il parle de " sagesse " et de " folie " ?<br><br>Ces mots ne se réfèrent pas principalement à la quantité ou au manque d'éducation d'une personne. Ils font plutôt référence à la façon dont quelqu'un planifie ses actions et sait comment le monde fonctionne. Si quelqu'un crée des plans et des idées qui fonctionnent bien, cette personne est sage. Si quelqu'un crée des plans et des idées qui ne fonctionnent pas bien, cette personne est insensée. La personne sage fait de bons choix, et la personne insensée fait de mauvais choix. Paul utilise ces mots pour opposer ce que les humains pensent être sage ou insensé à ce que Dieu pense être sage ou insensé. En faisant cela, Paul souhaite empêcher les Corinthiens de penser d'une manière que les autres humains considèrent comme "sage". Il souhaite plutôt qu'ils pensent d'une manière que Dieu considère comme "sage", c'est-à-dire d'une manière que les autres humains pourraient considérer comme "insensée"."<br><br>### Que veut dire Paul lorsqu'il parle de "connaissance"?<br><br>Paul utilise la "connaissance" pour désigner la compréhension ou la compréhension de ce qui est vrai au sujet de Dieu et du monde. Paul souligne que personne n'a vraiment la "connaissance" sans l'aide du Saint-Esprit. Il souhaite également que ceux qui ont cette "connaissance" continuent à agir de manière à respecter et à honorer ceux qui n'ont pas cette "connaissance". En d'autres termes, il veut convaincre les Corinthiens qu'agir dans l'amour envers les autres croyants a plus de valeur que toute "connaissance". Ainsi, Paul soutient que la "connaissance" est précieuse, mais que d'autres choses sont plus importantes.<br><br>### Que veut dire Paul quand il parle de "puissance" et de "faiblesse"?<br><br>Quelqu'un qui a la "puissance" a beaucoup d'influence et d'autorité et peut accomplir beaucoup de choses. Quelqu'un qui a de la "faiblesse" n'a pas beaucoup d'influence et d'autorité et n'est pas capable d'accomplir beaucoup de choses. Paul oppose ce que les humains pensent être puissant ou faible à ce que Dieu pense être puissant ou faible. En faisant cela, Paul veut empêcher les Corinthiens d'agir de la manière dont les autres humains pensent être "puissants". Il souhaite plutôt qu'ils agissent de la manière que Dieu considère comme " puissante ", qui sont des manières que les autres humains pourraient considérer comme " faibles ". <br><br>#### Que voulait dire Paul par les expressions " en Christ ", " dans le Seigneur ", etc... ?<br><br>Paul utilise la métaphore spatiale " en Christ " (souvent avec un autre nom pour " Christ ", comme " Seigneur " ou " Jésus ") très fréquemment dans cette lettre. Cette métaphore souligne que les croyants sont aussi étroitement unis au Christ que s'ils étaient en lui. Paul croit que cela est vrai pour tous les croyants, et parfois il utilise "en Christ" simplement pour indiquer que ce dont il parle est vrai pour ceux qui croient en Jésus. D'autres fois, il souligne l'union avec le Christ comme le moyen ou la base d'une déclaration ou d'une exhortation. Voir les notes sur des versets spécifiques pour aider à comprendre la signification contextuelle de "en Christ" et des expressions connexes. (Voir : [[rc://en/ta/man/translate/figs-metaphor]])<br><br>### Comment traduire "frères"?<br><br>Plusieurs fois dans cette lettre, Paul s'adresse directement ou fait référence à des personnes qu'il appelle "frères". Souvent, une adresse directe aux "frères" indique que Paul commence une nouvelle section. Le mot "frères" désigne en général des compagnons de croyance, hommes et femmes. Paul utilise ce mot parce qu'il considère que les croyants sont aussi étroitement unis entre eux que les frères et sœurs d'une famille. Réfléchissez au mot ou à l'expression qui exprimerait le mieux à la fois la référence aux autres croyants et l'idée que ces derniers sont aussi proches que les membres d'une famille. (Voir : [[rc://en/tw/dict/bible/kt/brother]])<br><br>### Comment traduire les métaphores étendues?<br><br>Tout au long de cette lettre, Paul utilise des métaphores longues ou étendues. Dans [3:1-17](../03/01.md), il parle d'enfants, d'agriculture, de construction et de temples pour discuter de la façon dont lui et d'autres personnes qui prêchent l'évangile devraient se rapporter aux Corinthiens. Dans [5:6-8](../05/06.md), il utilise la fête juive de la Pâque pour encourager les Corinthiens à se comporter d'une certaine manière. Dans [9:9-11](../09/09.md), il utilise une métaphore agricole pour parler de la réception d'argent pour la prédication de l'Évangile, et dans [9:24-27](../09/24.md), il utilise des métaphores liées aux compétitions sportives pour encourager les Corinthiens à se comporter d'une certaine manière. Dans [12:12-27](../12/12.md), Paul utilise le corps humain comme une analogie et une métaphore pour l'église. Enfin, dans [15:36-38](../15/36.md), [42-44](../15/42.md), Paul utilise une métaphore agricole pour parler de la résurrection des morts. Puisque ces métaphores étendues constituent une partie importante de l'argumentation de Paul dans ces sections, vous devez conserver les métaphores dans votre traduction si possible ou exprimer l'idée en utilisant une analogie. Voir les introductions de chapitre et les notes pour plus d'informations et les options de traduction. (Voir : [[rc://en/ta/man/translate/figs-exmetaphor]])<br><br>### Comment traduire les questions rhétoriques ?<br><br>Paul pose de nombreuses questions dans cette lettre. Il ne pose pas ces questions parce qu'il veut que les Corinthiens lui fournissent des informations. Au contraire, il pose ces questions parce qu'il veut que les Corinthiens réfléchissent à leur façon d'agir et à ce qu'ils pensent. Les questions les encouragent à réfléchir avec Paul. Si vos lecteurs comprennent ce genre de questions, vous devriez les conserver dans votre traduction. Si vos lecteurs comprennent ce type de questions, vous pouvez fournir les réponses ou exprimer les questions sous forme de déclarations. Voir les notes sur chaque question rhétorique pour la réponse implicite et les façons de traduire la question comme une déclaration. (Voir : [[rc://en/ta/man/translate/figs-rquestion]])<br><br>### Comment traduire les euphémismes ?<br><br>Paul utilise des euphémismes à de multiples endroits dans cette lettre, notamment lorsqu'il aborde l'activité sexuelle ou la mort. Si possible, utilisez des euphémismes similaires dans votre traduction. Voir les notes sur chaque verset qui a un euphémisme pour les options de traduction. (Voir : [[rc://en/ta/man/translate/figs-euphemism]])<br><br>### Comment traduire " vous " et " nous " ?<br><br>Dans toute la lettre, vous devez supposer que " vous ", " votre " et " vos " sont pluriels et font référence aux croyants de Corinthe, à moins qu'une note ne précise que la forme du " vous " est singulière. De même, tout au long de la lettre, vous devez supposer que "nous", "notre" et "nos" incluent Paul, ceux qui travaillent avec Paul et les croyants de Corinthe, à moins qu'une note ne précise que la forme de "nous" exclut les croyants de Corinthe. (Voir : [[rc://en/ta/man/translate/figs-yousingular]] et [[rc://en/ta/man/translate/figs-exclusive]])<br><br>### Quels sont les principaux problèmes dans le texte du livre de 1 Corinthiens?<br><br>Dans les versets suivants, les manuscrits anciens n'ont pas tous les mêmes mots. L'ULT utilise les mots qui se trouvent dans la plupart des manuscrits les plus anciens. Lorsque vous traduisez ces versets, vous devriez comparer l'ULT avec toutes les traductions avec lesquelles vos lecteurs peuvent être familiers pour voir ce que vos lecteurs peuvent attendre. À moins qu'il n'y ait une bonne raison d'utiliser les mots alternatifs, vous devez suivre l'ULT. Voir les notes de bas de page et les notes à chacun de ces versets pour plus d'informations. (Voir : [[rc://en/ta/man/translate/translate-textvariants]])<br><br>* " le mystère de Dieu " ([2:1](../02/01.md)). Certains manuscrits anciens ont ceci : "le témoignage de Dieu."<br>* "Dieu juge" ([5:13](../05/13.md)). Certains manuscrits anciens ont ceci : "Dieu jugera."<br>* "glorifie Dieu dans ton corps" ([6:20](../06/20.md)). Certains manuscrits anciens ont ceci : "glorifiez Dieu dans votre corps et dans votre esprit, qui appartiennent à Dieu."<br>* "comme sous la loi, n'étant pas moi-même sous la loi afin de gagner ceux qui sont sous la loi" ([9:20](../09/20.md)). Certains manuscrits anciens ont ceci : "comme sous la loi afin de gagner ceux qui sont sous la loi."<br>* "mettre le Seigneur à l'épreuve" ([10:9](../10/09.md)). Certains manuscrits anciens ont ceci : "mettre le Christ à l'épreuve."<br>* "et la conscience-" ([10:28](../10/28.md)). Certains manuscrits anciens ont ceci : "et la conscience, car la terre et tout ce qu'elle contient appartiennent au Seigneur-"<br>* "Je livre mon corps pour me glorifier" ([13:3](../13/03.md)). Certains manuscrits anciens ont ceci : "Je remets mon corps pour qu'il soit brûlé."<br>* "qu'il soit ignorant" ([14:38](../14/38.md)). Certains manuscrits anciens ont ceci : "il est considéré comme ignorant."<br>* "supportons aussi" ([15:49](../15/49.md)). Certains manuscrits anciens ont ceci : "nous supporterons aussi."<br>* "Amen" ([16:24](../16/24.md)). Certains manuscrits anciens n'ont pas "Amen".

1CO	1	intro	ud5y			0		# 1 Corinthiens 1 Notes générales<br><br>## Structure et mise en forme<br><br>1. Ouverture (1:1-9)<br> * Salutations et bénédiction (1:1-3)<br> * Louange et prière (1:4-9)<br>2. Contre les divisions (1:10-4:15)<br> * Divisions, chefs et baptême (1:10-17)<br> * Sagesse, folie et vantardise (1:18-31)<br><br>Certaines traductions placent chaque ligne de poésie plus à droite que le reste du texte pour en faciliter la lecture. L'ULT fait cela avec les mots du verset 19, qui sont de l'Ancien Testament.<br><br>## Concepts spéciaux dans ce chapitre<br><br>### La désunion<br><br>Dans ce chapitre, Paul exhorte les Corinthiens à cesser de se diviser en petits groupes qui s'identifient à un leader spécifique. Il mentionne certains de ces chefs, dont lui-même, dans [1:12](../01/12.md). Les Corinthiens ont probablement choisi ces dirigeants eux-mêmes, car rien ne prouve que les personnes mentionnées dans [1:12](../01/12.md) aient essayé de créer leurs propres groupes. Les membres de l'église de Corinthe cherchaient probablement à paraître plus sages ou plus puissants que les autres, de sorte qu'ils choisissaient un groupe et un leader et disaient qu'ils étaient meilleurs que les autres. Paul argumente contre ce genre de divisions d'abord, et ensuite il argumente contre toute personne qui essaie de paraître plus sage et plus puissante que les autres.<br><br>### Sagesse et folie<br><br>Tout au long de ce chapitre, Paul parle à la fois de sagesse et de folie. Ces mots ne se réfèrent pas principalement à la quantité ou au manque d'éducation d'une personne. Ils font plutôt référence à la manière dont une personne planifie ses actions et connaît le fonctionnement du monde. Si quelqu'un crée des plans et des idées qui fonctionnent bien, cette personne est sage. Si quelqu'un crée des plans et des idées qui ne fonctionnent pas bien, cette personne est insensée. La personne sage fait de bons choix, et la personne insensée fait de mauvais choix. Utilisez des mots dans votre langue qui indiquent ces idées. (Voir : [[rc://en/tw/dict/bible/kt/wise]] et [[rc://en/tw/dict/bible/kt/foolish]])<br><br>### Puissance et faiblesse<br><br>Tout au long de ce chapitre, Paul parle à la fois de puissance et de faiblesse. Ces mots font principalement référence à l'influence et à l'autorité d'une personne et à ce qu'elle peut accomplir. Quelqu'un qui a de la "puissance" a beaucoup d'influence et d'autorité et peut accomplir beaucoup de choses. Une personne qui a une "faiblesse" n'a pas beaucoup d'influence et d'autorité et n'est pas capable d'accomplir beaucoup de choses. Utilisez des mots dans votre langue qui indiquent ces idées (Voir : [[rc://en/tw/dict/bible/kt/power]])<br><br>### Figures de style importantes dans ce chapitre<br><br>#### Métaphores sur le Christ<br><br>Dans ce chapitre, Paul dit que " le Christ est la puissance de Dieu et la sagesse de Dieu " ([1:24](../01/24.md)) et que le Christ "a été fait pour nous sagesse de Dieu, justice, et aussi sanctification et rédemption" ([1:30](../01/30.md)). Avec ces deux versets, Paul ne dit pas que le Christ n'est plus une personne et qu'il est plutôt ces idées abstraites. Paul parle plutôt de cette manière parce que le Christ et son œuvre pour les croyants incluent toutes ces idées abstraites. L'œuvre du Christ est puissante et sage, et donne à ceux qui croient en lui la sagesse, la justice, la sanctification et la rédemption. Pour des façons de traduire ces deux déclarations, voir les notes sur ces deux versets.<br><br>#### Questions rhétoriques<br><br>Paul pose de nombreuses questions dans ce chapitre. Il ne pose pas ces questions parce qu'il veut que les Corinthiens lui fournissent des informations. Il pose plutôt ces questions parce qu'il veut que les Corinthiens réfléchissent à leur façon d'agir et à ce qu'ils pensent. Les questions les encouragent à réfléchir avec Paul. Pour savoir comment traduire ces questions, consultez les notes sur chaque verset qui comprend ce genre de questions. (Voir : [[rc://en/ta/man/translate/figs-rquestion]])<br><br>## D'autres difficultés de traduction possibles dans ce chapitre<br><br>### Utilisations positives et négatives de la " sagesse "<br><br>Tout au long de ce chapitre, Paul parle de la sagesse de manière positive et négative. Il utilise les mêmes mots tout au long du chapitre, et il distingue les significations positives et négatives en reliant les mots à différentes personnes ou idées. Par exemple, il parle de la sagesse de manière négative lorsqu'il s'agit de la sagesse du monde, ou de la sagesse des humains. En revanche, il parle de la sagesse de manière positive lorsqu'il s'agit de la sagesse de Dieu ou de la sagesse donnée par Dieu. Si possible, traduisez les sens négatif et positif de la sagesse par le même mot, tout comme Paul utilise un seul mot pour le négatif et le positif. Si vous devez utiliser des mots différents, utilisez des mots positifs pour la sagesse de Dieu et des mots négatifs pour la sagesse humaine.<br><br>### Utilisation de perspectives différentes<br><br>Parfois, Paul parle de Dieu comme si celui-ci était " insensé " et " faible " ([1:25](../01/25.md)) et comme s'il choisissait des choses " insensées " et " faibles " ([1:27](../01/27.md)). Paul ne pense pas réellement que Dieu est insensé et faible et qu'il choisit des choses insensées et faibles. Il parle plutôt du point de vue de la pensée humaine normale. Ce que Dieu fait, d'un point de vue humain, est "faible" et "insensé". Il le dit clairement dans plusieurs versets. Par exemple, dans [1:26](../01/26.md), Paul dit que la plupart des Corinthiens n'étaient pas sages "selon la chair". C'est une façon pour Paul de dire qu'ils n'étaient pas sages selon la pensée humaine. Si possible, traduisez les fois où Paul parle d'un point de vue humain par les mêmes mots qu'il utilise pour "faiblesse" et "folie" lorsqu'il parle du point de vue de Dieu. S'il est nécessaire de distinguer ces utilisations, utilisez un mot ou une phrase qui explique quelle perspective Paul utilise. Il le fait lui-même parfois, et si c'est nécessaire, vous pouvez le faire aussi à d'autres endroits.<br><br>### Informations présentées hors de l'ordre<br><br>L'ULT met des parenthèses autour de [1:16](../01/16.md) parce que Paul parle de la personne qu'il a baptisée, une idée qui s'accorde logiquement avec [1:14](../01/14.md) et moins bien après [1:15](../01/15.md). Paul s'est souvenu de quelqu'un d'autre qu'il a baptisé, et au lieu de revenir en arrière et de mettre cette information dans [1:14](../01/14.md), il l'inclut dans [1:16](../01/16.md), interrompant le flux de l'argument. Si possible, gardez [1:16](../01/16.md) où il est, et utilisez une forme dans votre langue qui indique que Paul interrompt son argumentation. S'il n'y a aucun moyen de le faire dans votre langue, vous pouvez déplacer [1:16](../01/16.md) pour qu'il soit entre [1:14](../01/14.md) et [1:15](../01/15.md).

1CO	1	1	o7ie	figs-123person	Παῦλος	1		Dans cette culture, les auteurs de lettres donnaient d'abord leur propre nom, en se référant à eux-mêmes à la troisième personne. Si vos lecteurs ne comprennent pas cela, vous pouvez utiliser la première personne ici. Ou si votre langue a une façon particulière de présenter l'auteur d'une lettre, et si cela peut être utile à vos lecteurs, vous pouvez l'utiliser ici. Traduction alternative : "De la part de Paul. J'ai été" (Voir : [[rc://en/ta/man/translate/figs-123person]])

1CO	1	1	e8j3	translate-names	Παῦλος	1	Paul	Ici et tout au long de la lettre, **Paul** est le nom d'un homme. (Voir : [[rc://en/ta/man/translate/translate-names]])

1CO	1	1	qp1n	figs-activepassive	κλητὸς ἀπόστολος Χριστοῦ Ἰησοῦ	1	Sosthenes our brother	Si votre langue n'utilise pas la forme passive de cette manière, vous pourriez exprimer l'idée à la forme active ou d'une autre manière qui est naturelle dans votre langue. Paul utilise ici la forme passive pour se concentrer sur celui qui est **appelé** plutôt que de se concentrer sur la personne qui fait "l'appel". Traduction alternative : "que le Christ Jésus a appelé à être apôtre" (Voir : [[rc://en/ta/man/translate/figs-activepassive]])
