Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

GAL	front	intro	i6u9			0		# Introduction à Galates<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre des Galates<br><br>1. Paul déclare son autorité en tant qu'apôtre de Jésus-Christ ; il dit qu'il est surpris par les faux enseignements que les chrétiens de Galatie ont acceptés de la part d'autres personnes (1:1-10).<br>1. Paul dit que les gens sont sauvés en faisant confiance au Christ seul, et non en respectant la loi (1:11-2:21).<br>1. Dieu ne met les gens en accord avec lui-même que lorsqu'ils se confient au Christ ; l'exemple d'Abraham ; la malédiction que la loi apporte (et non un moyen de salut) ; l'esclavage et la liberté comparés et illustrés par Agar et Sarah (3:1-4:31).<br>1. Lorsque les gens sont unis au Christ, ils deviennent libres d'avoir à garder la loi de Moïse. Ils sont également libres de vivre comme le Saint-Esprit les guide. Ils sont libres de refuser les exigences du péché. Ils sont libres de porter les fardeaux les uns des autres (5:1-6:10).<br>1. Paul avertit les chrétiens de ne pas avoir confiance dans le fait d'être circoncis et d'observer la loi de Moïse. Au lieu de cela, ils doivent faire confiance au Christ (6:11-18).<br><br>### Qui a écrit le livre des Galates?<br><br>Paul de la ville de Tarse en était l'auteur. Il avait été connu sous le nom de Saul dans sa première vie. Avant de devenir chrétien, Paul était un pharisien. Il a persécuté les chrétiens. Après avoir commencé à faire confiance à Jésus-Christ, il a voyagé plusieurs fois dans l'Empire romain pour parler de Jésus aux gens.<br><br>On ne sait pas exactement quand Paul a écrit cette lettre et où il se trouvait quand il l'a écrite. Certains chercheurs pensent que Paul était dans la ville d'Éphèse et qu'il a écrit cette lettre après la deuxième fois qu'il a voyagé pour parler de Jésus aux gens. D'autres érudits pensent que Paul était dans la ville d'Antioche en Syrie et qu'il a écrit cette lettre peu de temps après son premier voyage.<br><br>#### De quoi parle le livre des Galates ?<br><br>Paul a écrit cette lettre aux chrétiens juifs et non-juifs de la région de Galatie. Il voulait écrire contre les faux enseignants qui disaient que les chrétiens devaient suivre la loi de Moïse. Paul a défendu l'Évangile en expliquant qu'une personne est sauvée en croyant en Jésus-Christ. Les gens sont sauvés parce que Dieu est bon et non parce qu'ils font de bonnes œuvres. Personne ne peut obéir parfaitement à la loi. Toute tentative de plaire à Dieu en obéissant à la loi de Moïse n'aura pour résultat que la condamnation de Dieu. (Voir : [[rc://en/tw/dict/bible/kt/goodnews]], [[rc://en/tw/dict/bible/kt/save]], [[rc://en/tw/dict/bible/kt/faith]] et [[rc://en/tw/dict/bible/kt/lawofmoses]] et [[rc://en/tw/dict/bible/kt/works]])<br><br>### Comment traduire le titre de ce livre ? <br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, " Galates. " Ou ils peuvent choisir un titre plus clair, tel que "La lettre de Paul à l'Église de Galatie." (Voir : [[rc://en/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Que signifie "vivre comme des Juifs" (2:14)?<br><br>Voir "comme des Juifs" signifie obéir à la loi de Moïse, même si l'on a confiance en Christ. Les personnes parmi les premiers chrétiens qui enseignaient que cela était nécessaire étaient appelées "judaïsants"."<br><br>## Partie 3 : Questions importantes de traduction<br><br>### Comment Paul a-t-il utilisé les termes "loi" et "grâce" dans le livre des Galates?<br><br>Ces termes sont utilisés d'une manière unique dans les Galates. Il y a un enseignement important dans Galates sur la vie chrétienne. Sous la loi de Moïse, une vie juste ou sainte exigeait qu'une personne obéisse à un ensemble de règles et de règlements. En tant que chrétiens, la vie sainte est désormais motivée par la grâce. Cela signifie que les chrétiens sont libres en Christ et ne sont pas tenus d'obéir à un ensemble spécifique de règles. Au contraire, les chrétiens doivent mener une vie sainte parce qu'ils sont reconnaissants à Dieu d'avoir été si gentil avec eux. C'est ce qu'on appelle "la loi du Christ". (Voir : [[rc://en/tw/dict/bible/kt/righteous]] et [[rc://en/tw/dict/bible/kt/holy]])<br><br>###Que voulait dire Paul par l'expression " en Christ ", " dans le Seigneur ", etc...<br><br>Ce genre d'expression apparaît dans 1:22 ; 2:4, 17 ; 3:14, 26, 28 ; 5:6, 10. Paul a voulu exprimer l'idée d'une union très étroite avec le Christ et les croyants. En même temps, il a souvent voulu donner d'autres significations. Voir, par exemple, " lorsque nous cherchons à ce que Dieu nous justifie en Christ " (2:17), où Paul parle d'être justifié par le Christ.<br><br>Voir l'introduction au livre des Romains pour plus de détails sur ce genre d'expression.<br><br>#### Quels sont les enjeux majeurs du texte du livre des Galates ?<br>* " Galates insensés, de qui le mauvais œil vous a-t-il blessés ? Jésus-Christ n'a-t-il pas été représenté comme crucifié sous vos yeux ? " (3.1) ? L'ULT, l'UST et les autres versions modernes ont cette lecture. Cependant, les anciennes versions de la Bible ajoutent : " [afin] que vous n'obéissiez pas à la vérité ". Il est conseillé aux traducteurs de ne pas inclure cette expression. Toutefois, si dans la région des traducteurs, il existe des versions bibliques plus anciennes qui contiennent ce passage, les traducteurs peuvent l'inclure. Si elle est traduite, elle devrait être mise entre crochets ([]) pour indiquer qu'elle n'est probablement pas originale à Galates. (Voir : [[rc://en/ta/man/translate/translate-textvariants]]) (Voir : [[rc://en/ta/man/translate/translate-textvariants]])

GAL	1	intro	f3n5			0		# Galates 1 Notes générales<br><br>## Structure et mise en forme<br><br>Paul commence cette lettre différemment de ses autres lettres. Il ajoute qu'il n'était "pas apôtre de la part des hommes ni par l'intermédiaire d'un homme, mais par Jésus-Christ et Dieu le Père, qui l'a ressuscité des morts." Paul a probablement inclus ces mots parce que de faux enseignants s'opposaient à lui et essayaient de saper son autorité.<br><br>## Notions spéciales dans ce chapitre<br><br>### Hérésie<br><br>Dieu sauve éternellement les gens uniquement par le véritable évangile biblique. Dieu condamne toute autre version de l'évangile. Paul demande à Dieu de maudire ceux qui enseignent un faux évangile. Ils risquent de ne pas être sauvés. Ils doivent être traités comme des non-chrétiens. (Voir : [[rc://en/tw/dict/bible/kt/save]], [[rc://en/tw/dict/bible/kt/eternity]], [[rc://en/tw/dict/bible/kt/goodnews]] et [[rc://en/tw/dict/bible/kt/condemn]] et [[rc://en/tw/dict/bible/kt/curse]])<br><br>### Les qualifications de Paul<br><br>Certaines personnes dans l'église primitive enseignaient que les païens devaient obéir à la loi de Moïse. Pour réfuter cet enseignement, aux versets 13-16, Paul explique comment il était autrefois un juif zélé. Mais Dieu avait encore besoin de le sauver et de lui montrer le véritable évangile. En tant que Juif, et en tant qu'apôtre des Gentils, Paul était particulièrement qualifié pour aborder cette question. (Voir : [[rc://en/tw/dict/bible/kt/lawofmoses]])<br><br>## Autres difficultés de traduction possibles dans ce chapitre<br><br>#### "Tu te tournes si vite vers un autre évangile"<br><br>Le livre des Galates est l'une des premières lettres de Paul dans les Écritures. Il montre que les hérésies troublaient même l'église primitive. (Voir : [[rc://en/ta/man/translate/figs-explicit]])

GAL	1	1	m4ss	figs-you		0	General Information:	Sauf indication contraire, toutes les occurrences de "vous" et "votre" dans cette lettre se réfèrent aux Galates et sont au pluriel. (Voir : [[rc://en/ta/man/translate/figs-you]])

GAL	1	1	uhhp	figs-123person	Παῦλος	1		Votre langue a peut-être une façon particulière de présenter l'auteur d'une lettre. Utilisez-la ici. Autres traductions possibles : "De moi, Paul" ou "Je, Paul" (Voir : rc://fr/ta/man/translate/figs-123person)

GAL	1	1	d1kd		τοῦ ἐγείραντος αὐτὸν	1	who raised him	Traduction alternative : "qui l'a fait revivre"
