Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

EPH	front	intro	e3di			0		Introduction aux Ephésiens<br><br><br>### Partie 1 : Introduction générale<br><br>#### Plan d'Éphésiens<br><br>1. Salutation et prière pour les bénédictions spirituelles en Christ (1:1-23)<br>1. Le péché et le salut (2:1-10)<br>1. Unité et paix (2:11-22)<br>1. Le mystère du Christ dans les croyants, fait connaître (3:1-13)<br>1. Prière pour que les richesses de sa gloire rendent les croyants forts (3:14-21)<br>1. L'unité de l'Esprit, l'édification du corps du Christ (4:1-16)<br>1. La vie nouvelle (4:17-32)<br>1. Imitateurs de Dieu (5:1-21)<br>1. 1. Epouses et maris ; enfants et parents ; esclaves et maîtres (5:22-6:9)<br>11. L'armure de Dieu (6:10-20)<br>1. Salutation finale (6:21-24)<br><br>### Qui a écrit le livre des Éphésiens?<br><br>Paul a écrit les Éphésiens. Paul était originaire de la ville de Tarse. Il avait été connu sous le nom de Saul dans sa première vie. Avant de devenir chrétien, Paul était un pharisien. Il a persécuté les chrétiens. Après être devenu chrétien, il a voyagé plusieurs fois dans l'Empire romain pour parler de Jésus aux gens.<br><br>L'apôtre Paul a aidé à fonder l'église d'Éphèse lors d'un de ses voyages. Il a également vécu à Éphèse pendant un an et demi et a aidé les croyants de cette ville. Paul a probablement écrit cette lettre alors qu'il était en prison à Rome.<br><br>###Qu'est-ce que le livre des Éphésiens raconte ? <br><br>Paul a écrit cette lettre aux chrétiens d'Éphèse pour expliquer l'amour de Dieu pour eux dans le Christ Jésus. Il a décrit les bénédictions que Dieu leur accordait parce qu'ils étaient maintenant unis au Christ. Il a expliqué que tous les croyants sont unis ensemble, qu'ils soient juifs ou païens. Paul voulait aussi les encourager à vivre d'une manière qui plaise à Dieu.<br><br>#### Comment traduire le titre de ce livre?<br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, "Éphésiens". Ou ils peuvent choisir un titre plus clair, comme "La lettre de Paul à l'Église d'Éphèse" ou "Une lettre aux chrétiens d'Éphèse." (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>####Qu'est-ce que le "mystère" dans le livre des Éphésiens ? <br><br>L'expression traduite dans l'ULT par "mystère" ou "caché" apparaît six fois. Par elle, Paul entendait toujours quelque chose que Dieu devait révéler aux êtres humains parce qu'ils ne pouvaient pas le connaître par eux-mêmes. Il s'agissait toujours de quelque chose concernant la manière dont Dieu prévoyait de sauver l'humanité. Parfois, il s'agissait de son projet d'instaurer la paix entre lui et l'humanité. Parfois, il s'agissait plus spécifiquement de son projet de sauver à la fois les Juifs et les Gentils en les unissant par le Christ. Cette vérité cachée était que les païens sont maintenant en mesure de bénéficier des promesses du Christ en tant qu'égaux des juifs.<br><br>### Que disait Paul à propos du salut et de la vie juste ?<br><br>Paul a dit beaucoup de choses sur le salut et la vie juste dans cette lettre et dans beaucoup de ses lettres. Il a dit que Dieu a été très gentil et a sauvé les chrétiens parce qu'ils croient en Jésus. Par conséquent, après être devenus chrétiens, ils doivent vivre de manière juste pour montrer qu'ils ont foi en Christ. (Voir : [[rc://fr/tw/dict/bible/kt/righteous]])<br><br>## Partie 3 : Questions importantes de traduction<br><br>### Singulier et pluriel "vous"<br><br>Dans ce livre, le mot "je" fait référence à Paul. Le mot "vous" est presque toujours au pluriel et désigne les croyants qui peuvent lire cette lettre. Les trois exceptions à cette règle sont : 5:14, 6:2, et 6:3. (Voir : [[rc://fr/ta/man/translate/figs-you]])<br><br>###Qu'est-ce que Paul entendait par le " nouveau moi " ou le " nouvel homme " ?<br><br>Quand Paul parlait du " nouveau moi " ou du " nouvel homme ", il entendait la nouvelle nature qu'un croyant reçoit du Saint-Esprit. Cette nouvelle nature a été créée à l'image de Dieu (voir : 4:24). L'expression "homme nouveau" est également utilisée pour désigner la paix que Dieu a instaurée entre les Juifs et les Gentils. Dieu les a réunis en un seul groupe de personnes qui lui appartiennent (Voir : 2:15).<br><br>### Comment les idées de "saint" et de "sanctifier" sont-elles représentées dans Éphésiens dans l'ULT ? <br><br>Les Écritures utilisent ces mots pour indiquer l'une quelconque de plusieurs idées. Pour cette raison, il est souvent difficile pour les traducteurs de bien les représenter dans leurs versions. Pour traduire en anglais, l'ULT utilise les principes suivants:<br>* Parfois, le sens d'un passage implique une sainteté morale. Particulièrement important pour la compréhension de l'évangile est l'utilisation de "saint" pour exprimer le fait que Dieu considère les chrétiens comme sans péché parce qu'ils sont unis à Jésus-Christ. Un autre usage de "saint" est d'exprimer l'idée que Dieu est parfait et sans défaut. Une troisième utilisation consiste à exprimer l'idée que les chrétiens doivent se comporter dans la vie d'une manière irréprochable et sans défaut. Dans ces cas, l'ULT utilise "saint", "Dieu saint", "saints" ou "saints". (Voir : 1:1, 4)<br>* Parfois, le sens d'un passage indique une simple référence aux chrétiens sans impliquer un rôle particulier rempli par eux. Dans ces cas, l'ULT utilise "saint" ou "saints"<br>* Parfois, le sens dans un passage implique l'idée de quelqu'un ou de quelque chose mis à part pour Dieu seul. Dans ces cas, l'ULT utilise "mis à part", "dédié à" ou "réservé pour". (Voir : 3:5)<br><br>L'UST sera souvent utile lorsque les traducteurs réfléchiront à la façon de représenter ces idées dans leurs propres versions.<br><br>####Qu'est-ce que Paul entendait par l'expression " en Christ ", " dans le Seigneur ", etc.?<br><br>Ce genre d'expression apparaît dans 1:1, 3, 4, 6, 7, 9, 10, 11, 12, 13, 15, 20 ; 2:6, 7, 10, 13, 15, 16, 18, 21, 22 ; 3:5, 6, 9, 11, 12, 21 ; 4:1, 17, 21, 32 ; 5:8, 18, 19 ; 6:1, 10, 18, 21. Paul a voulu exprimer l'idée d'une union très étroite entre le Christ et les croyants. Veuillez consulter l'introduction au livre des Romains pour plus de détails sur ce genre d'expression.<br><br>#### Quels sont les enjeux majeurs du texte du livre des Éphésiens?<br>* " à Éphèse " (1:1). Certains des manuscrits les plus anciens ne comportent pas cette expression. Il est probable que Paul avait l'intention que cette lettre soit lue dans de nombreuses églises, notamment à Éphèse et dans de nombreuses autres villes. À l'origine, il a peut-être laissé un espace vide pour que le nom de la ville soit rempli par ceux qui copiaient la lettre et la portaient dans différentes villes. Mais "Ephèse" est le seul nom trouvé sur les manuscrits qui ont un nom de ville. Par conséquent, l'ULT, l'UST et de nombreuses versions modernes l'incluent.<br>* "parce que nous sommes membres de son corps" (5:30). La plupart des versions modernes, y compris l'ULT et l'UST, lisent de cette façon. Certaines versions plus anciennes lisent : "parce que nous sommes membres de son corps et de ses os". Les traducteurs peuvent décider de choisir la deuxième lecture si d'autres versions dans leur région la présentent de cette façon. Si les traducteurs choisissent la deuxième lecture, ils devraient mettre les mots supplémentaires entre crochets ([]) pour indiquer qu'ils ne sont probablement pas originaux du livre des Éphésiens.<br><br>(Voir : [[rc://fr/ta/man/translate/translate-textvariants]])

EPH	1	intro	fg42			0		# Éphésiens 1 Notes générales<br><br>## Structure et mise en forme<br><br>### "Je prie"<br><br>Paul structure une partie de ce chapitre comme une prière de louange à Dieu. Mais Paul ne se contente pas de parler à Dieu. Il enseigne à l'église d'Éphèse. Il dit aussi aux Éphésiens comment il prie pour eux.<br><br>## Concepts spéciaux dans ce chapitre<br><br>### Prédestination<br><br>Beaucoup de spécialistes croient que ce chapitre enseigne sur un sujet connu sous le nom de "prédestination." Voir l'utilisation du mot "prédestination" en 1:5, 11. Certains chercheurs considèrent que cela indique que Dieu a, dès avant la fondation du monde, choisi certaines personnes à sauver. Les chrétiens ont des points de vue différents sur ce que la Bible enseigne à ce sujet, de sorte que les traducteurs doivent faire très attention lorsqu'ils traduisent ce chapitre. (Voir : [[rc://fr/tw/dict/bible/kt/predestine]])

EPH	1	1	kx1g	figs-you		0	General Information:	Paul se désigne lui-même comme l'auteur de cette lettre aux croyants de l'église d'Éphèse (et d'ailleurs). Sauf indication contraire, toutes les occurrences de "vous" et "votre" font référence aux croyants d'Éphèse ainsi qu'à tous les croyants, et sont donc au pluriel. (Voir : [[rc://fr/ta/man/translate/figs-you]])

EPH	1	1	ilf2		Παῦλος, ἀπόστολος Χριστοῦ Ἰησοῦ…τοῖς ἁγίοις τοῖς οὖσιν	1	Paul, an apostle of Christ Jesus … to the saints who are	Votre langue peut avoir une façon particulière de présenter l'auteur d'une lettre et le public visé. Traduction alternative : "Moi, Paul, apôtre de Jésus-Christ... j'écris cette lettre pour vous, peuple saint de Dieu".

EPH	1	1	u73p	figs-metaphor	ἐν Χριστῷ Ἰησοῦ	1	in Christ Jesus	L'expression **dans le Christ Jésus** et les expressions similaires sont des métaphores qui apparaissent fréquemment dans les lettres du Nouveau Testament. Elles expriment le type de relation le plus fort possible entre le Christ et ceux qui croient en lui, en imaginant les croyants comme étant entourés du Christ. Autre traduction : "en relation étroite avec le Christ Jésus" (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
