Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

PHP	front	intro	pv9j			0		# Introduction au livre des Philippiens<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre des Philippiens<br><br>1. Salutation, action de grâce et prière (1:1-11)<br>2. Rapport de Paul sur son ministère (1:12-26)<br>3. Instructions<br> * Être inébranlable (1:27-30)<br> * Être uni (2:1-2)<br> * Être humble (2:3-11)<br> * Travailler à notre salut, Dieu agissant en vous (2:12-13)<br> * Être innocent, et brillant comme la lumière (2:14-18)<br>4. Timothée et Epaphrodite (2:19-30)<br>5. Mise en garde contre les faux enseignants (3:1-4:1)<br>6. Instruction personnelle (4:2-5)<br>7. Se réjouir et ne pas s'inquiéter (4:4-6)<br>8. Remarques finales<br> * Valeurs (4:8-9)<br> * Contentement (4:10-20)<br> * Salutations finales (4:21-23)<br><br>### Qui a écrit le livre des Philippiens?<br><br>Paul a écrit les Philippiens. Paul était originaire de la ville de Tarse. Il avait été connu sous le nom de Saul dans sa première vie. Avant de devenir chrétien, Paul était un pharisien. Il a persécuté les chrétiens. Après être devenu chrétien, il a voyagé plusieurs fois dans l'Empire romain pour parler de Jésus aux gens.<br><br>Paul a écrit cette lettre alors qu'il était en prison à Rome.<br><br>### De quoi parle le livre des Philippiens ?<br><br>Paul a écrit cette lettre aux croyants de Philippes, une ville de Macédoine. Il l'a écrite pour remercier les Philippiens du cadeau qu'ils lui avaient envoyé. Il voulait leur dire comment il allait en prison et les encourager à se réjouir, même s'ils souffraient. Il leur a également écrit au sujet d'un homme nommé Epaphrodite, celui qui a apporté le cadeau à Paul. Pendant qu'il rendait visite à Paul, Epaphrodite est tombé malade, et Paul a décidé de le renvoyer à Philippes. Paul a encouragé les croyants de Philippes à l'accueillir et à être gentils avec Epaphrodite à son retour.<br><br>### Comment traduire le titre de ce livre ? <br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, "Philippiens". Ou ils peuvent choisir un titre plus clair, comme "La lettre de Paul à l'Église de Philippes", ou "Une lettre aux chrétiens de Philippes." (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>#### A quoi ressemblait la ville de Philippes?<br><br>Philippe, le père d'Alexandre le Grand, a fondé Philippes dans la région de la Macédoine. Cela signifie que les citoyens de Philippes étaient également considérés comme des citoyens de Rome. Les habitants de Philippes étaient fiers d'être citoyens de Rome. Mais Paul dit aux croyants qu'il est beaucoup plus important qu'ils soient citoyens du ciel (3:20).<br><br>## Partie 3 : Questions importantes de traduction<br><br>### Singulier et pluriel "vous"<br><br>Dans ce livre, le mot "je" fait référence à Paul. Les mots "vous" et "votre" font toujours référence aux croyants de Philippes, sauf une fois dans 4:3. (Voir : [[rc://fr/ta/man/translate/figs-you]])<br><br>#### Qui étaient les " ennemis de la croix du Christ " (3:18) dans cette lettre ?<br><br>Les " ennemis de la croix du Christ " étaient probablement des gens qui se disaient croyants, mais qui n'obéissaient pas aux commandements de Dieu. Ils pensaient que la liberté en Christ signifiait que les croyants pouvaient faire tout ce qu'ils désiraient, et que Dieu ne les punirait pas (3:19).<br><br>### Pourquoi les mots "joie" et "se réjouir" ont-ils été fréquemment utilisés dans cette lettre?<br><br>Paul était en prison lorsqu'il a écrit cette lettre (1:7). Même s'il souffrait, Paul a dit à plusieurs reprises qu'il était joyeux parce que Dieu avait été bon pour lui par Jésus-Christ. Il voulait encourager ses lecteurs à avoir la même confiance en Jésus-Christ.<br><br>###Que veut dire Paul par les expressions " en Christ ", ou " dans le Seigneur ", etc...<br><br>Ce genre d'expressions se retrouve dans 1:1, 8, 13, 14, 26, 27 ; 2:1, 5, 19, 24, 29 ; 3:1, 3, 9, 14 ; 4:1, 2, 4, 7, 10, 13, 19, 21. Paul a voulu exprimer l'idée d'une union très étroite entre le Christ et les croyants. Voir l'introduction au livre de Romains pour plus de détails sur ce genre d'expression.<br><br>####Quels sont les problèmes majeurs du texte du livre de Philippiens?<br><br>Certaines versions ont "Amen" à la fin du dernier verset de la lettre (4:23). L'ULT, l'UST et certaines versions modernes l'incluent, mais beaucoup d'autres versions ne le font pas. (Voir : [[rc://fr/ta/man/translate/translate-textvariants]])

PHP	1	intro	kd3g			0		# Philippiens 1 Notes générales<br><br>## Structure et formatage<br><br>Paul suit la pratique normale de l'époque en commençant la lettre par l'énoncé des noms des expéditeurs et des destinataires. Dans cette culture, l'expéditeur offrait ensuite un bon souhait pour les destinataires. Paul le fait sous la forme d'une bénédiction chrétienne.<br><br>### Concepts spéciaux dans ce chapitre<br><br>### Le jour du Christ<br><br>Il s'agit du jour où le Christ revient. Paul a souvent lié le retour du Christ à la motivation d'une vie pieuse. (Voir : [[rc://fr/tw/dict/bible/kt/godly]])<br><br>### Autres difficultés de traduction possibles dans ce chapitre<br><br>### Paradoxe<br><br><br>Un paradoxe est une déclaration vraie qui semble décrire quelque chose d'impossible. Cette déclaration du verset 21 est un paradoxe : "mourir est un gain". Au verset 23, Paul explique pourquoi cela est vrai. ([Philippiens 1:21](../../php/01/21.md))

PHP	1	1	xk9z	translate-names	Παῦλος καὶ Τιμόθεος	1	Paul and Timothy	**Paul** et **Timothée** sont des noms d'hommes. (Voir : [[rc://fr/ta/man/translate/translate-names]])

PHP	1	1	bzfs		ἐν Χριστῷ Ἰησοῦ	1	Paul and Timothy	Traduction alternative : "en union avec le Christ Jésus"

PHP	1	2	uuep	translate-blessing	χάρις ὑμῖν καὶ εἰρήνη	1	Grace to you and peace	Il s'agit d'une salutation et d'une bénédiction que Paul utilise souvent au début de ses lettres. Utilisez une forme dans votre langue qui indique clairement qu'il s'agit d'une salutation et d'une bénédiction. Autre traduction possible : "Puissiez-vous éprouver en vous la bonté, la miséricorde et la paix" ou "Je prie pour que vous ayez la grâce, la miséricorde et la paix" (Voir : [[rc://fr/ta/man/translate/translate-blessing]])

