Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

COL	front	intro	d9hy			0		# Introduction à Colossiens<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre des Colossiens<br><br>1. Ouverture de la lettre (1:1-12)<br> * Salutation (1:1-2)<br> * Prière d'action de grâce (1:3-8)<br> * Prière de pétition (1:9-12)<br>2. Section d'enseignement (1:13-2:23)<br> * Christ et son œuvre (1:13-20)<br> * L'œuvre de Christ appliquée aux Colossiens (1:21-23)<br> * Le ministère de Paul (1:24-2:5)<br> * Les effets de l'œuvre de Christ (2:6-15)<br> * La liberté en Christ (2:16-23)<br>3. Section Exhortation<br> * Cherchez les choses d'en haut (3:1-4)<br> * Dépouillez-vous des vices, revêtez-vous des vertus (3:5-17)<br> * Commandements pour le foyer (3:18-4:1)<br> * Demande de prière et comportement envers les étrangers (4:2-6)<br>4. Clôture de la lettre (4:7-18)<br> * Les messagers (4:7-9)<br> * Salutations des amis (4:10-14)<br> * Salutations et instructions de Paul (4:15-17)<br> * Salutations de la main même de Paul (4:18)<br><br>### Qui a écrit le livre des Colossiens?<br><br>L'auteur s'identifie comme l'apôtre Paul. Paul était originaire de la ville de Tarse. Il avait été connu sous le nom de Saul dans sa première vie. Avant de devenir chrétien, Paul était un pharisien, et il persécutait les chrétiens. Après être devenu chrétien, il a voyagé plusieurs fois dans l'Empire romain pour parler de Jésus aux gens. Cependant, il n'avait jamais rencontré les Colossiens en personne (voir [2:1](../02/01.md)).<br><br>Paul a écrit cette lettre alors qu'il était en prison ([4:3](../04/03.md) ; [4:18](../04/18.md)). Paul a été emprisonné à plusieurs reprises, et il ne dit pas où il se trouve. Beaucoup de chercheurs pensent qu'il est à Rome.<br><br>### De quoi parle le livre des Colossiens ?<br><br>Paul a écrit cette lettre aux croyants de la ville de Colosses, qui se trouve en Asie Mineure (Turquie moderne). Lorsqu'il a entendu parler par Epaphras des croyants de Colosses, il a écrit pour les encourager et les mettre en garde contre les faux enseignants. Ces faux enseignants disaient aux gens qu'ils devaient obéir à certaines règles et savoir certaines choses pour recevoir la vie nouvelle, et ils se vantaient de leur propre pouvoir et de leurs expériences. Paul s'attaque à ce faux enseignement en montrant aux Colossiens que l'œuvre de Christ accomplit tout ce dont ils ont besoin et leur donne une vie nouvelle. Lorsqu'ils sont unis au Christ, ils n'ont besoin de rien d'autre, y compris de ce faux enseignement.<br><br>### Comment traduire le titre de ce livre ? <br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, "Colossiens". Ou ils peuvent choisir un titre plus clair, comme "La lettre de Paul à l'Église de Colosses" ou "Une lettre aux chrétiens de Colosses." (Voir : [[rc://en/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>#### Qui étaient les faux enseignants contre lesquels Paul met en garde les Colossiens ? <br><br>Le plus probable est que ces faux enseignants ne faisaient pas partie d'un groupe ou d'un système de croyance spécifique. Ils croyaient et pratiquaient probablement des choses issues de plusieurs systèmes de croyance différents. Pour cette raison, il est difficile de décrire exactement ce qu'ils croyaient et enseignaient. D'après ce que Paul dit d'eux, ils avaient certaines règles concernant la nourriture et la boisson, les rituels des jours spéciaux et le comportement. Ils avaient ce que Paul appelle une "philosophie", c'est-à-dire un système de réflexion sur le monde qu'ils jugeaient sophistiqué. Il semble qu'ils aient fondé au moins une partie de ces croyances et de ces règles sur des visions et des expériences merveilleuses qui incluaient probablement ce qu'ils croyaient être des rencontres avec des anges. Paul soutient que les personnes qui adhèrent à ces points de vue ne restent pas fidèles au Christ, et il veut que les Colossiens se concentrent sur l'œuvre du Christ pour eux, qui a accompli tout ce que ce faux enseignement prétend faire et plus encore.<br><br>#### Que veut dire Paul lorsqu'il utilise le langage du "ciel"?<br><br>Paul parle du ciel comme étant "en haut", et il le définit en outre comme étant le lieu où le Christ est assis à la droite de Dieu et où les bénédictions sont emmagasinées pour les croyants. Il est fort probable que les puissances spirituelles se trouvent également au ciel. Lorsque Paul dit aux Colossiens de se concentrer sur ce qui est "en haut" ([3:1](../03/01.md)), ce n'est pas parce que le ciel est bon et la terre mauvaise. C'est plutôt parce que le ciel est l'endroit où se trouve le Christ, comme il l'affirme dans le même verset. Les Colossiens sont censés se concentrer sur le Christ et sur le lieu où il se trouve.<br><br>### Quelles sont les puissances spirituelles dont Paul parle?<br><br>Paul parle de trônes, de dominations, de gouvernements et d'autorités dans [1:16](../01/16.md), et il utilise à nouveau certains de ces mots dans [2:10](../02/10.md) ; [2:15](../02/15.md). Ces mots se réfèrent à des personnes ou des choses qui ont du pouvoir et de l'autorité, et dans la lettre aux Colossiens, ils se réfèrent probablement plus spécifiquement à des êtres spirituels puissants. Les "principes élémentaires" dans [2:8](../02/08.md) ; [2:20](../02/20.md) se réfèrent probablement au même type d'êtres de manière générique. Paul ne dit jamais spécifiquement que ces puissances spirituelles sont mauvaises, mais il dit que l'œuvre du Christ en libère les Colossiens. Obéir à ces puissances et se concentrer sur elles s'oppose donc à la nouvelle vie que le Christ a donnée.<br><br>### Qui sont toutes les personnes que Paul mentionne dans la lettre ?<br><br>La plupart des personnes qui sont mentionnées à la fin de la lettre sont soit avec Paul, soit des personnes que Paul connaît dans la ville de Colosses ou à proximité. Epaphras est mentionné plusieurs fois, car c'est lui qui a été le premier à prêcher la bonne nouvelle aux Colossiens et celui qui a parlé d'eux à Paul. Tychique et Onésime sont ceux qui ont voyagé de Paul à Colosses avec la lettre, et ils sont en mesure de donner plus de mises à jour sur Paul et les personnes avec lui.<br><br>### Pourquoi Paul mentionne-t-il d'autres villes dans cette lettre ?<br><br>Paul mentionne Laodicée et Hiérapolis parce que ce sont des villes proches dans la même vallée. Si une personne se tenait à Colossae, elle pouvait voir Laodicée au bord de la vallée. Paul mentionne ces trois villes (Colosses, Laodicée et Hiérapolis) parce que ce sont des villes où Epaphras a prêché la bonne nouvelle, et que Paul n'avait jamais rencontré de chrétiens dans ces endroits. C'est peut-être à cause de ces similitudes et parce qu'ils étaient si proches les uns des autres que Paul a voulu que les Colossiens et les Laodicéens partagent leurs lettres.<br><br>## Partie 3 : Questions importantes de traduction<br><br>#### Comment Paul identifie-t-il Jésus comme Dieu ?<br><br>Paul appelle Jésus l'" image " de Dieu et le " premier-né " de toute la création ([1:15](../01/15.md)). Aucune de ces descriptions ne vise à décrire Jésus comme la première ou la meilleure chose que Dieu a créée ; au contraire, elles le placent en dehors de la création. Cela ressort clairement du verset suivant, qui l'identifie comme créateur ([1:16](../01/16.md)). Si Jésus n'est pas créé, il est Dieu. Le fait d'être " avant toutes choses " et que " toutes choses se tiennent " en lui sont des affirmations qui vont dans le même sens ([1:17](../01/17.md)).<br><br>Paul décrit deux fois Jésus comme ayant la " plénitude " de Dieu ([1:19](../01/19.md) ; [2:9](../02/09.md)). Cela ne signifie pas que Jésus était particulièrement proche de Dieu ou que Dieu vivait en lui. Cela signifie plutôt que Jésus est tout ce que Dieu est (la " plénitude " de Dieu).<br><br>Enfin, Jésus est assis à la droite de Dieu dans le ciel (3:1). Cela ne signifie pas qu'il est un personnage puissant qui obéit à Dieu. Cela signifie plutôt qu'il est assis sur le trône divin avec Dieu, et qu'il est Dieu.<br><br>### Comment Paul identifie-t-il Jésus comme humain?<br><br>Paul dit que Jésus est mort dans "le corps de sa chair" ([1:22](../01/22.md)). De plus, lorsqu'il affirme que Jésus est la " plénitude " de Dieu, cela est vrai de lui " corporellement " ([2:9](../02/09.md)). Lorsque Paul dit que Jésus a un " corps ", cela ne signifie pas que Jésus a simplement utilisé un corps pour avoir l'air humain. Il veut plutôt dire que Jésus est un humain incarné comme nous.<br><br>### Que veut dire Paul lorsqu'il dit aux Colossiens qu'ils sont morts et revenus à la vie ?<br><br>Plusieurs fois dans la lettre, Paul dit aux Colossiens qu'ils sont morts et ressuscités avec le Christ. Cela ne signifie pas que les Colossiens sont physiquement morts et qu'ils sont ensuite revenus d'entre les morts. Ce langage n'est pas non plus une simple figure de style que Paul ne veut pas vraiment dire. Il signifie plutôt que Dieu a inclus les croyants avec le Christ lorsqu'il est mort et ressuscité. Alors que les Colossiens n'étaient pas encore physiquement morts et ressuscités, ils pouvaient déjà faire l'expérience de la mort au monde et à ses pouvoirs, et d'une nouvelle vie avec ses bénédictions, en raison de leur union avec le Christ dans sa mort et sa résurrection.<br><br>#### Que veut dire Paul quand il parle de la connaissance ?<br><br>Paul utilise le langage de la connaissance tout au long de sa lettre, y compris des mots tels que "savoir", "connaissance" et "compréhension". Peut-être les faux enseignants promettaient-ils la "connaissance" de Dieu et de sa volonté à ceux qui les écoutaient, et Paul entendait montrer aux Colossiens que toute la connaissance dont ils avaient besoin se trouvait dans le Christ et son œuvre. Que cela soit vrai ou non, Paul a clairement l'intention de dire aux Colossiens qu'il est important de grandir dans leur connaissance de Dieu et que cette connaissance peut être trouvée en Christ. "La connaissance" fait référence au fait d'en apprendre davantage sur Dieu, sa volonté et son œuvre dans le monde, et le fait de "connaître" ces choses conduit à une vie nouvelle et à un changement de comportement.<br><br>### Quelles sont les questions majeures dans le texte du livre des Colossiens?<br><br>Pour les versets suivants, il y a des différences entre certains des anciens manuscrits. Le texte ULT suit la lecture que la plupart des érudits considèrent comme originale et place l'autre lecture dans une note de bas de page. Si une traduction de la Bible existe dans la langue de communication la plus répandue dans la région, les traducteurs peuvent envisager d'utiliser la lecture trouvée dans cette version. Sinon, il est conseillé aux traducteurs de suivre la lecture de l'ULT.<br><br>* "Grâce à vous, et paix de la part de Dieu notre Père et du Seigneur Jésus-Christ" ([1:2](../01/02.md)). Certains manuscrits anciens ont ceci : "Grâce à vous, et paix de la part de Dieu notre Père."<br>* "Epaphras, notre bien-aimé compagnon de service, qui est un fidèle serviteur du Christ en notre faveur" ([1:7](../01/07.md)). Certains manuscrits anciens ont ceci : "Epaphras, notre bien-aimé compagnon de service, qui est un fidèle serviteur du Christ en votre faveur"<br>* "le Père, qui vous a rendus aptes à partager l'héritage des saints dans la lumière" ([1:12](../01/12.md)). Certains manuscrits anciens ont ceci : "le Père, qui nous a rendus capables de partager l'héritage des saints dans la lumière."<br>* "en qui nous avons la rédemption, le pardon des péchés" ([1:14](../01/14.md)). Certains manuscrits anciens ont ceci : "en qui nous avons la rédemption par son sang, le pardon des péchés."<br>* "nous ayant pardonné toutes nos offenses" ([2:13](../02/13.md)). Certains manuscrits anciens ont ceci : "vous ayant pardonné toutes vos offenses."<br>* "Quand le Christ, votre vie, sera révélé" ([3:4](../03/04.md)). Certains manuscrits anciens ont ceci : "Quand le Christ, notre vie, sera révélé."<br>* "la colère de Dieu arrive" ([3:6](../03/06.md)). Certains manuscrits anciens ont ceci : "la colère de Dieu vient sur les fils de la désobéissance."<br>* "afin que vous connaissiez les choses qui nous concernent" ([4:8](../04/08.md)). Certains manuscrits anciens ont ceci : "afin qu'il sache les choses qui vous concernent."<br><br>(Voir : [[rc://en/ta/man/translate/translate-textvariants]]).

COL	1	intro	gtm3			0		# Colossiens 1 Notes générales<br><br>## Structure et mise en forme<br><br>1. Ouverture de la lettre (1:1-12)<br> * Salutation (1:1-2)<br> * Prière d'action de grâce (1:3-8)<br> * Prière de pétition (1:9-12)<br>2. Section d'enseignement (1:13-2:23)<br> * Le Christ et son œuvre (1:13-20)<br> * L'œuvre du Christ appliquée aux Colossiens (1:21-23)<br> * Le ministère de Paul (1:24-2:5)<br><br>Paul commence cette lettre en [1:1-2](../01/01.md) en donnant son nom et celui de Timothée, en identifiant les personnes à qui il écrit, et en offrant une salutation. C'est ainsi que les gens commençaient généralement leurs lettres à cette époque.<br><br>## Concepts spéciaux dans ce chapitre<br><br>### Mystère<br><br>Paul fait référence à un "mystère" pour la première fois dans ce chapitre ([1:26-27](../01/26.md)). Il ne s'agit pas d'une vérité secrète, difficile à comprendre, que seuls quelques privilégiés peuvent connaître. Il s'agit plutôt des plans de Dieu qui étaient autrefois inconnus mais qui sont maintenant connus de tout son peuple. Quel est le contenu de ce mystère ? C'est le Christ lui-même, son œuvre et son union avec les croyants. (Voir : [[rc://en/tw/dict/bible/kt/reveal]])<br><br>### Plénitude<br><br>Paul fait référence au " remplissage " ou à la " plénitude " quatre fois dans ce chapitre. Premièrement, Paul prie pour que les Colossiens soient " remplis " de la connaissance de la volonté de Dieu ([1:9](../01/09.md)). Deuxièmement, Jésus possède toute la "plénitude" de Dieu ([1:19](../01/19.md)). Troisièmement, Paul "comble" dans sa chair ce qui manque dans les afflictions du Christ ([1:24](../01/24.md)). Quatrièmement, Paul fait connaître "pleinement" la parole de Dieu ([1:25](../01/25.md)). Il est possible que Paul utilise si souvent les mots "remplissage" et "plénitude" parce que c'était quelque chose que les faux enseignants promettaient. Paul veut plutôt montrer comment la "plénitude" vient par l'œuvre du Christ et par sa propre œuvre en leur faveur. Christ possède la plénitude de Dieu, et Paul travaille pour Christ en " remplissant " les Colossiens, qui sont ensuite " remplis " de la connaissance de la volonté de Dieu.<br><br>### Figures de style importantes dans ce chapitre<br><br>#### Images de la vie chrétienne<br><br>Paul utilise de nombreuses images différentes pour décrire la vie chrétienne. Dans ce chapitre, il utilise les images de "marcher" et de "porter du fruit" (1:10). Ces images montrent que Paul veut que les Colossiens pensent à la vie chrétienne comme à une vie qui est dirigée vers un but (soit une destination, si l'on marche, soit un fruit, si l'on croît). (Voir : [[rc://en/tw/dict/bible/other/fruit]])<br><br>### Lumière contre ténèbres<br><br>Paul oppose " l'héritage des saints dans la lumière " ([1:12](../01/12.md)) à " l'autorité des ténèbres " ([1:12](../01/12.md)). La "lumière" décrit ce qui est bon, désirable, et lié à la faveur de Dieu. Les " ténèbres " décrivent ce qui est éloigné de Dieu, opposé à lui et mauvais.<br><br>### Tête et corps<br><br>Dans ce chapitre, Paul introduit une image qu'il développera plus complètement au chapitre 2 : celle du Christ comme tête du corps, qui est son église. Cette image identifie le Christ comme la source de vie et de direction de son église, tout comme la tête est la source de vie et de direction du corps.<br><br>### Autres difficultés de traduction possibles dans ce chapitre<br><br>### Le manque des afflictions du Christ<br><br>En [1:24](../01/24.md), Paul parle du " manque des afflictions du Christ ", un manque qu'il comble par ses souffrances. Cela ne signifie pas que le Christ a en quelque sorte échoué dans sa mission et son œuvre, et que Paul doit combler les pièces manquantes. Au contraire, le "manque" fait référence à quelque chose que le Christ a intentionnellement laissé à ses disciples pour qu'ils le complètent. Il les a appelés à souffrir, tout comme il l'a fait lui-même, pour poursuivre la mission de l'église.<br><br>### Le "Christ-Hymn"<br><br>De nombreux spécialistes pensent que [1:15-20](../01/15.md) est un hymne chrétien primitif que Paul a cité pour rappeler aux Colossiens ce qu'ils croient en commun avec les autres chrétiens. Si cela est vrai, cela ne signifie pas que cette section dit quelque chose de différent de ce que Paul pense. Au contraire, Paul a choisi de le citer parce qu'il l'affirme pleinement. Si cela peut aider vos lecteurs, vous pouvez formater ces versets de manière à montrer qu'ils sont extraits d'un hymne ou d'un poème.

COL	1	1	nlf1	figs-exclusive		0	General Information:	Tout au long de cette lettre, les mots " nous ", " notre ", " nos " et " nos " incluent les croyants colossiens, sauf indication contraire. (Voir : [[rc://en/ta/man/translate/figs-exclusive]])

COL	1	1	bqvt	figs-yousingular		0	General Information:	Les mots "vous", "votre" et "vos" font référence aux croyants colossiens, et sont donc au pluriel, sauf indication contraire. (Voir : [[rc://en/ta/man/translate/figs-yousingular]])

COL	1	1	xnhq	figs-123person	Παῦλος	1		Dans cette culture, les auteurs de lettres donnaient d'abord leur propre nom, en se référant à eux-mêmes à la troisième personne. Si cela prête à confusion dans votre langue, vous pouvez utiliser la première personne ici. Si votre langue a une façon particulière de présenter l'auteur d'une lettre, et si cela peut être utile à vos lecteurs, vous pouvez l'utiliser ici. Traduction alternative : "De Paul" (Voir : [[rc://en/ta/man/translate/figs-123person]])
