Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

2TH	front	intro	krd6			0		Introduction à 2 Thessaloniciens<br><br>### Première partie : Introduction générale<br><br>#### Schéma du livre de 2 Thessaloniciens<br><br>1. Salutations et actions de grâce (1:1-2)<br>1. Les croyants souffrent de la persécution (1:3-12)<br> * Dieu utilise la persécution pour augmenter la foi, l'amour et l'endurance chez les croyants (1:3-4)<br> * Dieu est juste : (1:5-12)<br> * Dieu rendra les croyants dignes de son royaume<br> * Dieu donnera du secours aux croyants<br> * Dieu punira ceux qui persécutent les croyants<br>1. Certains croyants se méprennent sur la seconde venue du Christ (2:1-12)<br> * Le retour du Christ n'a pas encore eu lieu (2:1-2)<br> * Instruction sur les événements qui précéderont le retour du Christ (2:3-12)<br>1. La confiance de Paul que Dieu sauvera les croyants thessaloniciens (2:13-17)<br> * Paul appelle les croyants thessaloniciens à "tenir bon" (2:13-15)<br> * Paul prie pour que Dieu les réconforte (2:16-17)<br>1. Paul demande que les croyants de Thessalonique prient pour lui (3:1-5)<br>1. Paul donne des ordres concernant les croyants oisifs (3:6-15)<br>1. Clôture (3:16-17)<br><br>### Qui a écrit 2 Thessaloniciens?<br><br>Paul a écrit 2 Thessaloniciens. Il était originaire de la ville de Tarse. Il avait été connu sous le nom de Saul dans sa première vie. Avant de devenir chrétien, Paul était un pharisien. Il a persécuté les croyants. Après être devenu croyant, il a voyagé plusieurs fois dans l'Empire romain pour parler de Jésus aux gens.<br><br>Paul est l'auteur de cette lettre, mais il inclut Silvanus et Timothée comme expéditeurs de la lettre. Paul a écrit cette lettre alors que lui, Silvanus et Timothée séjournaient dans la ville de Corinthe.<br><br>#### De quoi parle le livre de 2 Thessaloniciens ? <br><br>Paul a écrit cette lettre aux croyants de la ville de Thessalonique. Il encourageait les croyants parce qu'ils étaient persécutés. Il leur a dit de continuer à vivre d'une manière qui plaisait à Dieu. Il voulait aussi leur enseigner à nouveau le retour du Christ. Il les a également avertis qu'ils ne devaient pas rester oisifs mais qu'ils devaient travailler en attendant le retour du Christ.<br><br>### Comment traduire le titre de ce livre?<br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, "2 Thessaloniciens" ou "Second Thessaloniciens". Ou ils peuvent choisir un titre plus clair, tel que "La deuxième lettre de Paul à l'Église de Thessalonique" ou "La deuxième lettre aux chrétiens/croyants de Thessalonique." (Voir : [[rc://en/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Qu'est-ce que la "seconde venue" de Jésus?<br><br>Paul a beaucoup écrit dans cette lettre sur le retour éventuel de Jésus sur Terre. Lorsque Jésus reviendra, il jugera toute l'humanité. Il régnera aussi sur la création. Et il fera en sorte que la paix règne partout. Paul a également expliqué qu'un "homme d'illégalité" viendra avant le retour du Christ. Cette personne obéira à Satan et poussera beaucoup de gens à s'opposer à Dieu. Mais Jésus détruira cette personne à son retour.<br><br>## Partie 3 : Questions importantes de traduction<br><br>#### Que voulait dire Paul par l'expression " en Christ ", " dans le Seigneur ", etc...<br><br>Paul voulait exprimer l'idée d'une union très étroite entre le Christ et les croyants. Veuillez consulter l'introduction du livre de Romains pour plus de détails sur ce genre d'expression.<br><br>### Comment sont utilisés les pronoms dans cette lettre ?<br><br>Dans cette lettre, les mots "nous" et "nous" font référence à Paul, Silvère et Timothée, sauf indication contraire. Si votre langue différencie les pronoms inclusifs et exclusifs, utilisez un pronom exclusif pour ceux-ci. (Voir : [[rc://en/ta/man/translate/figs-exclusive]])<br><br><br>Dans cette lettre, les mots "vous" et "votre" sont pluriels et font référence aux croyants thessaloniciens. (Voir : [[rc://en/ta/man/translate/figs-yousingular]])<br><br>###Quels sont les problèmes majeurs dans le texte du livre de 2 Thessaloniciens?<br><br>Pour les versets suivants, certains manuscrits anciens ont une lecture différente des autres. L'ULT suit la lecture que les spécialistes considèrent comme la plus exacte et place l'autre lecture dans une note de bas de page. S'il existe dans votre région une traduction de la Bible avec laquelle vos concitoyens sont familiers, envisagez d'utiliser la lecture qu'elle suit. Sinon, il est conseillé aux traducteurs de suivre la lecture de l'ULT.<br>* " et l'homme de l'iniquité se révèle " (2:3). L'ULT, l'UST et la plupart des versions modernes lisent de cette façon. D'autres versions suivent la lecture, "et l'homme du péché est révélé."<br>* "Car Dieu vous a choisis comme prémices pour le salut" (2:13) L'ULT, l'UST, et quelques autres versions lisent de cette façon. L'autre lecture est : " Car Dieu vous a choisis dès le premier/le début pour le salut. "<br><br>(Voir : [[rc://en/ta/man/translate/translate-textvariants]]).

2TH	1	intro	m987			0		# 2 Thessaloniciens 1 Notes générales<br><br>## Structure et formatage<br><br>Verses 1-2 introduisent formellement cette lettre. Les lettres dans le Proche-Orient ancien avaient couramment des introductions de ce type dans lesquelles l'expéditeur s'identifiait, puis le destinataire, puis donnait une salutation.<br><br>### Autres difficultés de traduction possibles dans ce chapitre<br><br>## Paradoxe<br><br>Un paradoxe est une déclaration vraie qui semble décrire quelque chose d'impossible.<br><br>Un paradoxe se produit dans les versets 4-5 où Paul parle de la fidélité des croyants thessaloniciens à travers la persécution comme "preuve du juste jugement de Dieu." Les gens ne penseraient normalement pas que le fait de croire en Dieu tout en étant persécuté est un signe du juste jugement de Dieu. Mais le fait que Dieu leur ait donné la capacité de persévérer dans leur foi est une preuve que Dieu les considère comme siens et les jugera dignes de son royaume. Dans les versets 5 à 10, Paul poursuit son explication du jugement juste de Dieu, à savoir que Dieu récompensera ceux qui croient en lui et qu'il punira ceux qui affligent son peuple. ([2 Thessaloniciens 1:4-5](./04.md))<br><br>Un autre paradoxe se produit au verset 9, où Paul décrit la sanction du rejet de Dieu comme une " destruction éternelle. " Normalement, lorsque quelque chose est détruit, il cesse d'exister. Mais dans ce cas, les personnes qui rejettent Dieu connaîtront une séparation éternelle d'avec Dieu, comme le verset l'explique ensuite. Le fait d'être séparés de Dieu détruit tout ce qui était agréable dans leur vie, et cette destruction continue est ce qu'ils vivent pour l'éternité. ([2 Thessaloniciens 1:9](../01/09.md))

2TH	1	1	hm3e	translate-names	Σιλουανὸς	1	Silvanus	**Silvanus** est la forme latine de "Silas". **Silvanus** est le nom d'un homme, la même personne listée dans le livre des Actes comme le compagnon de voyage de Paul. Si vos lecteurs risquent de ne pas savoir qu'il s'agit de la même personne, vous pouvez utiliser le nom "Silas" dans le texte et "Silvanus" dans la note de bas de page. (Voir : [[rc://en/ta/man/translate/translate-names]])

2TH	1	1	ge00	figs-ellipsis	Παῦλος, καὶ Σιλουανὸς, καὶ Τιμόθεος; τῇ ἐκκλησίᾳ	1		Vous pouvez compléter les mots nécessaires pour que cette phrase soit complète. Autre traduction : "Paul, Silvain et Timothée envoient cette lettre à l'église" (Voir : rc://fr/ta/man/translate/figs-ellipsis)

2TH	1	1	l8q8	figs-explicit	Παῦλος, καὶ Σιλουανὸς, καὶ Τιμόθεος	1		Bien que Paul ait écrit cette lettre, il identifie Silvanus et Timothée comme l'ayant également envoyée. Cela signifie qu'ils étaient avec lui et qu'ils étaient d'accord avec elle. Si cela peut être utile à vos lecteurs, vous pourriez le préciser, comme dans l'UST. (Voir : rc://fr/ta/man/translate/figs-explicit)

2TH	1	1	eajo	figs-metaphor	ἐν Θεῷ Πατρὶ ἡμῶν καὶ Κυρίῳ Ἰησοῦ Χριστῷ	1		Ici, Paul parle au sens figuré des croyants comme s'ils occupaient un espace à l'intérieur de Dieu et de Jésus. Cette métaphore exprime l'idée que les croyants sont spirituellement unis à Dieu et à Jésus. Si cela peut être mal compris dans votre langue, vous pouvez exprimer le sens d'une manière non figurative. Traduction alternative : "unis à Dieu le Père et au Seigneur Jésus-Christ" ou "partageant la vie avec Dieu le Père et le Seigneur Jésus-Christ" (voir : rc://fr/ta/man/translate/figs-metaphor).

2TH	1	2	g6rb	translate-blessing	χάρις ὑμῖν καὶ εἰρήνη ἀπὸ Θεοῦ Πατρὸς καὶ Κυρίου Ἰησοῦ Χριστοῦ	1	Grace to you	De nombreuses langues ont des façons différentes de présenter des vœux en saluant. Paul a salué les destinataires de sa lettre avec une bénédiction. Utilisez une forme qui serait un bon souhait ou une bénédiction dans votre langue. Traduction alternative : "Nous prions Dieu le Père et le Seigneur Jésus-Christ de vous donner la grâce et la paix" ou "Je vous souhaite la grâce et la paix de la part de Dieu le Père et du Seigneur Jésus-Christ" ou "Que la grâce et la paix de Dieu le Père et du Seigneur Jésus-Christ soient votre partage" ou "Que Dieu le Père et le Seigneur Jésus-Christ fassent grâce et donnent la paix à vos cœurs" (Voir : [[rc://en/ta/man/translate/translate-blessing]])

