Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

1TI	front	intro	wy83			0		Introduction à 1 Timothée<br><br><br>### Première partie : Introduction générale<br><br>#### Schéma du livre de 1 Timothée<br><br>Dans cette lettre, Paul alterne entre des commandements personnels à Timothée qui l'habilitent à agir en tant que son représentant et avec son autorité, et des instructions sur la manière dont les disciples de Jésus doivent vivre en communauté.<br><br>1. Salutations (1:1-2)<br>2. Paul commande à Timothée de dire aux gens de ne pas enseigner de fausses doctrines (1:3-20)<br>3. Paul donne des instructions sur la façon de rétablir l'ordre et la décence dans l'église (2:1-15)<br>4. Paul donne des instructions sur la façon de s'assurer que les anciens et les diacres sont correctement qualifiés (3:1-13)<br>5. Paul commande à Timothée concernant sa conduite personnelle (3:14-5:2)<br>6. Paul donne des instructions pour assurer le soutien de l'église aux veuves (5:3-16) et aux anciens (5:17-20)<br>7. Paul commande à Timothée qu'il doit être impartial (5:21-25)<br>8. Paul donne des instructions pour assurer l'ordre dans les relations maître-serviteur (6:1-2a)<br>9. Paul donne des instructions à Timothée concernant la manière dont il doit enseigner et se conduire (6:2b-16)<br>10. Paul donne des instructions sur la manière dont les personnes riches doivent vivre (6:17-19)<br>11. Paul commande à Timothée de garder ce qui a été confié à ses soins (6:20-21a)<br>12. Bénédiction de clôture à toute l'église (6:21b)<br><br>### Qui a écrit le livre de 1 Timothée?<br><br>Un homme nommé Paul a écrit 1 Timothée. Paul était originaire de la ville de Tarse. Il avait été connu sous le nom de Saul dans sa première vie. Avant de devenir chrétien, Paul était un pharisien. Il a persécuté les chrétiens. Après être devenu chrétien, il a voyagé plusieurs fois dans l'Empire romain pour parler de Jésus aux gens.<br><br>Paul a peut-être écrit d'autres lettres à Timothée, mais celle-ci est la plus ancienne que nous ayons encore. C'est pourquoi elle est connue sous le nom de 1 Timothée ou Première Timothée. Timothée était le disciple et l'ami intime de Paul. Paul a probablement écrit cette lettre vers la fin de sa vie.<br><br>###De quoi parle le livre de 1 Timothée ? <br><br>Paul avait laissé Timothée dans la ville d'Éphèse pour aider les croyants de cette ville. Paul a écrit cette lettre pour instruire Timothée sur divers sujets. Les sujets qu'il abordait comprenaient le culte de l'église, les qualifications des dirigeants de l'église et les avertissements contre les faux enseignants. Cette lettre montre comment Paul formait Timothée pour qu'il devienne un leader parmi les églises, tandis que Timothée lui-même formait d'autres leaders.<br><br>### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre habituel, "1 Timothée" ou "Premier Timothée". Ou bien ils peuvent choisir un titre différent, tel que "La première lettre de Paul à Timothée". (Voir : [[rc://en/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Qu'est-ce que le discipulat?<br><br>Le discipulat est le processus qui consiste à faire des gens des disciples du Christ. Le but du discipulat est d'encourager les autres chrétiens à ressembler davantage au Christ. Cette lettre donne de nombreuses instructions sur la façon dont un leader doit former un chrétien moins mature. (Voir : [[rc://en/tw/dict/bible/kt/disciple]])<br><br>## Partie 3 : Questions importantes de traduction<br><br>#### Que voulait dire Paul par l'expression "en Christ"?<br><br>Paul voulait exprimer l'idée d'une union très étroite avec le Christ et les croyants. Veuillez consulter l'introduction du livre de Romains pour plus de détails sur ce genre d'expression.<br><br>### Quels sont les principaux problèmes textuels dans le texte du livre de 1 Timothée?<br><br>En [6:5](../06/05.md), les manuscrits grecs les plus anciens diffèrent des manuscrits grecs ultérieurs. Les traductions modernes peuvent également différer en fonction du manuscrit grec dont elles sont issues. Le texte ULT traduit le grec à partir des manuscrits les plus anciens et met les différences avec les manuscrits plus tardifs dans une note de bas de page. Si une traduction de la Bible existe dans la région générale, les traducteurs devraient envisager de suivre la décision prise dans cette traduction. Sinon, il est conseillé aux traducteurs de suivre les manuscrits grecs les plus anciens tels que reflétés dans le texte ULT. (Voir : [[rc://en/ta/man/translate/translate-textvariants]])

1TI	1	intro	a4v2			0		# 1 Timothée 1 Notes générales<br><br>## Structure et mise en forme<br><br>Paul introduit formellement cette lettre dans les versets 1-2. Les écrivains commençaient souvent les lettres de cette manière dans le Proche-Orient ancien.<br><br>## Notions particulières à ce chapitre<br><br>###Enfants spirituels<br><br>Dans ce chapitre, Paul appelle Timothée un "fils" et son "enfant". Paul a disciple Timothée en tant que chrétien et leader d'église. Paul peut également l'avoir amené à croire en Christ. Par conséquent, Paul a appelé Timothée son "fils dans la foi". (Voir : [[rc://en/tw/dict/bible/kt/disciple]], [[rc://en/tw/dict/bible/kt/faith]] et [[rc://en/tw/dict/bible/kt/spirit]] et [[rc://en/ta/man/translate/figs-metaphor]])<br><br>#### Métaphore<br><br>Dans ce chapitre, Paul parle au sens figuré des personnes qui n'accomplissent pas le but de leur foi comme si elles avaient "raté la cible" qu'elles visaient, comme si elles s'étaient "détournées" sur un mauvais chemin, et comme si elles avaient fait "naufrage." Il parle au sens figuré de suivre Jésus fidèlement comme de "combattre le bon combat".

1TI	1	1	i3zz		Παῦλος	1	Paul	Dans la culture de cette époque, les auteurs de lettres donnaient d'abord leur propre nom. Votre langue a peut-être une façon particulière de présenter l'auteur d'une lettre, et si cela peut être utile à vos lecteurs, vous pouvez l'utiliser ici. Immédiatement après avoir présenté l'auteur, vous pouvez également indiquer à qui la lettre a été écrite. Traduction alternative : "Moi, Paul, je suis celui qui écrit cette lettre à toi, Timothée".

1TI	1	1	xl6d		κατ’ ἐπιταγὴν Θεοῦ	1	by the command of God	Traduction alternative : "par l'autorité de Dieu"

1TI	1	1	wb8j		Θεοῦ Σωτῆρος ἡμῶν	1	God our Savior	Traduction alternative : "Dieu, qui nous sauve"
