Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

PHM	front	intro	sz2w			0		# Introduction à Philémon<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre de Philémon<br><br>1. Paul salue Philémon (1:1-3)<br>2. Paul fait des demandes à Philémon au sujet d'Onésime (1:4-21)<br>3. Conclusion (1:22-25)<br><br>### Qui a écrit le livre de Philémon?<br><br>Paul a écrit Philémon. Paul était originaire de la ville de Tarse. Il avait été connu sous le nom de Saul dans sa première vie. Avant de devenir chrétien, Saul était un pharisien. Il a persécuté les chrétiens. Après être devenu chrétien, il a voyagé plusieurs fois dans l'Empire romain pour parler de Jésus aux gens.<br><br>Paul était en prison lorsqu'il a écrit cette lettre.<br><br>#### De quoi parle le livre de Philémon ?<br><br>Paul a écrit cette lettre à un homme nommé Philémon. Philémon était un croyant en Jésus qui vivait dans la ville de Colosses. Il possédait un esclave nommé Onésime. Onésime s'était enfui de chez Philémon et lui avait peut-être aussi volé quelque chose. Onésime est allé à Rome et a rendu visite à Paul en prison là-bas, où Paul a amené Onésime à Jésus.<br><br>Paul a dit à Philémon qu'il lui renvoyait Onésime. Philémon avait le droit d'exécuter Onésime selon la loi romaine. Mais Paul a dit que Philémon devrait accepter le retour d'Onésime comme un frère chrétien. Il a même suggéré que Philémon permette à Onésime de revenir auprès de Paul et de l'aider en prison.<br><br>### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, "Philémon". Ou ils peuvent choisir un titre plus clair, comme "La lettre de Paul à Philémon" ou "La lettre que Paul a écrite à Philémon." (Voir : [[rc://en/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Cette lettre approuve-t-elle la pratique de l'esclavage?<br><br>Paul a renvoyé Onésime à son ancien maître. Mais cela ne signifie pas que Paul pensait que l'esclavage était une pratique acceptable. Au contraire, Paul était plus préoccupé par le fait que les gens soient réconciliés les uns avec les autres et qu'ils servent Dieu dans n'importe quelle situation dans laquelle ils se trouvent. Il est important de noter que dans la culture de l'époque, les gens devenaient esclaves pour diverses raisons et ce n'était pas considéré comme un état permanent.<br><br>#### Que veut dire Paul par l'expression " en Christ ", " dans le Seigneur ", etc...<br><br>Paul voulait exprimer l'idée d'une union très étroite avec le Christ et les croyants. Voir l'introduction au livre de Romains pour plus de détails sur ce genre d'expression.<br><br>## Partie 3 : Questions importantes de traduction<br><br>### Singulier et pluriel "vous"<br><br>Dans ce livre, le mot "je" désigne Paul. Le mot "tu" est presque toujours au singulier et fait référence à Philémon. Les deux exceptions à cette règle sont 1:22 et 1:25. Là, " vous " désigne Philémon et les croyants qui se réunissaient chez lui (voir : [[rc://en/ta/man/translate/figs-exclusive]] et [[rc://en/ta/man/translate/figs-you]])<br><br>Trois fois, Paul s'identifie comme l'auteur de cette lettre (aux versets 1, 9 et 19). De toute évidence, Timothée était avec lui et a pu écrire les mots tels que Paul les a prononcés. Toutes les occurrences de "je", "moi" et "mon" font référence à Paul. Philémon est la principale personne à qui cette lettre est écrite. Toutes les occurrences de "tu" et "ton" se rapportent à lui et sont au singulier, sauf indication contraire. (Voir : [[rc://en/ta/man/translate/figs-you]])

PHM	1	1	ne8k	figs-123person	Παῦλος	1		Votre langue a peut-être une façon particulière de présenter l'auteur d'une lettre. Utilisez-la ici. Autres traductions possibles : "De moi, Paul" ou "Je, Paul" (Voir : rc://fr/ta/man/translate/figs-123person)

PHM	1	1	cgs4		δέσμιος Χριστοῦ Ἰησοῦ	1	a prisoner of Christ Jesus	Paul était en prison parce que les autorités ne voulaient pas qu'il prêche sur Jésus. Ils l'ont mis là pour l'arrêter et le punir. Cela ne signifie pas que Jésus avait mis Paul en prison. Autre traduction : "prisonnier pour l'amour de Jésus-Christ".

PHM	1	1	sv3p		ὁ ἀδελφὸς	1	our brother	Paul utilise le terme **> frère <** au sens figuré pour désigner quelqu'un qui partage la même foi. Traduction alternative : " notre compagnon chrétien " ou " notre compagnon dans la foi " (Voir : rc://fr/ta/man/translate/figs-metaphor).

PHM	1	1	y9zu	figs-exclusive	ὁ ἀδελφὸς	1		Ici, le mot **our** n'est pas dans l'original, mais était nécessaire pour l'anglais, qui exige qu'un mot de relation indique à qui la personne est liée. Dans ce cas, **our** serait inclusif, reliant Timothée à Paul et aux lecteurs comme un frère en Christ. Si votre langue exige cela, vous pouvez faire de même. Sinon, vous pouvez suivre la formulation originale, qui dit, "le frère". (Voir : [[rc://en/ta/man/translate/figs-exclusive]])

PHM	1	1	gvmy	translate-names	Φιλήμονι	1		C'est le nom d'un homme. (Voir : [[rc://en/ta/man/translate/translate-names]])

PHM	1	1	q84z	figs-explicit	Φιλήμονι	1		Si cela est plus naturel dans votre langue, vous pouvez inclure l'information qu'il s'agit d'une lettre dans laquelle Paul s'adresse directement à Philémon, comme dans l'UST. (Voir : [[rc://en/ta/man/translate/figs-explicit]])

PHM	1	1	r3l9	figs-exclusive	ἡμῶν	1	our	Le mot **notre** désigne ici Paul et ceux qui l'accompagnent, mais pas le lecteur. (Voir : [[rc://en/ta/man/translate/figs-exclusive]])

PHM	1	1	ww3l		καὶ συνεργῷ ἡμῶν	1	and our fellow worker	Si vos lecteurs comprennent mal cette phrase, vous pourriez indiquer plus précisément comment Philémon a travaillé avec Paul. Autre traduction possible : "qui, comme nous, travaille pour répandre l'évangile" ou "qui travaille comme nous pour servir Jésus".

PHM	1	2	b37l	translate-names	Ἀπφίᾳ	1		C'est le nom d'une femme. (Voir : [[rc://en/ta/man/translate/translate-names]])

PHM	1	2	bb1s	figs-exclusive	τῇ ἀδελφῇ	1		Ici, le mot **our** n'est pas dans l'original, mais était nécessaire pour l'anglais, qui exige qu'un mot de relation indique à qui la personne est liée. Dans ce cas, **our** serait inclusif, reliant Apphia à Paul et aux lecteurs comme une sœur en Christ. Si votre langue l'exige, vous pouvez faire de même. Sinon, vous pouvez faire la même chose que l'original, qui dit, "la sœur". (Voir : [[rc://en/ta/man/translate/figs-exclusive]])

PHM	1	2	hhpc	figs-metaphor	τῇ ἀδελφῇ	1		Paul utilise le terme **> sœur <** au sens figuré pour désigner une femme qui partage la même foi. Traduction alternative : "notre compatriote chrétienne" ou "notre sœur spirituelle" (Voir : rc://fr/ta/man/translate/figs-metaphor)

PHM	1	2	e8su	figs-exclusive	ἡμῶν	1	our	Le mot **notre** désigne ici Paul et ceux qui l'accompagnent, mais pas le lecteur. (Voir : [[rc://en/ta/man/translate/figs-exclusive]])

PHM	1	2	kyzo		Ἀπφίᾳ…Ἀρχίππῳ…τῇ…ἐκκλησίᾳ	1		La lettre est principalement adressée à Philémon. Il pourrait être trompeur de suggérer que Paul écrit à **> Apphia <**> , **> Archippus <**> , et **> l'église <** dans la maison de Philémon, au même niveau qu'il écrit à Philémon.

PHM	1	2	sq44	translate-names	Ἀρχίππῳ	1	Archippus	C'est le nom d'un homme dans l'église avec Philémon. (Voir : [[rc://en/ta/man/translate/translate-names]])

PHM	1	2	mnn5	figs-metaphor	τῷ συνστρατιώτῃ ἡμῶν	1	our fellow soldier	Paul parle ici d'Archippus comme si lui et Archippus étaient tous deux des soldats dans une armée. Il veut dire qu'Archippe travaille dur, comme Paul lui-même travaille dur, pour répandre l'Évangile. Traduction alternative : "notre compagnon de combat spirituel" ou "qui combat aussi le combat spirituel avec nous" (Voir : [[rc://en/ta/man/translate/figs-metaphor]])

PHM	1	2	uof9		καὶ τῇ κατ’ οἶκόν σου ἐκκλησίᾳ	1		Apphia et Archippe étaient probablement aussi membres de l'église qui se réunissait dans la maison de Philémon. Si le fait de les mentionner séparément laisse entendre qu'ils ne faisaient pas partie de l'église, vous pouvez inclure un mot comme "autre". Traduction alternative : "aux autres membres de l'église dans ta maison"

PHM	1	3	r4nq	translate-blessing	χάρις ὑμῖν καὶ εἰρήνη, ἀπὸ Θεοῦ Πατρὸς ἡμῶν καὶ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ	1	Grace to you and peace from God our Father and our Lord Jesus Christ	Après avoir présenté les expéditeurs et les destinataires de la lettre, Paul donne une bénédiction. Utilisez une forme que les gens reconnaîtraient comme une bénédiction dans votre langue. Traduction alternative : "Que Dieu notre Père et le Seigneur Jésus-Christ vous donnent la grâce et la paix." (Voir : [[rc://en/ta/man/translate/translate-blessing]])

PHM	1	3	iv7e	figs-abstractnouns	χάρις ὑμῖν καὶ εἰρήνη, ἀπὸ Θεοῦ Πατρὸς ἡμῶν καὶ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ.	1		Si vos lecteurs comprennent mal les noms abstraits **grâce** et **paix**, vous pouvez exprimer l'idée qui les sous-tend avec des adjectifs tels que "gracieux" et "paisible". Traduction alternative : "Que Dieu notre Père et notre Seigneur Jésus-Christ vous fasse grâce et vous rende paisible" (Voir : [[rc://en/ta/man/translate/figs-abstractnouns]]).

PHM	1	3	e5z8	figs-exclusive	ἡμῶν…ἡμῶν	1	our	Le mot **notre** ici est inclusif, se référant à Paul, ceux qui sont avec lui, et le lecteur. (Voir : [[rc://en/ta/man/translate/figs-exclusive]])

