Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

HEB	front	intro	xy4n			0		# Introduction au livre d'Hébreux Partie 1 : Introduction générale\n\n### Plan du livre des Hébreux\n\n\nLes Hébreux alternent entre l'exposition et l'exhortation. En d'autres termes, l'auteur passe de l'enseignement à l'avertissement de son auditoire. Le plan suivant identifie les différentes sections. \n\n1. Introduction : Dieu et son Fils (1:1-4)\n2. Le Fils et les anges (1:5-2:18)\n * Enseignement : Le Fils est plus grand que les anges (1:5-14)\n * Exhortation : Écoutez le message ! (2:1-4)\n * Enseignement : le Fils se fait plus petit que les anges pour aider ses frères (2:5-18)\n3. L'exemple de la génération du désert (3:1-4:13)\n * Exhortation : Le Fils est plus grand que Moïse (3:1-6)\n * Exhortation : Efforcez-vous d'entrer dans le repos ! (3:7-4:11)\n * Exhortation : La puissance de la parole de Dieu (4:12-13)\n4. Exposé récapitulatif (4:14-16)\n5. Le Fils, grand prêtre (5:1-10:18)\n * Enseignement : le Fils devient grand prêtre (5:1-10)\n * Exhortation : Veillez à persévérer ! (5:11-6:12)\n * Exhortation : La promesse de Dieu est certaine (6:13-20)\n * Enseignement : Melchisédek le prêtre (7:1-10)\n * Enseignement : Le Fils est grand prêtre dans l'ordre de Melchisédek (7:11-28)\n * Enseignement : Le ministère du Fils (8:1-6)\n * Enseignement : La nouvelle alliance (8:7-13)\n * Enseignement : Anciens et nouveaux ministères (9:1-10:18)\n 6. Déclaration de synthèse (10:19-25)\n7. Foi et endurance (10:26-12:29)\n * Exhortation : Endure dans la foi ! (10:26-39)\n * Exhortation : Exemples de foi (11:1-40)\n * Exhortation : Imitez Jésus en rejetant le péché et en supportant la discipline (12:1-17)\n * Exhortation : Le mont Sinaï et le mont Sion (12:18-29)\n8. Clôture (13:1-25)\n * Derniers commandements et exhortations (13:1-19)\n * Bénédiction et clôture de la lettre (13:20-25)\n\n### Qui a écrit le livre des Hébreux ? \n\NPersonne ne sait qui a écrit les Hébreux. Les chercheurs ont suggéré plusieurs personnes différentes qui pourraient être l'auteur. Les auteurs possibles sont Paul, Luc et Barnabé. La date de rédaction n'est pas non plus connue. La plupart des chercheurs pensent qu'il a été écrit avant l'an 70 de notre ère. Jérusalem a été détruite en l'an 70, mais l'auteur de cette lettre a parlé de Jérusalem comme si elle n'avait pas encore été détruite. De quoi parle le livre des Hébreux ? Dans le livre des Hébreux, l'auteur montre que Jésus a accompli les prophéties de l'Ancien Testament. L'auteur a fait cela afin d'encourager les chrétiens juifs et d'expliquer que Jésus est meilleur que tout ce que l'ancienne alliance avait à offrir. Jésus est le Grand Prêtre parfait. Jésus était également le sacrifice parfait. Les sacrifices d'animaux sont devenus inutiles car le sacrifice de Jésus a été fait une fois pour toutes. Par conséquent, Jésus est le seul et unique moyen pour les gens d'être acceptés par Dieu. Comment traduire le titre de ce livre ? Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, "Hébreux". Ou bien ils peuvent choisir un titre plus clair, tel que "La lettre aux Hébreux" ou "Une lettre aux juifs chrétiens". (Voir : [[rc://en/ta/man/translate/translate-names]])\n\n## Partie 2 : Concepts religieux et culturels importants\n\n### Les lecteurs peuvent-ils comprendre ce livre sans connaître les sacrifices et le travail des prêtres requis dans l'Ancien Testament ? \n\nIl serait très difficile pour les lecteurs de comprendre ce livre sans comprendre ces questions. Les traducteurs pourraient envisager d'expliquer certains de ces concepts de l'Ancien Testament dans des notes ou dans une introduction à ce livre. Comment la notion de sang est-elle utilisée dans le Livre des Hébreux ? À partir de [Hébreux 9:7](../heb/09/07.md), la notion de sang est souvent utilisée comme métonymie pour représenter la mort de tout animal sacrifié selon l'alliance de Dieu avec Israël. L'auteur a également utilisé le sang pour représenter la mort de Jésus-Christ. Jésus est devenu le sacrifice parfait afin que Dieu pardonne aux gens d'avoir péché contre lui. (Voir : [[rc://en/ta/man/translate/figs-metonymy]])\n\nA partir de [Hébreux 9:19](../heb/09/19.md), l'auteur a utilisé l'idée d'aspersion comme action symbolique. Les prêtres de l'Ancien Testament aspergeaient le sang des animaux sacrifiés. C'était un symbole de l'application des bénéfices de la mort de l'animal au peuple ou à un objet. Cela montrait que le peuple ou l'objet était acceptable pour Dieu. (Voir : [[rc://en/ta/man/translate/translate-symaction]])\n### Partie 3 : Questions importantes de traduction\n\n### Comment les idées de "saint" et "sanctifier" sont-elles représentées dans Hébreux dans l'ULT ? \n\NLes Écritures utilisent ces mots pour indiquer l'une des différentes idées. Pour cette raison, il est souvent difficile pour les traducteurs de bien les représenter dans leurs versions. En traduisant en anglais, l'ULT utilise les principes suivants:\n* Parfois, le sens d'un passage implique une sainteté morale. Le fait que Dieu considère les chrétiens comme sans péché parce qu'ils sont unis à Jésus-Christ est particulièrement important pour comprendre l'Évangile. Un autre fait connexe est que Dieu est parfait et sans défaut. Un troisième fait est que les chrétiens doivent se conduire dans la vie d'une manière irréprochable et sans défaut. Dans ces cas, l'ULT utilise "saint", "Dieu saint", "saints" ou "personnes saintes". Parfois, le sens indique une simple référence aux chrétiens sans impliquer un rôle particulier de leur part. Dans ces cas, l'ULT utilise "croyant" ou "croyants". (Voir : 6:10 ; 13:24)\N* Parfois, le sens implique l'idée d'une personne ou d'une chose mise à part pour Dieu seul. Dans ces cas, l'ULT utilise "sanctifier", "mettre à part", "dédié à" ou "réservé pour". (Voir : 2:11 ; 9:13 ; 10:10, 14, 29 ; 13:12)\NL'ULT sera souvent utile aux traducteurs qui réfléchissent à la manière de représenter ces idées dans leurs propres versions.\n#### Comment traduire "nous" et "vous" ? \nLe "nous" inclut l'auteur et l'auditoire tout au long de la lettre, sauf si une note précise le contraire. De même, "vous" est toujours au pluriel, sauf si une note précise le contraire. \Quelles sont les principales questions relatives au texte du Livre des Hébreux ? Pour les versets suivants, les versions modernes de la Bible diffèrent des anciennes versions. Le texte de l'ULT présente la lecture moderne et place la lecture plus ancienne dans une note de bas de page. Si une traduction de la Bible existe dans la région générale, les traducteurs devraient envisager d'utiliser la lecture trouvée dans ces versions. Sinon, il est conseillé aux traducteurs de suivre la lecture moderne.\n* "tu l'as couronné de gloire et d'honneur" (2:7). Certaines versions plus anciennes lisent : "tu l'as couronné de gloire et d'honneur et tu l'as placé sur les œuvres de tes mains."\N* "ceux qui ne se sont pas unis par la foi à ceux qui ont obéi" (4:2). Certaines versions anciennes lisent : "ceux qui l'ont entendu sans y joindre la foi."\N* "Le Christ est venu comme grand prêtre des biens à venir" (9:11). Certaines versions modernes et anciennes lisent : "Le Christ est venu comme grand prêtre des biens à venir."\n* "sur ceux qui étaient prisonniers" (10:34). Certaines versions anciennes lisent : "sur moi dans mes chaînes."\N* "Ils étaient lapidés. Ils ont été sciés en deux. Ils ont été tués par l'épée" (11:37). Certaines anciennes versions lisent : "Ils ont été lapidés. Ils ont été sciés en deux. Ils ont été tentés. Ils ont été tués par l'épée" (11,37). "Si un seul animal touche la montagne, il doit être lapidé" (12,20). Certaines anciennes versions lisent : "Si un animal touche la montagne, il doit être lapidé ou tué par une flèche." (Voir : [[rc://en/ta/man/translate/translate-textvariants]])

HEB	1	intro	aaf9			0		# Hébreux 1 Notes générales<br><br>## Structure et mise en forme<br><br>1. Introduction : Dieu et son Fils (1:1-4)<br>2. Le Fils et les anges (1:5-2:18)<br> * Enseignement : le Fils est plus grand que les anges (1:5-14)<br><br>Certaines traductions placent chaque ligne de poésie plus à droite que le reste du texte pour en faciliter la lecture. L'ULT le fait avec la poésie dans [1:5](../01/05.md), [7-13](../01/07.md), qui sont des citations de livres de poésie de l'Ancien Testament.<br><br>### Concepts spéciaux dans ce chapitre<br>#### Dieu parlant l'Écriture<br><br>Dans ce chapitre, l'auteur cite l'Ancien Testament sept fois. Chaque fois, il dit que c'est Dieu qui prononce les paroles, et que Dieu les prononce à l'intention ou au sujet du Fils ou des anges. L'auditoire aurait reconnu que ces citations provenaient de l'Ancien Testament, mais l'auteur a voulu les présenter comme des paroles que Dieu lui-même a dites et dit. Il peut le faire parce qu'il croit que Dieu est l'auteur de tout l'Ancien Testament, puisque c'est lui qui a parlé par les prophètes (voir [1:1](../01/01.md)). Dans votre traduction, vous devez exprimer ces citations comme des mots que Dieu dit. Si vos lecteurs ne reconnaîtraient pas que Dieu dit des citations de l'Ancien Testament, vous pourriez identifier les citations pour vos lecteurs dans des notes de bas de page ou d'une autre manière. <br><br>### Citations de l'Ancien Testament<br><br>Lorsque l'auteur cite l'Ancien Testament, il utilise une traduction grecque qui est parfois différente de la version originale hébraïque que la plupart des traductions modernes utilisent pour l'Ancien Testament. Ceci est particulièrement évident dans [1:6](../01/06.md), qui cite la version grecque de [Deutéronome 32:43](../../deu/32/43.md). À d'autres endroits, l'auteur peut paraphraser ou citer librement l'Ancien Testament. Puisque l'auteur a choisi d'utiliser ces formes de citations, vous devez représenter les mots utilisés par l'auteur, et non les mots qui peuvent se trouver dans un Ancien Testament que vous connaissez bien. (Voir : [[rc://en/ta/man/translate/writing-quotations]])<br><br>### Le fils et le père<br><br>Dans ce chapitre, l'auteur fait référence au "fils" et parle plusieurs fois de Dieu comme d'un "père". Ce sont des termes importants pour deux personnes de la Trinité : Dieu le Père et Dieu le Fils. L'auteur utilise ces termes en partie parce que les textes de l'Ancien Testament qu'il cite les utilisent. De plus, "Fils" et "Père" font référence à deux personnes qui sont étroitement liées, mais qui ne sont pas la même personne, de sorte que ces mots constituent un bon langage pour parler de deux personnes de la Trinité. Si possible, conservez le langage du père et du fils dans ce chapitre, mais assurez-vous que votre traduction ne donne pas l'impression que le Fils n'a pas existé jusqu'à un certain moment ou que le Père a physiquement donné naissance au Fils à un moment donné. (Voir : [[rc://en/ta/man/translate/guidelines-sonofgodprinciples]])<br><br>### Anges<br><br>L'auteur mentionne les " anges " à plusieurs reprises dans ce chapitre. Dans sa culture, tout le monde connaissait les "anges". C'étaient des êtres spirituels qui pouvaient apparaître sous forme humaine. Certaines personnes parlaient d'anges bons et mauvais. Dans ce chapitre, l'auteur ne parle que des bons anges. Ces anges servent et adorent Dieu, et ils font tout ce que Dieu leur dit de faire. Certains chercheurs pensent que l'auteur s'oppose aux personnes qui ont dit que Jésus était un ange. Plus probablement, l'auteur souhaite prouver que Jésus le Fils est Dieu, et il utilise les anges pour ce faire. L'auteur pense que les anges se situent entre les humains et Dieu en termes de pouvoir et de position. Si le Fils est au-dessus des anges, cela signifie qu'il doit être Dieu. (Voir : [[rc://en/tw/dict/bible/kt/angel]])<br><br>## Figures de style importantes dans ce chapitre<br><br>### Questions rhétoriques<br><br>L'auteur pose des questions rhétoriques dans [1:5](../01/05.md), [13-14](../01/13.md). Il ne pose pas ces questions parce qu'il veut que le public lui fournisse des informations. Il pose plutôt ces questions parce qu'il veut que le public réfléchisse à sa façon d'agir et à ce qu'il pense. Les questions les encouragent à réfléchir avec l'auteur. Pour savoir comment traduire ces questions, consultez les notes sur chaque verset qui comprend ce type de questions. (Voir : [[rc://en/ta/man/translate/figs-rquestion]])<br><br>### Parallélismes<br><br>Dans l'Ancien Testament, la bonne poésie comprenait souvent deux vers parallèles qui exprimaient une idée de deux manières différentes. Lorsque l'auteur cite l'Ancien Testament, il inclut souvent ce type de parallélisme. Comme les deux vers contribuent à la signification de l'idée, il est préférable de préserver le parallélisme. Toutefois, si vos lecteurs risquent de s'y perdre, vous pouvez combiner les deux lignes parallèles en une seule idée. Consultez les notes sur chaque exemple de lignes parallèles pour connaître les options de traduction. (Voir : [[rc://en/ta/man/translate/figs-parallelism]])<br><br>### Héritage<br><br>Dans [1:2](../01/02.md), [4](../01/04.md), [14](../01/14.md), l'auteur utilise un langage lié au fait d'"hériter" ou d'être un "héritier". Dans la culture de l'auteur, les enfants "héritaient" souvent de biens ou d'argent à la mort de leurs parents. Dans ces versets, l'auteur utilise le langage de l'"héritage" de manière métaphorique pour désigner le fait de recevoir quelque chose de Dieu. Dans ce chapitre, la métaphore n'implique pas que quelqu'un doive mourir pour que la personne puisse "hériter". Si possible, préservez cette métaphore car il s'agit d'un concept important dans Hébreux. Voir les notes sur chaque verset pour les options de traduction. (Voir : [[rc://en/tw/dict/bible/kt/inherit]] et [[rc://en/ta/man/translate/figs-metaphor]])<br><br>## Autres difficultés de traduction possibles dans ce chapitre<br><br>#### Descriptions du Fils dans [1:3](../01/03.md)<br><br>Dans [1:3](../01/03.md), l'auteur décrit le Fils comme "l'éclat de la gloire de Dieu" et la "représentation exacte de l'être de Dieu." Ces deux expressions identifient le Fils comme Dieu et comme unique. En d'autres termes, ces phrases sont la façon dont l'auteur dit que le Fils est Dieu, mais que Dieu n'est pas seulement le Fils. Réfléchissez bien à la façon dont vous traduisez ces phrases, et assurez-vous que votre traduction indique clairement que le Fils est Dieu, mais que Dieu n'est pas seulement le Fils. L'auteur utilise des images et des métaphores pour exprimer cette idée, alors pensez à utiliser des images et des métaphores similaires.

HEB	1	1	dhcr	figs-doublet	πολυμερῶς καὶ πολυτρόπως πάλαι	1		Ici, **Dans de nombreuses portions** montre que Dieu n'a pas parlé une seule fois. Au contraire, il a parlé souvent tout au long du temps appelé **il y a longtemps**. Ensuite, **de nombreuses manières** montre que Dieu a utilisé divers moyens et personnes pour parler aux **pères**. L'auteur utilise ces deux expressions parce qu'il souhaite souligner la variété des temps et des manières dont Dieu a **parlé**. Si votre langue n'utilise pas la répétition pour mettre l'accent, et si vous ne pouvez pas bien représenter les deux phrases de Paul, vous pourriez exprimer l'idée en utilisant une seule phrase qui met l'accent sur la variété. Traduction alternative : " Il y a longtemps, avec une grande variété " ou " Il y a longtemps, en utilisant de multiples méthodes à différentes époques " (voir : [[rc://en/ta/man/translate/figs-doublet]]).

HEB	1	1	c7us	figs-infostructure	πολυμερῶς καὶ πολυτρόπως πάλαι, ὁ Θεὸς, λαλήσας τοῖς πατράσιν ἐν τοῖς προφήταις	1		Ici, **En de nombreuses portions et de bien des manières il y a longtemps** décrit comment Dieu a "parlé" **à {nos} pères**. Si vos lecteurs comprenaient mal cette structure de phrase, vous pourriez réorganiser les phrases de sorte que **En de nombreuses portions et de bien des manières il y a longtemps** modifie bien **le fait d'avoir parlé**. Traduction alternative : "Dieu, ayant parlé à nos pères par les prophètes en de nombreuses portions et de nombreuses manières il y a longtemps" (Voir : [[rc://en/ta/man/translate/figs-infostructure]]).

HEB	1	1	uuix	figs-idiom	πάλαι	1		Ici, **il y a longtemps** fait référence à un temps passé. Il identifie souvent des événements qui se sont produits dans un passé lointain et sur lesquels on raconte des histoires. Utilisez un mot ou une expression qui fait référence à un passé lointain. Autre traduction possible : " dans les jours passés " ou " dans les temps anciens " (Voir : [[rc://en/ta/man/translate/figs-idiom]]).
