Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

JAS	front	intro	exs3			0		# Introduction à Jacques<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre de Jacques<br><br>1. Salutations (1:1)<br>2. Gagner en endurance à travers les épreuves (1:2-4)<br>3. Faire confiance à Dieu pour la sagesse (1:5-8)<br>4. Ce dont les pauvres et les riches devraient se vanter (1:9-11)<br>5. Endurer la tentation (1:12-15)<br>6. Entendre et faire ce que dit la Parole de Dieu (1:16-27)<br>7. Une mise en garde contre le fait de favoriser les riches (2:1-13)<br>8. La foi et les œuvres (2:14-26)<br>9. La nécessité de la maîtrise de soi dans la parole (3:1-12)<br>10. La sagesse mondaine et la sagesse céleste en contraste (3:13-18)<br>11. Les désirs du monde et le péché et le conflit qu'ils provoquent (4:1-12)<br>12. Un avertissement contre la vantardise du lendemain (4:13-17)<br>13. Réprimande des personnes riches (5:1-6)<br>14. Attendre patiemment le retour du Seigneur (5:7-11)<br>15. Les serments interdits (5:12)<br>16. La prière, le pardon et la guérison (5:13-18)<br>17. Restauration d'un pécheur (5:19-20)<br><br>### Qui a écrit le livre de Jacques?<br><br>Les spécialistes de la Bible s'accordent largement pour dire que l'auteur de ce livre était Jacques, le demi-frère de Jésus, qui était un dirigeant de l'église primitive de la ville de Jérusalem. Il était respecté pour sa sagesse et son autorité. Par exemple, il a eu le dernier mot au Conseil de Jérusalem, une réunion importante de l'Église primitive, décrite dans [Actes 15:13-21](../act/15/13.md). Dans [Galates 2:9](../gal/02/09.md), l'apôtre Paul l'appelle un "pilier" de l'église, c'est-à-dire l'un de ses plus importants dirigeants. Cependant, même si Jacques était un leader influent de l'église et le demi-frère de Jésus, dans cette lettre, il se présente humblement comme "un serviteur de Dieu et du Seigneur Jésus-Christ"<br><br>Il ne s'agit pas du même homme que l'apôtre Jacques, qui était le frère de l'apôtre Jean. Ce Jacques a été tué pour sa foi quelques années après que Jésus lui-même ait été tué et ressuscité des morts. Cette lettre a été écrite de nombreuses années après cela.<br><br>### Quel type d'écriture est le livre de Jacques ?<br><br>Le livre de Jacques a une ouverture typique des lettres de son époque, mais il n'a pas un corps principal qui se développe séquentiellement et logiquement comme l'aurait fait une lettre. Au lieu de cela, le livre présente une collection de courts dictons et de réflexions sur divers sujets. (En cela, il est similaire au livre des Proverbes.) Comme le montre le plan au début de cette introduction, le livre est composé de nombreuses sections courtes qui se déplacent d'un sujet à l'autre.<br><br>James utilise de nombreux dispositifs que les orateurs utilisaient à son époque, tels que l'anticipation et la réponse à une question que quelqu'un pourrait poser. Il utilise également de nombreux exemples vivants tirés à la fois de la nature et de la vie quotidienne. C'est pourquoi de nombreux interprètes pensent que, pour le contenu de ce livre, Jacques s'est inspiré des sermons qu'il avait prêchés et des sages conseils qu'il avait donnés. Il voulait partager toute cette sagesse avec les chrétiens vivant dans différentes parties de l'Empire romain pour les aider à faire face aux moments difficiles. Il est également possible que Jacques ait écrit cette lettre parce qu'il approchait de la fin de sa vie et qu'il voulait que sa sagesse soit préservée et partagée après sa mort.<br><br>#### A qui le livre de Jacques a-t-il été écrit ? <br><br>James a écrit cette lettre aux croyants en Jésus qui avaient une origine juive. Cela est clair à partir de beaucoup de choses qu'il dit dans la lettre. Par exemple, il s'adresse à ses lecteurs de manière figurée comme "les douze tribus" dans [1:1](../01/01.md). Il parle de leur lieu de rencontre comme d'une "synagogue" dans [2:2](../02/02.md). Il suppose en [2:19](../02/19.md) qu'ils sont familiers avec l'affirmation juive essentielle que "Dieu est un", et en [2:21](../02/21.md) il appelle Abraham "notre père". Il appelle Dieu par le titre hébreu "Seigneur de Sabaoth" en [5:4](../05/04.md). Il suppose que ses lecteurs connaissent bien, grâce aux Écritures hébraïques, l'histoire de personnages tels que Job ([5:11](../05/11.md)) et Élie ([5:17](../05/17.md)). Ces notes attireront l'attention sur les endroits où Jacques engage ses lecteurs à la lumière de leurs origines juives.<br><br>#### De quoi parle le livre de Jacques ?<br><br>Dans cette lettre, Jacques écrit aux croyants vivant dans tout l'Empire romain et qui souffrent. Il leur dit que Dieu travaille à travers leurs souffrances pour les aider à devenir des chrétiens plus mûrs. Jacques écrit aussi beaucoup dans cette lettre sur la façon dont les croyants doivent vivre dans ce monde et se traiter les uns les autres. Il les exhorte à traiter les autres de manière équitable, à ne pas se quereller et se battre, et à faire preuve de compassion et de générosité.<br><br>### Comment traduire le titre de ce livre ? <br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, "Jacques". Ils peuvent aussi choisir un titre différent, comme "Une lettre de Jacques" ou "La lettre que Jacques a écrite". Mais notez que "Jacques" est en fait la forme anglaise du nom de l'auteur. Dans la lettre elle-même, il se fait appeler "Jacob", qui est la forme hébraïque originale de son nom. Vous pouvez donc le désigner dans le titre du livre par le même nom que vous utiliserez dans votre traduction pour le personnage de Jacob dans le livre de la Genèse. (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Jacques était-il en désaccord avec Paul sur la façon dont une personne est justifiée devant Dieu ? <br><br>Paul a enseigné dans Romains que les chrétiens sont justifiés par la foi et non par les œuvres. Jacques semble enseigner que les chrétiens sont justifiés par les œuvres. Cela pourrait prêter à confusion. Cependant, une meilleure compréhension de ce que Paul et Jacques ont chacun enseigné montre qu'ils sont en fait d'accord l'un avec l'autre. Tous deux ont enseigné qu'une personne a besoin de la foi pour être justifiée. Ils ont également enseigné que la vraie foi conduit une personne à faire de bonnes œuvres. Paul et Jacques ont enseigné ces choses de manière différente parce qu'ils avaient des publics différents qui avaient besoin de savoir des choses différentes sur la justification. Jacques a écrit principalement à des chrétiens juifs, tandis que Paul a écrit à des communautés dans lesquelles il y avait beaucoup de chrétiens païens. (Voir : [[rc://fr/tw/dict/bible/kt/justice]] et [[rc://fr/tw/dict/bible/kt/faith]] et [[rc://fr/tw/dict/bible/kt/works]])<br><br>## Partie 3 : Questions importantes de traduction<br><br>### Comment le traducteur doit-il signaler les transitions entre les sujets dans le livre de Jacques ?<br><br>James passe rapidement d'un sujet à un autre. Souvent, il ne termine pas sa discussion d'un sujet par un résumé pour ensuite commencer la discussion du sujet suivant par une introduction. Il pourrait être utile à vos lecteurs de séparer les sujets en les séparant par des lignes blanches. Cependant, vos lecteurs auront la même expérience de la lettre que son public d'origine si vous permettez que les transitions entre les sujets restent abruptes. Tout comme dans le livre des Proverbes, Jacques semble avoir voulu que chaque nouvelle pensée frappe son auditoire avec une force nouvelle. Vous pouvez donc également choisir de ne pas mettre de lignes vides entre les sujets dans votre traduction.<br><br>James fait souvent le lien entre les sujets à travers des mots clés, par exemple, "réjouis" en 1:1 et "joie" en 1:2 ; "manque" en 1:4 et "manque" en 1:5 ; et ainsi de suite. Si vous pouvez trouver des moyens de traduire ces mots clés de manière similaire dans leurs deux occurrences, cela devrait aider vos lecteurs à apprécier le lien et la transition.<br><br>#### Changements du présent au passé<br><br>À plusieurs endroits où Jacques offre une illustration d'un point qu'il vient de faire, il raconte cette illustration au passé comme s'il racontait l'histoire de quelque chose qui s'est passé. Si cela peut prêter à confusion pour vos lecteurs, vous pouvez traduire ces illustrations au présent. Les notes identifieront chacun de ces endroits et feront cette suggestion.<br><br>### Questions textuelles dans le livre de Jacques<br><br>Voir les notes générales du chapitre 2 pour une discussion d'une importante question textuelle dans ce livre.

JAS	1	intro	pz2q			0		# Jacques 1 Notes générales<br><br>## Structure et mise en forme<br><br>1. Salutations (1:1)<br>2. Gagner en endurance à travers les épreuves (1:2-4)<br>3. Faire confiance à Dieu pour la sagesse (1:5-8)<br>4. Ce dont les pauvres et les riches devraient se vanter (1:9-11)<br>5. Endurer la tentation (1:12-15)<br>6. Entendre et faire ce que dit la Parole de Dieu (1:16-27)<br><br>James commence cette lettre en [1:1](../01/01.md) en donnant son nom, en identifiant les personnes à qui il écrit, et en offrant une salutation. C'est ainsi que l'on commençait généralement les lettres à cette époque. Cependant, comme l'explique la première partie de l'introduction à Jacques, la lettre ne se développe pas ensuite comme les autres lettres. Il s'agit plutôt d'une collection de courts dictons et de réflexions.<br><br>## Notions spéciales dans ce chapitre<br><br>### Épreuve et tentation<br><br>James utilise dans ce chapitre un mot qui peut signifier à la fois " épreuve ", comme dans [1:2](../01/02.md) et [1:12](../01/12.md), et " tentation ", comme dans [1:13-14](../01/13.md). Dans les deux cas, le mot parle de la situation d'une personne qui doit choisir entre faire quelque chose de bien et faire quelque chose de mal. La différence entre les deux sens est importante. Lorsque ULT traduit le mot par "épreuve", Dieu teste la personne et veut qu'elle fasse ce qui est bon. Lorsque l'ULT traduit le mot par "tentation", Satan tente la personne et veut qu'elle fasse le mal.

JAS	1	1	pkt2	figs-123person	Ἰάκωβος	1	James	Dans cette culture, les auteurs de lettres donnent d'abord leur propre nom et se réfèrent à eux-mêmes à la troisième personne. Si cela peut prêter à confusion dans votre langue, vous pouvez utiliser la première personne. Si votre langue a une façon particulière de présenter l'auteur d'une lettre, vous pouvez également l'utiliser si cela peut être utile à vos lecteurs. Traduction alternative : "Moi, Jacques, j'écris cette lettre" ou "De Jacques" (Voir : [[rc://fr/ta/man/translate/figs-123person]])

JAS	1	1	j000	translate-names	Ἰάκωβος	1	James	C'est le nom d'un homme, demi-frère de Jésus. Voir les informations à son sujet dans la première partie de l'introduction à Jacques. (Voir : [[rc://fr/ta/man/translate/translate-names]])

JAS	1	1	j001	figs-metonymy	ταῖς δώδεκα φυλαῖς	1	to the twelve tribes	Jacques parle au sens figuré de la nation d'Israël, en association avec le fait qu'elle était composée de douze tribus. Autre traduction : "à la nation d'Israël" (Voir : [[rc://fr/ta/man/translate/figs-metonymy]])
