Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

1PE	front	intro	c1uv			0		# Introduction à 1 Pierre<br><br>## Première partie : Introduction générale<br><br>#### Plan de 1 Pierre<br><br>1. Introduction (1:1-2)<br><br>1. Pierre rappelle aux croyants leur identité en Christ (1:3-2:10)<br><br> * Louange à Dieu pour avoir sauvé les croyants (1:3-12)<br> * Commandement d'être saint (1:13-21)<br> * Commandement de s'aimer comme une famille (1:22-2:10)<br><br>1. Pierre dit aux croyants comment ils doivent se comporter (2:11-4:11)<br><br> * Comment les croyants doivent agir envers les autres personnes (2:11-3:12)<br> * Comment les croyants doivent supporter la souffrance (3:13-4:6)<br> * Comment les croyants doivent agir parce que la fin est proche (4:7-11)<br><br>1. Pierre encourage les croyants à persévérer dans la souffrance (4:12-5:11)<br><br> * Comment les croyants doivent réagir aux épreuves (4:12-19)<br> * Comment les croyants doivent interagir les uns avec les autres (5:1-11)<br><br>1. Conclusion (5:12-14)<br><br>### Qui a écrit le livre de 1 Pierre ?<br><br>L'auteur s'est identifié comme étant Pierre, qui était aussi appelé Simon Pierre. Il était un apôtre, et il a également écrit le livre de 2 Pierre. Pierre a probablement écrit cette lettre à Rome. Il a écrit la lettre aux chrétiens païens dispersés en Asie Mineure. (Voir : [[rc://fr/tw/dict/bible/names/peter]])<br><br>### De quoi parle le livre de 1 Pierre ?<br><br>Pierre a écrit cette lettre pour encourager les chrétiens païens qui étaient persécutés et pour les exhorter à rester fermes dans " la vraie grâce de Dieu " ([5:12](../05/12.md)). Pierre a dit à ses lecteurs comment ils devaient agir au milieu d'une société qui les haïssait. Il a encouragé les chrétiens à continuer à obéir à Dieu même lorsqu'ils souffraient. Il leur a dit de faire cela parce que Jésus reviendrait bientôt. Pierre a également donné des instructions aux chrétiens sur la façon de se soumettre aux personnes qui exercent une autorité sur eux.<br><br>### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel "1 Pierre" ou "Premier Pierre", ou ils peuvent choisir un titre plus clair, comme "La première lettre de Pierre" ou "La première lettre que Pierre a écrite." (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Comment les chrétiens étaient-ils traités à Rome ? <br><br>Pierre était probablement à Rome lorsqu'il a écrit cette lettre. Dans [5:13](../05/13.md), Pierre a fait référence à Rome de manière symbolique comme étant " Babylone. " Il semble que lorsque Pierre a écrit cette lettre, les Romains persécutaient sévèrement les chrétiens.<br><br>## Partie 3 : Questions importantes de traduction<br><br>### Singulier et pluriel "vous"<br><br>Dans ce livre, le mot "je" désigne Pierre, sauf à deux endroits : [1:16](../01/16.md) et [2:6](../02/06.md). Le mot "vous" est toujours pluriel et se réfère à l'audience de Pierre. Parfois, il fait référence à un groupe spécifique de personnes au sein de l'auditoire de Pierre, comme les épouses, les maris, les responsables d'église ou d'autres groupes. Ces groupes sont indiqués dans les notes. (Voir : [[rc://fr/ta/man/translate/figs-you]])<br><br>### Quels sont les enjeux majeurs du texte du livre de 1 Pierre ?<br><br>"Ayant purifié vos âmes par l'obéissance à la vérité pour un amour fraternel sincère, aimez-vous sincèrement les uns les autres d'un cœur pur" ([1:22](../01/22.md)). L'ULT, l'UST et la plupart des autres versions modernes lisent de cette façon. Certaines versions plus anciennes lisent : " Ayant purifié vos âmes par l'obéissance à la vérité *par l'Esprit* en vue d'un amour fraternel sincère, aimez-vous sincèrement les uns les autres de tout votre cœur. " Il est conseillé aux traducteurs de suivre la lecture moderne.<br><br>(Voir : [[rc://fr/ta/man/translate/translate-textvariants]])

1PE	1	intro	ql4i			0		# 1 Pierre 1 Notes générales<br><br>## Structure et mise en forme<br><br>1. Introduction (1:1-2)<br>2. Louange à Dieu pour avoir sauvé les croyants (1:3-12)<br>3. Commandement d'être saint (1:13-21)<br>4. Commandement de s'aimer les uns les autres comme une famille (1:22-2:10)<br><br>Pierre commence cette lettre dans [1:1-2](../01/01.md) en donnant son nom, en identifiant les personnes à qui il écrit et en offrant une salutation. C'est ainsi que les gens commençaient généralement les lettres à cette époque.<br><br>Certaines traductions placent chaque ligne de poésie plus à droite que le reste du texte pour en faciliter la lecture. L'ULT fait cela avec la poésie qui est citée de l'Ancien Testament dans [1:24-25](../01/24.md).<br><br>### Concepts spéciaux dans ce chapitre<br><br>#### Ce que Dieu révèle<br><br>Lorsque Jésus reviendra, tout le monde verra combien le peuple de Dieu était bon parce qu'il avait la foi en Jésus. Alors le peuple de Dieu verra combien Dieu a été miséricordieux envers lui, et tous les gens loueront à la fois Dieu et son peuple.<br><br>### Sainteté<br><br>Dieu veut que son peuple soit saint parce que Dieu est saint ([1:15](../01/15.md)). (Voir : [[rc://fr/tw/dict/bible/kt/holy]])<br><br>### L'éternité<br><br>Pierre dit aux chrétiens de vivre pour les choses qui dureront éternellement et de ne pas vivre pour les choses de ce monde, qui auront une fin. (Voir : [[rc://fr/tw/dict/bible/kt/eternity]])<br><br>### Autres difficultés de traduction possibles dans ce chapitre<br><br>### Paradoxe<br><br>Un paradoxe est une déclaration vraie qui semble décrire quelque chose d'impossible. Pierre écrit que ses lecteurs sont heureux et tristes en même temps ([1:6](../01/06.md)). Il peut dire cela parce qu'ils sont tristes parce qu'ils souffrent, mais ils sont aussi heureux parce qu'ils savent que Dieu les sauvera "au dernier moment" ([1:5](../01/05.md)).

1PE	1	1	g6b4	figs-123person	Πέτρος	1		Dans cette culture, les auteurs de lettres donnent d'abord leur propre nom et se réfèrent à eux-mêmes à la troisième personne. Si cela peut prêter à confusion dans votre langue, vous pouvez utiliser la première personne. Si votre langue a une façon particulière de présenter l'auteur d'une lettre, vous pouvez également l'utiliser. Traduction alternative : "Moi, Pierre, j'écris cette lettre" ou "De Pierre" (Voir : [[rc://fr/ta/man/translate/figs-123person]])

1PE	1	1	p0pd	translate-names	Πέτρος	1		**Pierre** est le nom d'un homme, un disciple de Jésus. Voir les informations le concernant dans la première partie de l'introduction à 1 Pierre. (Voir : [[rc://fr/ta/man/translate/translate-names]])

1PE	1	1	h6om	figs-distinguish	ἀπόστολος Ἰησοῦ Χριστοῦ	1		Cette phrase donne des informations supplémentaires sur Simon Pierre. Il se décrit comme étant quelqu'un qui a reçu la position et l'autorité d'être l'apôtre du Christ. (Voir : [[rc://fr/ta/man/translate/figs-distinguish]])
