Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

1JN	front	intro	nl27			0		# Introduction à 1 Jean<br><br>## Partie 1 : Introduction générale<br><br>### Plan du livre de 1 Jean<br><br>C'est une lettre que l'apôtre Jean a écrite pour contester et corriger les faux enseignements qui conduisaient les disciples de Jésus à croire des choses fausses et à vivre de manière erronée. À l'époque, la forme de la lettre comportait des sections d'ouverture et de clôture distinctes. Le corps principal de la lettre venait entre les deux.<br>1. Ouverture de la lettre (1:1-4)<br>1. Corps principal de la lettre (1:5-5:12)<br> * Les véritables croyants obéissent à Dieu et s'aiment les uns les autres (1:5-2:17)<br> * C'est un faux enseignement que de nier que Jésus est le Messie (2:18-2:27)<br> * Les véritables enfants de Dieu ne pèchent pas (2:28-3:10)<br> * Les véritables croyants s'entraident de manière sacrificielle (3 :11-18)<br> * Les vrais croyants ont confiance dans la prière (3 : 19-24)<br> * C'est un faux enseignement que de nier que Jésus s'est fait homme (4 : 1-6)<br> * Les vrais croyants s'aiment les uns les autres comme Dieu les a aimés (4 : 7-21)<br> * C'est un faux enseignement que de nier que Jésus est le Fils de Dieu (5 : 1-12)<br>1. Clôture de la lettre (5:13-21)<br><br>### Qui a écrit le livre de 1 Jean ?<br><br>L'auteur de cette lettre ne donne pas son nom. Cependant, depuis les premiers temps du christianisme, l'église a largement considéré l'apôtre Jean comme étant l'auteur. Il a écrit l'Évangile de Jean, et il y a de nombreuses similitudes entre le contenu de ce livre et cette lettre. Si Jean a bien écrit cette lettre, il l'a probablement fait vers la fin de sa vie.<br><br>### A qui le livre de 1 Jean a-t-il été écrit ?<br><br>L'auteur a écrit cette lettre à des personnes qu'il adresse comme "bien-aimées" et, au sens figuré, comme "mes petits enfants". Il s'agit probablement des croyants de diverses églises situées dans la région où Jean vivait alors.<br><br>#### De quoi parle le livre de 1 Jean ?<br><br>De faux docteurs encourageaient les disciples de Jésus à croire des choses fausses et à vivre de manière erronée. Jean voulait contester et corriger ces faux enseignements afin que les personnes qui recevaient sa lettre continuent à croire la vérité qui leur avait été enseignée et à vivre de manière correcte. Les faux enseignants disaient que ces personnes n'étaient pas sauvées ; Jean voulait leur assurer qu'elles étaient sauvées.<br><br>### Comment traduire le titre de ce livre ? <br><br>Les traducteurs peuvent choisir d'appeler ce livre par son titre traditionnel, "1 Jean" ou "Premier Jean". Ils peuvent aussi choisir un titre différent, tel que "La première lettre de Jean" ou "La première lettre que Jean a écrite." (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Qui étaient les personnes contre lesquelles Jean s'est exprimé ?<br><br>Les faux enseignants que Jean contestait semblent avoir eu des croyances similaires à ce qui sera plus tard connu sous le nom de gnosticisme. Ces faux enseignants croyaient que le monde physique était mauvais. Ils pensaient que Dieu ne se ferait pas homme, puisqu'ils considéraient que le corps physique était mauvais, et ils niaient donc que Jésus était Dieu venu sur terre sous forme humaine. (Voir : [[rc://fr/tw/dict/bible/kt/evil]])<br><br>## Partie 3 : Questions importantes de traduction<br><br>### "péché"<br><br>Au chapitre 1, Jean dit que nous ne devons pas nier que nous avons péché. Au contraire, si nous confessons notre péché, Dieu nous pardonnera. Au chapitre 2, Jean dit qu'il écrit cette lettre pour que les destinataires ne pèchent pas, mais il ajoute que s'ils pèchent, Jésus plaidera en leur faveur. Mais au chapitre 3, Jean dit que quiconque a été engendré de Dieu et demeure en Dieu ne commet pas de péché et n'est pas capable de pécher. Et au chapitre 5, Jean dit que nous ne devons pas prier pour les personnes qui commettent certains péchés, alors que nous devons prier pour les personnes qui commettent d'autres péchés. Cela peut sembler confus et contradictoire.<br><br>Cependant, l'explication est que les personnes dont Jean a contesté et corrigé les enseignements dans cette lettre disaient que ce que les gens faisaient dans leur corps n'avait pas d'importance. C'est parce qu'ils pensaient que la matière physique était mauvaise, et donc ils pensaient que Dieu ne s'en souciait pas. En fait, ils disaient que le péché n'existait pas. Jean a donc dû dire, au chapitre 1, que le péché est réel et que tout le monde a péché. Certains des croyants ont pu être trompés par les faux enseignements et ont commis des péchés, aussi Jean devait-il les rassurer en leur disant que s'ils se repentaient et confessaient leurs péchés, Dieu leur pardonnerait. Jean dit des choses similaires au chapitre 2. Puis, au chapitre 3, il explique que la nouvelle nature que les croyants ont en tant qu'enfants de Dieu est une nature qui ne veut pas pécher et qui ne prend pas plaisir à pécher. Ils doivent donc reconnaître que ceux qui excusent ou excusent le péché ne sont pas vraiment des enfants de Dieu, et qu'en tant qu'enfants de Dieu eux-mêmes, ils peuvent devenir de plus en plus obéissants et libres du péché. Enfin, au chapitre 5, Jean avertit que si une personne pèche sans raison et continuellement, cela signifie probablement qu'elle a rejeté Jésus et n'est pas influencée par le Saint-Esprit. Il dit que dans ce cas, il n'est peut-être pas efficace de prier pour elle. Mais il encourage ensuite ses lecteurs en leur disant que si une personne pèche occasionnellement mais éprouve du remords, elle est influencée par l'Esprit, et donc les prières des autres croyants l'aideront à se repentir et à vivre de nouveau de manière correcte. (Voir : [[rc://fr/tw/dict/bible/kt/sin]] et [[rc://fr/tw/dict/bible/kt/faith]] et [[rc://fr/tw/dict/bible/kt/forgive]])<br><br>### "rester"<br><br>Dans cette lettre, Jean utilise souvent le mot "rester" (qui pourrait aussi être traduit par "résider" ou "demeurer") comme une métaphore spatiale. Jean parle d'un croyant devenant plus fidèle à Jésus et connaissant mieux Jésus comme si l'enseignement de Jésus "demeurait" dans le croyant. Il parle d'une personne qui s'unit spirituellement à quelqu'un d'autre comme si cette personne "demeurait" dans l'autre personne : il écrit que les chrétiens "demeurent" en Christ et en Dieu, et il dit que le Père "demeure" dans le Fils, que le Fils "demeure" dans le Père, que le Fils "demeure" dans les croyants, et que le Saint-Esprit "demeure" dans les croyants.<br><br>Les traducteurs peuvent avoir du mal à représenter ces idées dans leur propre langue s'ils essaient d'utiliser exactement les mêmes mots et expressions à chaque fois. Par exemple, dans [2:6](../02/06.md), lorsque Jean parle d'un croyant "demeurant" en Dieu, il entend exprimer l'idée que ce croyant est spirituellement unifié avec Dieu. En conséquence, l'UST parle de la manière dont le croyant "partage la vie avec Dieu". Pour donner un autre exemple, pour l'affirmation dans [2:14](../02/14.md) que "la parole de Dieu demeure en vous", l'UST dit, "vous continuez à obéir à ce que Dieu commande." Cela montre comment on peut trouver d'autres expressions qui communiquent avec précision les diverses idées que Jean exprime à travers le terme "demeurer."<br><br>### "apparaître"<br><br>À plusieurs endroits dans cette lettre, Jean utilise un terme que l'ULT traduit habituellement par "apparaître." Il s'agit en fait d'une forme verbale passive en grec, mais comme c'est souvent le cas avec de telles formes dans cette langue, elle peut avoir un sens actif. Lorsqu'il a un sens actif, il est important de reconnaître qu'il ne signifie pas simplement "semblait être là", comme le mot "apparu" pourrait le suggérer. Il signifie plutôt "est venu pour être là". Ceci est bien illustré par l'utilisation du terme dans un autre livre du Nouveau Testament, 2 Corinthiens, dans lequel Paul écrit en [5:10](../2co/05/10.md) que "nous devons tous comparaître devant le tribunal du Christ". Il est clair que cela ne signifie pas que nous devons seulement avoir l'air d'y être présents. Au contraire, nous devons effectivement y arriver.<br><br>Dans toute l'épître, c'est une question subtile d'interprétation que de décider si Jean utilise le terme "comparaître" dans un sens actif ou dans un sens passif. Par exemple, en [1:2](../01/02.md), Jean applique le terme deux fois à la " Parole de vie ", c'est-à-dire à Jésus. Mais il n'est pas clair s'il dit que Jésus lui-même est " apparu ", c'est-à-dire qu'il est venu sur terre, ou qu'il a été " rendu apparent " (rendu visible), l'accent étant mis sur l'idée que Dieu a révélé Jésus au monde et, ce faisant, s'est révélé au monde par Jésus. À chaque endroit où Jean utilise ce terme, des notes attireront l'attention sur celui-ci et discuteront de ce qu'il signifie probablement dans ce contexte.<br><br>### "le monde"<br><br>Jean utilise également le terme "monde" dans une variété de sens dans cette lettre. Il peut signifier la terre, quelque chose de matériel, les gens qui vivent dans le monde, les gens qui n'honorent pas Dieu, ou les valeurs des gens qui n'honorent pas Dieu. Des notes aborderont la signification du terme " monde " dans chaque cas où Jean l'utilise.<br><br>### "connaître"<br><br>Le verbe " connaître " est utilisé de deux manières différentes dans cette lettre. Parfois, il est utilisé à propos de la connaissance d'un fait, comme en 3:2, 3:5, et 3:19. Parfois, il signifie expérimenter et comprendre quelqu'un ou quelque chose, comme en 3:1, 3:6, 3:16, et 3:20. Parfois, Jean l'utilise dans deux sens différents dans la même phrase, comme dans 2:3, "en ceci nous savons que nous l'avons connu." Votre langue peut avoir des mots différents pour ces deux sens différents. Si tel est le cas, vous devez faire attention à utiliser le mot approprié au bon endroit dans votre traduction.<br><br>### "Nous"<br><br>Dans la plupart des cas dans cette lettre, les pronoms pluriels de la première personne ("nous, notre," etc.) sont inclusifs, et donc si votre langue marque cette distinction, utilisez la forme inclusive dans votre traduction. Dans ces cas, Jean parle de ce que lui et les destinataires connaissent, ou de choses qui sont vraies pour lui et les destinataires. Cependant, dans quelques cas, les pronoms de la première personne sont exclusifs, car Jean raconte aux destinataires ce que lui et ses compagnons apôtres ont vu et entendu de Jésus. Les notes identifieront tous ces endroits, et vous devrez y utiliser les formes exclusives, si votre langue marque cette distinction. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])<br><br>### "Vous, votre"<br><br>Les mots "vous" et "votre" dans cette lettre sont au pluriel.<br><br>### Lumière et ténèbres<br><br>En 1:5-7 et 2:8-11 Jean utilise une métaphore étendue dans laquelle la lumière représente ce qui est bon ou saint et les ténèbres ce qui est mauvais. Si cela n'est pas facilement compréhensible dans votre langue, vous devrez peut-être dire explicitement que la lumière représente le bien ou que la lumière est comme le bien, ou vous pourrez choisir de parler du bien sans utiliser le symbole de la lumière. Il y aura une note expliquant la métaphore à chaque endroit. (Voir : [[rc://fr/ta/man/translate/figs-exmetaphor]])<br><br>### Principales questions textuelles dans le texte du livre de 1 Jean<br><br>Lorsque les anciens manuscrits de la Bible diffèrent, ULT met la lecture que les érudits considèrent comme la plus précise dans son texte, mais il met d'autres lectures possiblement précises dans des notes de bas de page. Les introductions de chaque chapitre abordent les endroits où les anciens manuscrits diffèrent de manière significative, et les notes abordent à nouveau ces endroits lorsqu'ils apparaissent dans le livre. Si une traduction de la Bible existe déjà dans votre région, envisagez d'utiliser les lectures trouvées dans cette version. Sinon, nous vous recommandons de suivre les lectures du texte de l'ULT. (Voir : [[rc://fr/ta/man/translate/translate-textvariants]])

1JN	1	intro	ab9v			0		# 1 Jean 1 Notes générales<br><br>## Structure et mise en forme<br><br>1. Ouverture de la lettre (1:1-4)<br>2. Les croyants authentiques obéissent à Dieu et s'aiment les uns les autres (1:5-10, continue jusqu'à 2:17)<br><br>## Questions importantes de traduction dans ce chapitre<br><br>Comme beaucoup de compositions grecques de cette époque, pour des raisons stylistiques, cette lettre commence par une très longue phrase. Elle va du début de [1:1](../01/01.md) au milieu de [1:3](../01/03.md). Les parties de cette phrase ne sont pas dans l'ordre habituel dans de nombreuses langues. L'objet direct vient en premier, et il est très long, composé de plusieurs clauses différentes. Le sujet et le verbe n'apparaissent que vers la fin. Et au milieu, il y a une longue digression. Ce sera donc un défi à traduire.<br><br>Une approche qui pourrait bien fonctionner dans votre langue serait de créer un pont de versets qui inclut tout 1:1-3. Vous pourriez décomposer cette longue phrase en plusieurs petites phrases, en répétant le sujet et le verbe pour plus de clarté. Cela vous permettrait de présenter les parties de la phrase dans un ordre qui serait plus habituel dans votre langue et que vos lecteurs pourraient mieux comprendre. Voici un exemple de 1 Jean 1:1-3 réarrangé dans un ordre qui pourrait être plus clair dans votre langue:<br><br>"Afin que vous soyez en communion avec nous, nous vous déclarons ce que nous avons vu et entendu. Nous vous déclarons ce qui était dès le commencement, ce que nous avons entendu, ce que nous avons vu de nos yeux, ce que nous avons regardé et que nos mains ont touché. Il s'agit de la Parole de vie. En effet, la vie est apparue, et nous l'avons vue, et nous en rendons témoignage. Oui, nous vous annonçons la vie éternelle qui était auprès du Père et qui est ensuite venue à nous."<br><br>Si vous adoptez cette approche, une autre façon de traduire la deuxième phrase serait : "Nous vous déclarons ce qui était dès le commencement, ce que nous avons entendu, ce que nous avons vu de nos yeux, ce que nous avons regardé et que nos mains ont touché."<br><br>Une autre approche qui pourrait également bien fonctionner, et qui ne nécessiterait pas de pont de versets, serait de laisser les phrases dans leur ordre actuel, mais de diviser la phrase en trois parties au niveau des divisions de versets. Si vous faites cela, vous pourriez également placer votre traduction de la phrase "concernant la Parole de vie" au début plutôt qu'à la fin de [1:1](../01/01.md) et la présenter comme une introduction topique à la lettre. Sinon, vos lecteurs pourraient ne pas avoir le sentiment qu'il s'agit d'une lettre jusqu'à ce qu'ils atteignent [1:4](../01/04.md), où Jean énonce formellement son objectif d'écriture.<br><br>Les notes à [1:1-4](../01/01.md) fournissent d'autres suggestions spécifiques sur la façon de traduire cette longue phrase d'ouverture. (Voir : [[rc://fr/ta/man/translate/translate-versebridge]])<br><br>## Questions textuelles importantes dans ce chapitre<br><br>Dans [1:4](../01/04.md), les manuscrits anciens les plus précis lisent "afin que notre joie soit accomplie." L'ULT suit cette lecture. Cependant, certains autres manuscrits anciens lisent "votre joie" au lieu de "notre joie". Si une traduction de la Bible existe déjà dans votre région, envisagez d'utiliser la lecture qui se trouve dans cette version. S'il n'existe pas de traduction, nous vous recommandons de suivre la lecture du texte de l'ULT. (Voir : [[rc://fr/ta/man/translate/translate-textvariants]])

1JN	1	1	honh	checking/headings		0		Si vous utilisez des titres de section, vous pouvez en placer un ici, avant le verset 1. Titre suggéré : "La Parole de Vie" (Voir : [[rc://fr/ta/man/checking/headings]])

1JN	1	1	j363	writing-pronouns	ὃ ἦν ἀπ’ ἀρχῆς, ὃ ἀκηκόαμεν, ὃ ἑωράκαμεν τοῖς ὀφθαλμοῖς ἡμῶν, ὃ ἐθεασάμεθα, καὶ αἱ χεῖρες ἡμῶν ἐψηλάφησαν, περὶ τοῦ λόγου τῆς ζωῆς—	1	What was from the beginning, which we have heard, which we have seen with our eyes, which we have looked at and our hands have touched	Voir la discussion dans les notes générales de ce chapitre pour savoir comment traduire la longue phrase dans [1:1-3](../01/01.md). Si vous suivez la suggestion de traduire la phrase **concernant la Parole de vie** comme une introduction topique à cette lettre, vous aurez déjà indiqué que les quatre clauses de ce verset font référence à une personne, Jésus. Si vous avez dans votre langue des pronoms qui se réfèrent à des personnes, comme " il ", " qui " et " qui ", il serait approprié de les utiliser ici. Traduction alternative : " En ce qui concerne le Verbe de vie - il est celui qui existe de toute éternité, que nous avons entendu parler, que nous avons vu de nos propres yeux, que nous avons regardé et touché de nos propres mains " (Voir : [[rc://fr/ta/man/translate/writing-pronouns]]).

1JN	1	1	j364	figs-idiom	ἀπ’ ἀρχῆς	1	from the beginning	Jean utilise l'expression **depuis le commencement** de diverses manières dans cette lettre. Ici, elle fait référence au fait que Jésus a toujours existé. Traduction alternative : "de toute éternité" (Voir : [[rc://fr/ta/man/translate/figs-idiom]])
