Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote

REV	front	intro	xx8l			0		# Introduction à l'Apocalypse<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre de l'Apocalypse<br><br>1. Ouverture (1:1-20)<br>2. Lettres aux sept églises (2:1-3:22)<br>3. Vision de Dieu au ciel, et vision de l'Agneau (4:1-11)<br>4. Les sept sceaux (6:1-8:1)<br>5. Les sept trompettes (8:2-13:18)<br>6. Les adorateurs de l'Agneau, les martyrs et la moisson de la colère (14:1-20)<br>7. Les sept coupes (15:1-18:24)<br>8. L'adoration dans le ciel (19:1-10)<br>9. Le jugement de l'Agneau, la destruction de la bête, les mille ans, la destruction de Satan et le jugement final (20:11-15)<br>10. La nouvelle création et la nouvelle Jérusalem (21:1-22:5)<br>11. La promesse de Jésus de revenir, le témoignage des anges, les derniers mots de Jean, le message du Christ à son église, l'invitation et l'avertissement (22:6-21)<br><br>### Qui a écrit le livre de l'Apocalypse?<br><br>L'auteur s'est identifié comme Jean. Il s'agit probablement de l'apôtre Jean. Il a écrit le livre de l'Apocalypse alors qu'il se trouvait sur l'île de Patmos. Les Romains y ont exilé Jean pour avoir enseigné aux gens au sujet de Jésus.<br><br>### De quoi parle le livre de l'Apocalypse?<br><br>Jean a écrit le livre de l'Apocalypse pour encourager les croyants à rester fidèles même lorsqu'ils souffrent. Jean a décrit des visions qu'il a eues de Satan et de ses partisans qui combattent et tuent les croyants. Dans ces visions, Dieu provoque de nombreuses choses terribles sur la terre pour punir les méchants. À la fin, Jésus vainc Satan et ses disciples. Puis Jésus réconforte ceux qui ont été fidèles. Et les croyants vivront pour toujours avec Dieu dans les nouveaux cieux et la nouvelle terre.<br><br>### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d'appeler ce livre par l'un de ses titres traditionnels, "Apocalypse", "L'Apocalypse de Jésus-Christ", "L'Apocalypse à saint Jean" ou "L'Apocalypse de Jean". Ils peuvent aussi choisir un titre plus clair, tel que "Les choses que Jésus-Christ a montrées à Jean". (Voir : [[rc://en/ta/man/translate/translate-names]])<br><br>### Quel est le type d'écriture du livre de l'Apocalypse ? <br><br>Jean a utilisé un style d'écriture particulier pour décrire ses visions. Jean a décrit ce qu'il a vu en utilisant de nombreux symboles. Ce style d'écriture est appelé prophétie symbolique ou littérature apocalyptique. (Voir : [[rc://en/ta/man/translate/writing-apocalypticwriting]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Les événements de l'Apocalypse sont-ils passés ou futurs ?<br><br>Depuis les premiers temps du christianisme, les érudits ont interprété l'Apocalypse différemment. Certains érudits pensent que Jean a décrit des événements qui se sont produits à son époque. Certains érudits pensent que Jean a décrit des événements se déroulant de son époque jusqu'au retour de Jésus. D'autres érudits pensent que Jean a décrit des événements qui se produiront dans une courte période de temps juste avant le retour du Christ.<br><br>Les traducteurs n'auront pas besoin de décider comment interpréter le livre avant de le traduire. Les traducteurs devraient laisser les prophéties dans les temps qui sont utilisés dans l'ULT.<br><br>#### Y a-t-il d'autres livres de la Bible comme l'Apocalypse ? <br><br>Aucun autre livre de la Bible n'est comme le livre de l'Apocalypse. Mais, des passages d'Ézéchiel, de Zacharie et surtout de Daniel sont similaires à l'Apocalypse dans leur contenu et leur style. Il peut être bénéfique de traduire l'Apocalypse en même temps que Daniel puisqu'ils ont une certaine imagerie et un style en commun.<br><br>## Partie 3 : Questions importantes de traduction<br><br>### Faut-il comprendre le livre de l'Apocalypse pour le traduire ?<br><br>Il n'est pas nécessaire de comprendre tous les symboles du livre de l'Apocalypse pour le traduire correctement. Les traducteurs ne doivent pas donner des significations possibles pour les symboles ou les chiffres dans leur traduction. (Voir : [[rc://en/ta/man/translate/writing-apocalypticwriting]])<br><br>### Comment les idées de " saint " et de " sanctifier " sont-elles représentées dans l'Apocalypse dans l'ULT ? <br><br>Les écritures utilisent ces mots pour indiquer l'une quelconque de diverses idées. Pour cette raison, il est souvent difficile pour les traducteurs de bien les représenter dans leurs versions. En traduisant la Révélation en anglais, l'ULT utilise les principes suivants:<br><br>* Le sens dans deux passages indique la sainteté morale. Ici, l'ULT utilise le mot "saint". (Voir : 14:12 ; 22:11)<br>* Habituellement, le sens dans l'Apocalypse indique une simple référence aux chrétiens sans impliquer un rôle particulier rempli par eux. Dans ces cas, l'ULT utilise "croyant" ou "croyants". (Voir : 5:8 ; 8:3, 4 ; 11:18 ; 13:7 ; 16:6 ; 17:6 ; 18:20, 24 ; 19:8 ; 20:9)<br>* Parfois, le sens implique l'idée de quelqu'un ou de quelque chose mis à part pour Dieu seul. Dans ces cas, l'ULT utilise " sanctifier ", " mettre à part ", " dédié à " ou " réservé à ".<br><br>L'UST sera souvent utile lorsque les traducteurs réfléchiront à la façon de représenter ces idées dans leurs propres versions.<br><br>### Périodes de temps<br><br>Jean fait référence à diverses périodes de temps dans l'Apocalypse. Par exemple, il y a de nombreuses références à quarante-deux mois, sept ans et trois jours et demi. Certains chercheurs pensent que ces périodes de temps sont symboliques. D'autres pensent qu'il s'agit de périodes de temps réelles. Le traducteur doit traiter ces périodes de temps comme faisant référence à des périodes de temps réelles. C'est ensuite à l'interprète de déterminer leur signification ou ce qu'elles peuvent représenter.<br><br>### Le verbe "Voici" qui apparaît souvent dans le livre de l'Apocalypse<br><br>**>Voir** est un mot qui concentre l'attention de l'auditeur sur ce que l'orateur est sur le point de dire ou de faire. Le mot signifie littéralement "regarde !" ou "vois !". Cependant, dans ce cas, l'expression dénote l'acte de voir au sens figuré en donnant un avis et une attention. Si cela risque d'embrouiller vos lecteurs, vous pouvez exprimer le sens en clair. Autre traduction : "Écoutez attentivement !" (Voir : [[rc://en/ta/man/translate/figs-metaphor]])<br><br><br>### Quels sont les principaux enjeux du texte de l'Apocalypse?<br><br>Pour les versets suivants, certaines versions modernes de la Bible diffèrent des versions plus anciennes. Le texte de l'ULT a la lecture moderne et met la lecture plus ancienne dans une note de bas de page. Si une traduction de la Bible existe dans la région générale, les traducteurs devraient envisager d'utiliser la lecture trouvée dans ces versions. Sinon, il est conseillé aux traducteurs de suivre la lecture moderne.<br><br>* "'Je suis l'alpha et l'oméga, dit le Seigneur Dieu, celui qui est, qui était et qui vient, le Tout-Puissant'" (1:8). Certaines versions ajoutent l'expression "le commencement et la fin". <br>* "les anciens se prosternèrent et se prosternèrent" (5:14). Certaines versions plus anciennes lisent : " les vingt-quatre anciens se prosternèrent et adorèrent celui qui vit aux siècles des siècles. "<br>* " si bien qu'un tiers de celle-ci \[la terre\] fut brûlée " (8:7). Certaines versions anciennes n'incluent pas cette phrase.<br>* "celui qui est et qui était" (11:17). Certaines versions ajoutent l'expression " et celui qui doit venir ".<br>* " ils sont irréprochables " (14:5). Certaines versions ajoutent l'expression " devant le trône de Dieu " (14:5).<br>* " celui qui est et qui était, le Saint " (16:5). Certaines versions anciennes lisent : " Seigneur, celui qui est, qui était et qui sera. "<br>* " Les nations marcheront à la lumière de cette ville " (21:24). Certaines versions anciennes lisent : "Les nations qui sont sauvées marcheront à la lumière de cette ville."<br>* "Heureux ceux qui lavent leurs robes" (22:14). Certaines versions anciennes lisent : "Heureux ceux qui mettent en pratique ses commandements."<br>* "Dieu lui enlèvera sa part dans l'arbre de vie et dans la ville sainte" (22:19). Certaines versions anciennes lisent : "Dieu lui enlèvera sa part dans le livre de vie et dans la ville sainte."<br><br>(Voir : [[rc://en/ta/man/translate/translate-textvariants]]).

REV	1	intro	u1e2			0		# Apocalypse 1 Notes générales<br><br>## Structure et mise en forme<br><br>### Schéma du chapitre un de l'Apocalypse<br><br>I. L'introduction à l'Apocalypse<br><br>A. Le prologue (1:1-8)<br><br>1. La préface (1:1-3)<br>2. Le discours et la doxologie (1:4-6)<br>3. Le thème du livre (1:7-8)<br><br>II. La vision que Jean a du Christ<br><br>B. La nomination de Jean pour écrire le livre de l'Apocalypse (1:9-20)<br><br>1. La nomination initiale pour écrire (1:9-11)<br>2. La source de la nomination (1:12-16)<br>3. La nomination répétée et élaborée (1:17-20)<br><br>Ce chapitre explique comment le livre de l'Apocalypse rapporte la vision que Jean a reçue sur l'île de Patmos.<br><br>Certaines traductions placent les citations de l'Ancien Testament plus à droite sur la page pour en faciliter la lecture. L'ULT le fait avec les mots cités au verset 7.<br><br>## Notions spéciales dans ce chapitre<br><br>### Sept églises<br><br>Jean a écrit ce livre à sept églises réelles en Asie Mineure, qui est maintenant le pays de la Turquie.<br>### Blanc<br><br>La Bible parle souvent de quelque chose qui appartient à une personne comme étant "blanc". Il s'agit d'une métaphore et d'une métonymie pour cette personne qui vit correctement et qui plaît à Dieu. (Voir : [[rc://en/ta/man/translate/figs-metaphor]] et [[rc://en/ta/man/translate/figs-metonymy]] et [[rc://en/tw/dict/bible/kt/righteous]])<br><br>### "Celui qui est, et qui était, et qui vient"<br><br>Dieu existe maintenant. Il a toujours existé. Il existera toujours. Votre langue peut avoir une façon différente de le dire.<br><br>## Figures de style importantes dans ce chapitre<br><br>### Sang<br><br>Le sang est une métonymie de la mort. Jésus "nous a libérés de nos péchés par son sang". Jean veut dire que Jésus nous a sauvés de nos péchés en mourant pour nous. (Voir : [[rc://en/ta/man/translate/figs-metonymy]])<br><br>##Autres difficultés de traduction possibles dans ce chapitre<br><br>### "Il vient avec les nuages"<br><br>Jésus est allé dans les nuages quand il est monté au ciel après que Dieu l'ait ressuscité des morts. Lorsque Jésus reviendra, il sera aussi "avec les nuées". Il n'est pas clair s'il sera assis ou monté sur des nuages ou s'il viendra dans les nuages ou "avec les nuages" d'une autre manière. Votre traduction devrait exprimer cela d'une manière naturelle dans votre langue.<br><br>### "Un semblable à un fils d'homme"<br><br>Cela fait référence à Jésus. Vous devriez traduire les mots "fils d'homme" en utilisant les mêmes mots que dans les Évangiles pour le moment où Jésus s'est appelé lui-même le "Fils de l'homme". <br><br>### "Les anges des sept églises"<br><br>Le mot "anges" ici peut aussi signifier "messagers". Cela pourrait faire référence à des êtres célestes, ou aux messagers ou dirigeants de ces sept églises. Jean utilise le même mot "ange" (au singulier) au verset 1 et à de nombreux autres endroits dans le livre. Votre traduction devrait également utiliser le même mot.<br><br><br>### Le mot "garder" ou "obéir"<br><br>Le mot "garder" signifie "faire attention à" ou "tenir compte" ou "obéir". Il y a plusieurs façons de rendre l'idée ou le sens de ce mot "garder" comme une expression idiomatique fréquente dans le livre de l'Apocalypse. Fondamentalement, le sens de cette expression idiomatique qui peut varier en fonction du contexte du livre de l'Apocalypse. Par exemple, voyez comment vous avez traduit "to keep" dans [Apocalypse 1:3](../01/03.md). Si vos lecteurs ne comprennent pas cet idiome, vous pouvez utiliser un idiome équivalent ou utiliser un langage simple. Traduction alternative : "to take to heart" ou "to continually consider" (Voir : [[rc://en/ta/man/translate/figs-idiom]])

REV	1	1	rkh9	figs-abstractnouns	ἀποκάλυψις Ἰησοῦ Χριστοῦ	1		Si votre langue n'utilise pas de nom abstrait pour l'idée de **révélation**, vous pouvez exprimer la même idée d'une autre manière. Traduction alternative : "Ce que Dieu a révélé à Jésus-Christ" ou "Les sujets que Dieu a révélés à Jésus-Christ" (voir : [[rc://en/ta/man/translate/figs-abstractnouns]]).

REV	1	1	kv41	figs-possession	ἀποκάλυψις Ἰησοῦ Χριστοῦ	1	General Information:	Cette phrase pourrait signifier : (1) ce livre est **la révélation** qui est venue à Jésus de la part de Dieu. Traduction alternative : "révélation à Jésus-Christ" (2) ce livre est **révélation** qui est venue de Jésus à l'auteur du livre, à savoir Jean. Traduction alternative : "révélation de Jésus-Christ" (Voir : [[rc://en/ta/man/translate/figs-possession]])

REV	1	1	ik5v	figs-explicit	τοῖς δούλοις αὐτοῦ	1	his servants	Ici, **ses serviteurs** désigne les personnes qui croient en Jésus-Christ et le servent comme leur Seigneur. Si cela peut être utile à vos lecteurs, vous pourriez l'indiquer explicitement. Traduction alternative : "ceux qui le servent" (Voir : [[rc://en/ta/man/translate/figs-explicit]])
