1:1	nqla				Qui a appelé Paul et qu'a-t-il été appelé à être ?	Jésus-Christ a appelé Paul à être un apôtre.

1:3	jx7v				Qu'est-ce que Paul souhaite que l'église de Corinthe reçoive de Dieu notre Père et du Seigneur Jésus-Christ ?	Paul souhaite qu'ils aient la grâce et la paix de Dieu notre Père et du Seigneur Jésus-Christ.

1:5	b752				Comment Dieu a-t-il rendu l'église de Corinthe riche ?	Dieu les a rendus riches à tous égards, en toute parole et avec toute connaissance.

1:7	i6ea				De quoi l'église de Corinthe ne manquait-elle pas ?	Ils ne manquaient d'aucun don spirituel.

1:8	ytnm				Pourquoi Dieu va-t-il renforcer l'église de Corinthe jusqu'à la fin ?	Il le fera pour qu'ils soient irréprochables au jour de notre Seigneur Jésus-Christ.

1:10	lj0l				Que demande Paul à l'Église de Corinthe de faire ?	Paul les exhorte à être tous d'accord, à ne pas avoir de divisions entre eux et à s'unir dans un même esprit et un même but.

1:11	u5dr				Qu'est-ce que les gens de Chloé ont rapporté à Paul ?	Les gens de Chloé ont rapporté à Paul que des factions s'étaient développées parmi les membres de l'église de Corinthe.

1:12	rp73				Qu'est-ce que Paul entendait par factions ?	Paul voulait dire ceci : Chacun de vous dit : "Je suis avec Paul", ou "Je suis avec Apollos", ou "Je suis avec Céphas", ou "Je suis avec le Christ".

1:14-15	ingp				Pourquoi Paul remercie-t-il Dieu de n'avoir baptisé aucun d'entre eux, à l'exception de Crispus et Gaius ?	Paul en remercie Dieu car cela ne leur donnerait pas l'occasion de dire qu'ils ont été baptisés au nom de Paul.

1:17	cu5v				Qu'est-ce que le Christ a envoyé faire à Paul ?	Le Christ a envoyé Paul pour prêcher l'évangile.

1:18	s2sd				Quel est le message de la croix à ceux qui sont en train de mourir ?	Le message de la croix est une folie pour ceux qui meurent.

1:18	eiti				Quel est le message de la croix parmi ceux que Dieu sauve ?	C'est la puissance de Dieu parmi ceux que Dieu sauve.

1:20	rq2l				En quoi Dieu a-t-il transformé la sagesse du monde ?	Dieu a transformé la sagesse du monde en folie.

1:21	kdhv				Pourquoi a-t-il plu à Dieu de sauver ceux qui croient par la folie de la prédication ?	Il a plu à Dieu de faire cela parce que le monde, dans sa sagesse, ne connaissait pas Dieu.

1:26	pics				Combien de personnes, sages selon les normes humaines, puissantes ou de noble naissance, Dieu a-t-il appelées ?	Dieu n'a pas appelé beaucoup de gens qui étaient comme ça.

1:27	d8pg				Pourquoi Dieu a-t-il choisi les choses insensées du monde et ce qui est faible dans le monde ?	Il a fait cela pour faire honte aux sages et à ce qui est fort.

1:28-29	clpq				Qu'a fait Dieu pour que personne n'ait de raison de se vanter devant lui ?	Dieu a choisi ce qui est bas et méprisé dans le monde et même les choses qui sont considérées comme rien.

1:30	w8jn				Pourquoi les croyants étaient-ils en Jésus-Christ ?	Ils étaient en Jésus-Christ à cause de ce que Dieu a fait.

1:30	j8ev				Qu'est devenu le Christ Jésus pour nous ?	Il est devenu pour nous la sagesse de Dieu - notre justice, notre sainteté et notre rédemption.

1:31	inpx				Si nous devons nous vanter, en qui devons-nous nous vanter ?	Que celui qui se glorifie, se glorifie dans le Seigneur.

2:1	q17d				De quelle manière Paul est-il venu vers les Corinthiens lorsqu'il a proclamé le mystère de Dieu ?	Paul n'est pas venu avec un discours élégant ou de la sagesse quand il a proclamé le mystère de Dieu.

2:2	tema				Qu'est-ce que Paul a décidé de savoir lorsqu'il était parmi les Corinthiens ?	Paul a décidé de ne rien connaître d'autre que Jésus-Christ, et lui crucifié.

2:4-5	ahv0				Pourquoi la parole de Paul et sa proclamation ont-elles été faites avec la démonstration de l'Esprit et de la puissance plutôt qu'avec des paroles persuasives de sagesse ?	C'était pour que leur foi ne soit pas dans la sagesse des hommes, mais dans la puissance de Dieu.

2:7	w1r1				Quelle sagesse Paul et ceux qui l'accompagnaient ont-ils exprimée ?	Ils ont parlé de la sagesse de Dieu cachée dans le mystère - la sagesse cachée que Dieu a prédestinée avant les siècles pour notre gloire.

2:8	okzd				Si les dirigeants de l'époque de Paul avaient connu la sagesse de Dieu, que n'auraient-ils pas fait ?	Si ces chefs avaient connu la sagesse de Dieu, ils n'auraient pas crucifié le Seigneur de la gloire.

2:10	xov7				Comment Paul et ceux qui étaient avec lui ont-ils connu la sagesse de Dieu ?	Dieu leur a révélé ces choses par l'Esprit.

2:11	w1kq				Qui connaît les choses profondes de Dieu ?	Seul l'Esprit de Dieu connaît les choses profondes de Dieu.

2:12	u4z0				Quelle est l'une des raisons pour lesquelles Paul et ceux qui étaient avec lui ont reçu l'Esprit qui vient de Dieu ?	Ils ont reçu l'Esprit qui vient de Dieu afin qu'ils puissent connaître les choses que Dieu leur a données gratuitement.

2:14	hqs0				Pourquoi la personne non spirituelle ne peut-elle pas recevoir ou connaître les choses qui appartiennent à l'Esprit de Dieu ?	La personne non spirituelle ne peut pas les recevoir parce qu'elles sont une folie pour elle, et elle ne peut pas les comprendre parce qu'elles sont discernées spirituellement.

2:16	h8or				Selon Paul, à qui appartient l'esprit de ceux qui ont cru en Jésus ?	Paul a dit qu'ils ont la pensée du Christ.

3:3	ib2y				Pourquoi Paul a-t-il dit que les croyants de Corinthe étaient encore charnels ?	Paul a dit qu'ils étaient encore charnels parce que la jalousie et les querelles existaient entre eux.

3:5	nikb				Qui étaient Paul et Apollos pour les Corinthiens ?	Ils étaient des serviteurs par lesquels les Corinthiens sont venus à croire en Christ.

3:7	vb19				Qui donne la croissance ?	Dieu donne la croissance.

