1:1	krio				Qui a écrit cette épître ?	Paul et Timothée ont écrit l'épître.

1:1	nkj4				A qui l'épître a-t-elle été écrite ?	Il a été écrit à l'église de Dieu qui était à Corinthe et à tous les saints de toute la région d'Achaïe.

1:3	zfqy				Comment Paul décrit-il Dieu ?	Paul décrit Dieu comme le père de notre Seigneur Jésus-Christ, le père des miséricordes et le Dieu de toute consolation.

1:4	yoz4				Pourquoi Dieu nous réconforte-t-il dans notre affliction ?	Il nous réconforte afin que nous puissions réconforter ceux qui sont dans l'affliction, avec le même réconfort dont nous sommes nous-mêmes réconfortés par Dieu.

1:8-9	khhr				Quels problèmes Paul et ses compagnons ont-ils rencontrés en Asie ?	Ils étaient complètement écrasés au-delà de ce qu'ils pouvaient supporter. Ils étaient sous le coup d'une condamnation à mort.

1:9	cz6y				Pour quelle raison la sentence de mort a-t-elle été prononcée contre Paul et ses compagnons ?	La sentence de mort les a poussés à ne pas mettre leur confiance en eux-mêmes, mais à se confier à Dieu.

1:11	jd06				Comment Paul a-t-il dit que l'église de Corinthe pouvait les aider ?	Paul a dit que l'église de Corinthe pouvait les aider par leur prière.

1:12	yux4				De quoi Paul a-t-il dit que lui et ses compagnons étaient fiers ?	Ils étaient fiers du témoignage de leur conscience, à savoir qu'ils s'étaient conduits dans le monde - et en particulier dans leurs rapports avec l'Église de Corinthe - avec la sainteté et la sincérité qui viennent de Dieu, non pas selon la sagesse terrestre mais par la grâce de Dieu.

1:14	ikct				Que croyait Paul qu'il arriverait au jour de notre Seigneur Jésus ?	Il était convaincu qu'en ce jour, Paul et ses compagnons seraient la raison de la fierté des saints de Corinthe.

1:15	hzbm				Combien de fois Paul prévoyait-il de rendre visite aux saints de Corinthe ?	Il avait prévu de leur rendre visite deux fois.

1:22	t3mt				Quelle est l'une des raisons pour lesquelles le Christ nous a donné l'Esprit dans nos cœurs ?	Il a donné l'Esprit comme une garantie de ce qu'il nous donnerait plus tard.

1:23	ycfl				Pourquoi Paul n'est-il pas venu à Corinthe ?	Il n'est pas venu à Corinthe pour les épargner.

1:24	ove4				Qu'est-ce que Paul a dit que lui et Timothée faisaient et ne faisaient pas avec l'église de Corinthe ?	Paul a dit qu'ils n'essayaient pas de contrôler ce que devait être leur foi, mais qu'ils travaillaient avec l'église corinthienne pour leur joie.

2:1	tl9b				Quelles circonstances Paul essayait-il d'éviter en ne venant pas dans l'église corinthienne ?	Paul évitait de venir à l'église de Corinthe dans des circonstances douloureuses.

2:3	k6hk				Pourquoi Paul a-t-il écrit comme il l'a fait dans sa précédente épître à l'église de Corinthe ?	Il a écrit comme il l'a fait afin de ne pas être blessé par ceux qui auraient dû le réjouir lorsqu'il les rejoindrait.

2:4	c81q				Lorsque Paul a écrit aux Corinthiens, quel était son état d'esprit ?	Il était dans une grande affliction et une grande angoisse du cœur.

2:4	gclm				Pourquoi Paul a-t-il écrit cette lettre à l'église de Corinthe ?	Il leur a écrit pour qu'ils connaissent la profondeur de l'amour qu'il leur portait.

2:6-7	xw3l				Qu'est-ce que Paul a dit que les saints corinthiens devraient maintenant faire pour celui qu'ils ont puni ?	Paul a dit qu'ils devaient pardonner et réconforter cette personne.

2:7	jbk8				Pourquoi Paul a-t-il dit que les saints de Corinthe devaient pardonner et consoler celui qu'ils avaient puni ?	C'était pour que celui qu'ils avaient puni ne soit pas accablé par trop de chagrin.

2:9	acyb				Quelle est une autre raison pour laquelle Paul a écrit à l'église de Corinthe ?	Paul leur a écrit pour les mettre à l'épreuve et pour savoir s'ils étaient obéissants en tout.

2:11	rono				Pourquoi était-il important pour l'église de Corinthe de savoir que celui qu'elle avait pardonné était également pardonné par Paul et en présence du Christ ?	C'était pour que Satan ne les trompe pas.

2:13	cosq				Pourquoi Paul n'avait-il pas l'esprit tranquille lorsqu'il s'est rendu dans la ville de Troas ?	Il n'avait pas l'esprit tranquille car il ne trouvait pas son frère Titus à Troas.

2:14-15	h163				Qu'est-ce que Dieu a fait à travers Paul et ses compagnons ?	Par l'intermédiaire de Paul et de ses compagnons, Dieu a répandu partout le doux parfum de la connaissance du Christ.

2:17	x0a7				En quoi Paul a-t-il dit que lui et ses compagnons étaient différents des nombreuses personnes qui vendaient la parole de Dieu à des fins lucratives ?	Paul et ses compagnons étaient différents en ce qu'ils parlaient avec la pureté de leurs motifs, comme envoyés de Dieu, sous le regard de Dieu, parlant en Christ.

3:2	fzs6				Quelle lettre de recommandation Paul et ses compagnons avaient-ils ?	Les saints de Corinthe étaient leur lettre de recommandation, connue et lue par tous les peuples.

3:4-5	fwm9				Quelle était la confiance que Paul et ses compagnons avaient en Dieu par le Christ ?	Leur confiance n'était pas dans leur propre compétence mais dans l'adéquation que Dieu leur fournissait.

3:6	q5yd				Quelle était la base de la nouvelle alliance dont Dieu avait qualifié Paul et ses compagnons pour être des serviteurs ?	La nouvelle alliance était fondée sur l'esprit qui donne la vie, et non sur la lettre qui tue.

3:7	sbaz				Pourquoi le peuple d'Israël ne pouvait-il pas regarder directement le visage de Moïse ?	Ils ne pouvaient pas regarder directement son visage à cause de la gloire de son visage, une gloire qui se fanait.

3:9	ov3q				Lequel aura le plus de gloire, le service de la condamnation ou le service de la justice ?	Le service de la justice abonde bien plus en gloire.

3:14	t89r				Comment ouvrir l'esprit d'Israël et enlever le voile de son cœur ?	Ce n'est que lorsqu'Israël se tourne vers le Seigneur Christ que son esprit est ouvert et que le voile est levé.

3:15	zb0n				Quel est le problème qui subsiste aujourd'hui pour le peuple d'Israël chaque fois que l'on lit l'ancienne alliance de Moïse ?	Leur problème est que leur esprit est fermé et qu'un voile recouvre leur cœur.

3:16	h66q				Comment ouvrir l'esprit d'Israël et enlever le voile de son cœur ?	Ce n'est que lorsqu'Israël se tourne vers le Seigneur Christ que son esprit est ouvert et que le voile est levé.

3:17	islc				Qu'est-ce qui est présent avec l'Esprit du Seigneur ?	Là où est l'Esprit du Seigneur, il y a la liberté.

3:18	el3x				En quoi sont transformés tous ceux qui voient la gloire du Seigneur ?	Ils sont transformés en la même ressemblance glorieuse, d'un degré de gloire à un autre.

4:1	zdyl				Pourquoi Paul et ses compagnons ne se sont-ils pas découragés ?	Ils ne se sont pas découragés à cause du ministère qu'ils avaient et parce qu'ils avaient reçu la miséricorde.

4:2	agpr				Quels étaient les moyens auxquels Paul et ses compagnons avaient renoncé ?	Ils avaient renoncé aux voies honteuses et cachées. Ils ne vivaient pas par la ruse et ne malmenaient pas la parole de Dieu.

4:2	ksfp				Comment Paul et ses semblables se recommandaient-ils à la conscience de chacun devant Dieu ?	Ils l'ont fait en présentant la vérité.

4:3	wn02				A qui l'évangile est-il voilé ?	Elle est voilée pour ceux qui périssent.

4:4	eo9q				Pourquoi l'évangile est-il voilé à ceux qui périssent ?	Elle est voilée parce que le dieu de ce monde a aveuglé leurs esprits incrédules de sorte qu'ils ne sont pas capables de voir la lumière de l'évangile.

4:5	up8p				Qu'est-ce que Paul et ses compagnons ont proclamé sur Jésus et sur eux-mêmes ?	Ils ont proclamé que Jésus-Christ était le Seigneur et qu'ils étaient les serviteurs de l'église de Corinthe pour l'amour de Jésus.

4:7	hiqn				Pourquoi Paul et ses compagnons avaient-ils ce trésor dans des jarres d'argile ?	Ils ont mis ce trésor dans des jarres d'argile afin qu'il soit clair que la très grande puissance appartient à Dieu et non à eux.

