1:1	lq6d				Par quel titre l'écrivain Jean se présente-t-il dans cette lettre ?	John se présente comme l'aîné.

1:1	igzu				À qui cette lettre est-elle adressée ?	La lettre est écrite à la dame élue et à ses enfants.

1:3	lte6				De qui Jean dit-il que viennent la grâce, la miséricorde et la paix ?	Jean dit que la grâce, la miséricorde et la paix viennent de Dieu, le Père, et de Jésus-Christ, son Fils.

1:4	o53o				Pourquoi Jean se réjouit-il ?	Jean se réjouit parce qu'il a trouvé certains des enfants de la dame qui marchent dans la vérité.

1:5	dgsv				Quel commandement Jean dit qu'ils ont eu depuis le début ?	Le commandement qu'ils ont depuis le début est de s'aimer les uns les autres.

1:6	ajw5				Selon Jean, qu'est-ce que l'amour ?	L'amour consiste à marcher selon les commandements de Dieu.

1:7	l075				Comment Jean appelle-t-il ceux qui ne confessent pas que Jésus-Christ est venu dans la chair ?	Jean les appelle le séducteur et l'antichrist.

1:8	nwzf				Qu'est-ce que Jean dit aux croyants de faire attention à ne pas faire ?	Jean dit aux croyants de faire attention à ne pas perdre ce pour quoi ils ont travaillé.

1:10	t59t				Que dit Jean aux croyants de faire avec toute personne qui n'apporte pas le véritable enseignement sur le Christ ?	Ils ne doivent recevoir personne qui n'apporte pas le véritable enseignement sur le Christ.

1:11	ykw2				De quoi un croyant est-il coupable s'il reçoit quelqu'un qui n'apporte pas le véritable enseignement sur le Christ ?	Le croyant qui reçoit et salue un faux enseignant participe à ses mauvaises actions.

1:12	rz4r				Qu'est-ce que John espère faire à l'avenir ?	John espère pouvoir venir et parler directement avec la dame élue.
