1:1	juip				Comment Paul est-il devenu un apôtre du Christ ?	Paul est devenu un apôtre du Christ par la volonté de Dieu.

1:2	cu2e				Quelle est la relation de Paul avec Timothée ?	Paul appelle Timothée son "enfant bien-aimé".

1:4	adur				Lorsque Paul se souvient de Timothée dans ses prières, que désire-t-il faire ?	Paul a hâte de voir Timothée.

1:5	r3x0				Dans la famille de Timothée, qui d'autre avait une foi authentique avant Timothée ?	La grand-mère et la mère de Timothy avaient toutes deux une foi authentique.

1:7	yxac				Quel genre d'esprit Dieu a-t-il donné à Timothée ?	Dieu a donné à Timothée un esprit de puissance, d'amour et de discipline.

1:8	ck21				Que dit Paul à Timothée de ne pas faire ?	Paul dit à Timothée de ne pas avoir honte du témoignage concernant le Seigneur.

1:8	l3hp				Qu'est-ce que Paul dit à Timothée de faire ?	Paul dit à Timothée de souffrir pour l'Évangile avec Paul.

1:9	csqu				Quand le plan et la grâce de Dieu nous ont-ils été donnés ?	Le plan et la grâce de Dieu nous ont été donnés avant les temps éternels.

1:10	mokt				Comment Dieu a-t-il révélé son plan de salut ?	Le plan de salut de Dieu a été révélé par l'apparition de notre Sauveur Jésus-Christ.

1:10	yuw0				Lorsque Jésus est apparu, qu'a-t-il fait concernant la mort, la vie et l'immortalité ?	Jésus a mis fin à la mort et a fait apparaître la vie et l'immortalité par l'intermédiaire de l'Évangile.

1:12	pc5b				Qu'est-ce que Paul croit que Dieu est capable de faire pour lui et qui fait que Paul n'a pas honte de l'évangile ?	Paul est persuadé que Dieu est capable de garder le dépôt que Paul a confié à Dieu jusqu'à ce jour.

1:14	q37c				Que doit faire Timothée avec le bon dépôt que Dieu lui a confié ?	Timothée doit garder par l'Esprit Saint le bon dépôt que Dieu lui a confié.

1:15	ap2i				Que lui ont fait tous les compagnons asiatiques de Paul ?	Tous ceux d'Asie se sont détournés de Paul.

1:16	pdcf				Pourquoi Paul demande-t-il au Seigneur d'accorder sa miséricorde à la famille d'Onésiphore ?	Paul demande au Seigneur d'accorder sa miséricorde à la maison d'Onésiphore parce qu'Onésiphore a rafraîchi Paul et n'a pas eu honte de la chaîne de Paul.

1:17	l6ky				Qu'a fait Onésiphore pour Paul lorsque celui-ci était à Rome ?	Onésiphore a diligemment cherché Paul à Rome et l'a trouvé.

1:18	dvlm				Que demande Paul au Seigneur d'accorder à Onésiphore ?	Paul demande au Seigneur d'accorder sa miséricorde à Onésiphore.

2:1	i2hn				Qu'est-ce qui est capable de fortifier Timothée ?	La grâce qui est en Jésus-Christ peut fortifier Timothée.

2:2	ngkd				A qui Timothée doit-il confier le message que Paul lui a enseigné ?	Timothée doit confier le message à des hommes fidèles qui seront capables d'enseigner aussi aux autres.

2:4	ai13				En guise d'illustration pour Timothée, Paul dit qu'un bon soldat ne s'emmêle pas dans quoi ?	Un bon soldat ne s'empêtre pas dans les affaires de la vie.

2:9	e6ws				Comme il l'écrit à Timothée, dans quelle condition Paul souffre-t-il pour sa prédication de la parole de Dieu ?	Paul souffre d'être enchaîné comme un criminel.

2:9	mcp7				Qu'est-ce qui, selon Paul, n'est pas lié ?	La parole de Dieu n'est pas liée.

2:10	muxt				Pourquoi Paul endure-t-il toutes ces choses ?	Paul endure tout pour les élus de Dieu, afin qu'ils obtiennent le salut qui est dans le Christ Jésus.

2:12	sof7				Quelle est la promesse du Christ à ceux qui endurent ?	Ceux qui endurent régneront avec le Christ.

2:12	z7x8				Quel est l'avertissement du Christ à ceux qui le renient ?	Ceux qui renient le Christ, le Christ les reniera.

2:14	m99z				A propos de quoi Timothée devrait-il avertir le peuple de ne pas se disputer ?	Timothée devrait avertir le peuple de ne pas se quereller sur des mots, ce qui ne sert à rien.

2:18	c1xa				Quelle fausse doctrine les deux hommes qui se sont éloignés de la vérité disaient-ils ?	Ils disaient que la résurrection avait déjà eu lieu.

2:21	zgf4				Comment les croyants doivent-ils se préparer à toute bonne œuvre ?	Les croyants doivent se purifier de tout usage déshonorant afin d'être prêts pour toute bonne œuvre.

2:22	zlbj				De quoi Timothée doit-il s'enfuir ?	Timothée doit fuir les convoitises de la jeunesse.

2:24	qfn0				Qu'est-ce que Paul dit qu'un serviteur du Seigneur doit être ?	Un serviteur du Seigneur doit être patient, gentil avec tous, et capable d'enseigner.

2:25	cinr				Comment un serviteur du Seigneur doit-il traiter ceux qui s'opposent à lui ?	Un serviteur du Seigneur doit éduquer dans la douceur ceux qui s'opposent à lui.

2:26	wwj0				Qu'a fait le diable avec les incroyants ?	Le diable a piégé et capturé les incroyants pour sa volonté.

3:1	as3z				Qu'est-ce qui, selon Paul, viendra dans les derniers jours ?	Paul dit que des temps difficiles viendront dans les derniers jours.

3:2	acgd				Dans les derniers jours, qu'est-ce que les gens aimeront à la place de Dieu ?	Dans les derniers jours, les gens s'aimeront eux-mêmes et aimeront l'argent au lieu de Dieu.

3:4	enkk				Dans les derniers jours, quelle autre chose les gens aimeront-ils à la place de Dieu ?	Dans les derniers jours, les gens aimeront le plaisir au lieu de Dieu.

3:5	ctco				Que dit Paul à Timothée de faire avec ceux qui n'ont qu'une forme de piété ?	Paul dit à Timothée de se détourner de ceux qui n'ont qu'une forme de piété.

3:6	voh1				Que font certains de ces hommes impies ?	Certains de ces hommes impies entrent dans les foyers et captivent des femmes insensées qui se laissent entraîner par divers désirs.

3:8	rc0e				Comment sont ces hommes impies comme Jannes et Jambres dans l'Ancien Testament ?	Ces hommes impies s'opposent à la vérité tout comme Jannes et Jambres l'ont fait à Moïse.

3:10	ognl				Au lieu des faux enseignants, qui Timothée a-t-il suivi ?	Timothée a suivi Paul.

3:11	sw9a				De quoi le Seigneur a-t-il sauvé Paul ?	Le Seigneur a sauvé Paul de toutes ses persécutions et souffrances.

3:12	ryy4				Selon Paul, qu'arrivera-t-il à tous ceux qui veulent vivre de manière pieuse ?	Paul dit que tous ceux qui veulent vivre d'une manière pieuse seront persécutés.

3:13	hov5				Qui deviendra pire dans les derniers jours ?	Les gens mauvais et les imposteurs deviendront encore plus mauvais dans les derniers jours.

3:15	vwq3				A partir de quel moment de sa vie Timothée avait-il connu les écrits sacrés ?	Timothée connaissait les écrits sacrés depuis son enfance.

3:16	jsbg				Comment les Écritures ont-elles vu le jour ?	Toutes les Écritures sont inspirées par Dieu.

3:16	gikd				A quoi sert toute l'Ecriture ?	Toute l'Écriture est utile pour enseigner, reprocher, corriger et former à la justice.

3:17	mese				Quel est le but de former une personne aux Écritures ?	Une personne est formée dans les Écritures afin qu'elle soit compétente, équipée pour toute bonne œuvre.

4:1	dkeg				Qui Jésus-Christ va-t-il juger ?	Jésus-Christ jugera les vivants et les morts.

4:2	csqn				Qu'est-ce que Paul a ordonné solennellement à Timothée de faire ?	Paul a solennellement ordonné à Timothée de prêcher la Parole.

4:3	lcli				Paul a prévenu que le temps viendra où les gens feront quoi en matière de doctrine ?	Les gens ne supporteront pas un enseignement sain, mais écouteront les enseignements qui correspondent à leurs propres désirs.

4:5	qnoo				Quel travail et quel ministère avait été confié à Timothée ?	Timothée avait reçu le travail et le ministère d'un évangéliste.

4:6	ez3i				Quel moment de sa vie Paul a-t-il dit qu'il était maintenant arrivé ?	Paul a dit que son heure de départ était arrivée.

4:8	hop1				Quelle récompense Paul a-t-il dit que tous ceux qui aiment l'apparition du Christ recevront ?	Paul dit que tous ceux qui aiment l'apparition du Christ recevront la couronne de justice.

4:10	hz3r				Pourquoi Démas, le compagnon de Paul, l'a-t-il quitté ?	Démas a quitté Paul parce qu'il aimait le temps présent.

4:11	sz0v				Qui était le seul compagnon de Paul à être encore avec lui ?	Seul Luc était encore avec Paul.

4:14	jznk				Selon quoi Paul a-t-il dit que le Seigneur rembourserait Alexandre ?	Paul a dit que le Seigneur rendra à Alexandre ce qu'il a fait.

4:16	mw5u				Quelles personnes ont comparu avec Paul lors de sa première défense ?	Lors de la première défense de Paul, personne n'a comparu avec lui.
