1:1	bpjr				A qui Luc a-t-il adressé ce livre ?	Luc a adressé ce livre à Théophile.

1:3	ve8f				Qu'a fait Jésus pendant quarante jours après sa souffrance ?	Jésus est apparu vivant à ses apôtres, disant des choses sur le royaume de Dieu.

1:4	qacc				Pour quoi Jésus a-t-il ordonné à ses apôtres d'attendre ?	Jésus a dit à ses apôtres d'attendre la promesse du Père.

1:5	zs4j				Avec quoi les apôtres seraient-ils baptisés en quelques jours ?	Les apôtres seront baptisés du Saint-Esprit.

1:7	b10x				Lorsque les apôtres ont voulu connaître le calendrier de la restauration du royaume, comment Jésus leur a-t-il répondu ?	Jésus leur a dit que ce n'était pas à eux de connaître le temps.

1:8	q5vv				Qu'est-ce que Jésus a dit aux apôtres qu'ils recevraient du Saint-Esprit ?	Jésus a dit que les apôtres recevraient une puissance.

1:8	noge				Où Jésus a-t-il dit que les apôtres seraient ses témoins ?	Jésus a dit que les apôtres seraient des témoins en Judée, en Samarie et jusqu'aux extrémités de la terre.

1:9	j1c1				Comment Jésus s'est-il éloigné de ses apôtres ?	Jésus fut élevé et une nuée le cacha à leurs yeux.

1:11	dlze				Comment les anges ont-ils dit que Jésus reviendrait sur la terre ?	Les anges ont dit que Jésus reviendrait de la même manière qu'il est allé au ciel.

1:14	j3r6				Que faisaient les apôtres, les femmes, Marie et les frères de Jésus dans la chambre haute ?	Ils priaient assidûment.

1:16	iizu				Qu'est-ce qui s'est accompli dans la vie de Judas, qui a trahi Jésus ?	L'Écriture avait été accomplie par Judas.

1:18	ethl				Qu'est-il arrivé à Judas après qu'il ait reçu l'argent pour avoir trahi Jésus ?	Judas a acheté un champ, est tombé la tête la première, son corps a éclaté et ses intestins se sont déversés.

1:20	quxi				Dans le livre des Psaumes, qu'est-il dit qu'il devrait arriver à la position de leader de Judas ?	Les Psaumes disaient que la position de leader de Judas devait être remplie par quelqu'un d'autre.

1:21-22	xj9p				Quelles étaient les exigences pour l'homme qui prendrait le poste de direction de Judas ?	L'homme qui prend ce poste doit avoir accompagné les apôtres depuis le baptême de Jean et avoir été témoin de la résurrection de Jésus.

1:24-26	s4zm				Comment les apôtres ont-ils déterminé lequel des deux candidats devait prendre la place de Judas ?	Les apôtres ont prié pour que Dieu révèle son choix, puis ils ont tiré au sort.

1:26	ks3s				Qui était alors au nombre des onze apôtres ?	Matthias fut alors compté parmi les onze apôtres.

2:1	bi7w				En quel jour de la fête juive tous les disciples étaient-ils réunis ?	Les disciples étaient réunis le jour de la Pentecôte.

2:4	zobx				Lorsque le Saint-Esprit est entré dans la maison, qu'ont commencé à faire les disciples ?	Les disciples ont commencé à parler d'autres langues.

2:5	ak49				A cette époque, à Jérusalem, d'où venaient les Juifs pieux ?	Les Juifs pieux étaient venus de toutes les nations sous le ciel.

2:6	n6b5				Pourquoi la multitude était-elle confuse lorsqu'elle entendait les disciples parler ?	La multitude était confuse car chacun les entendait parler dans sa propre langue.

2:11	oncl				De quoi les disciples parlaient-ils ?	Les disciples racontaient les œuvres puissantes de Dieu.

2:13-15	ojql				Que pensaient certains de ceux qui se moquaient des disciples ?	Certains se sont moqués et ont pensé qu'ils étaient pleins de vin nouveau.

2:16-20	p5qj				Qu'est-ce que Pierre a dit qui s'accomplissait à ce moment-là ?	Pierre a déclaré que la prophétie de Joël s'était accomplie et que Dieu allait répandre son Esprit sur toute chair.

2:21	khwx				Dans la prophétie de Joël, qui sont ceux qui seront sauvés ?	Ceux qui invoquent le nom du Seigneur seront sauvés.

2:22	cina				Comment le ministère de Jésus a-t-il été authentifié par Dieu ?	Le ministère de Jésus a été authentifié par les œuvres puissantes, les prodiges et les signes que Dieu a accomplis par son intermédiaire.

2:23	gr6w				Qui avait prévu que Jésus soit crucifié ?	Jésus a été crucifié selon le plan déterminé de Dieu.

2:25-27	a4m2				Dans l'Ancien Testament, qu'a prophétisé le roi David au sujet du Saint de Dieu ?	Le roi David a dit que Dieu ne permettrait pas à son Saint de voir la pourriture.

2:30	ni49				Quelle promesse Dieu avait-il faite au roi David concernant sa descendance ?	Dieu avait promis au roi David qu'un de ses descendants s'assiérait sur son trône.

2:31	qqli				Dans l'Ancien Testament, qu'a prophétisé le roi David au sujet du Saint de Dieu ?	Le roi David a dit que Dieu ne permettrait pas à son Saint de voir la pourriture.

2:32	hno7				Qui est le Saint de Dieu qui n'a pas vu la pourriture et qui s'assiéra sur le trône ?	Jésus était le Saint et le Roi prophétisé.

2:36	jegc				Pierre a prêché que Dieu avait maintenant donné à Jésus quels deux titres ?	Dieu avait fait de Jésus à la fois le Seigneur et le Christ.

2:37	xm2o				Lorsque la foule a entendu la prédication de Pierre, quelle a été sa réaction ?	La multitude a demandé ce qu'elle devait faire.

2:38	ql6u				Qu'est-ce que Pierre a dit à la foule de faire ?	Pierre a dit à la multitude de se repentir et d'être baptisée au nom de Jésus-Christ pour le pardon de leurs péchés.

2:39	iq1i				Pour qui, selon Pierre, la promesse de Dieu a-t-elle été faite ?	Pierre a dit que la promesse de Dieu était pour la multitude, leurs enfants, et tous ceux qui étaient loin.

2:41	pubz				Combien de personnes ont été baptisées ce jour-là ?	Environ trois mille personnes ont été baptisées.

2:42	tlei				Dans quoi les baptisés continuaient-ils à vivre ?	Ils continuaient l'enseignement des apôtres et la communion fraternelle, la fraction du pain et les prières.

2:44-45	n3ej				Que faisaient ceux qui croyaient pour aider ceux qui étaient dans le besoin ?	Ils vendirent leurs biens et leurs possessions et les distribuèrent à tous, selon les besoins de chacun.

2:46	mu6c				Où les croyants se réunissaient-ils à cette époque ?	Les croyants se réunissaient dans le Temple.

2:47	po4s				Qui s'ajoutait jour après jour au groupe des croyants ?	Le Seigneur ajoutait jour après jour ceux qui étaient sauvés.

