1:1	hfmm				A qui Jacques a-t-il écrit cette lettre ?	Jacques a écrit cette lettre aux douze tribus qui ont été dispersées.

1:2	zycm				Lorsque vous rencontrez des difficultés, quelle attitude ses lecteurs doivent-ils adopter, selon Jacques ?	Jacques dit qu'il faut se réjouir des difficultés rencontrées.

1:3	s4qd				Que produit l'épreuve de notre foi ?	La mise à l'épreuve de notre foi produit de l'endurance.

1:5	jk2m				Car que devons-nous demander à Dieu si nous en avons besoin ?	Nous devrions demander à Dieu la sagesse si nous en avons besoin.

1:6	s23b				A quoi ressemble un sceptique ?	Quelqu'un qui doute est comme une vague dans la mer qui est ballottée par le vent.

1:7-8	wg4z				Que doit s'attendre à recevoir celui qui demande en doutant ?	Quelqu'un qui demande en doutant ne doit pas s'attendre à recevoir quelque chose du Seigneur.

1:10	u52h				Pourquoi les riches devraient-ils être humbles ?	Le riche doit être humble car il passera comme les fleurs.

1:11	a2s9				A quoi peut-on comparer les riches ?	Le riche peut être comparé à la fleur de l'herbe qui se dessèche, tombe et périt.

1:12	od29				Ceux qui passent le test de la foi recevront quoi ?	Ceux qui réussissent l'épreuve de la foi recevront la couronne de la vie.

1:14	x6ab				Qu'est-ce qui fait qu'une personne est tentée par le mal ?	Les mauvais désirs d'une personne la poussent à être tentée par le mal.

1:15	vd5u				Quel est le résultat du péché à l'état adulte ?	Le résultat du péché à l'état adulte est la mort.

1:17	i17z				Qu'est-ce qui descend du Père des lumières ?	Tout bon don et tout don parfait descendent du Père des lumières.

1:18	eqtc				Par quel moyen Dieu a-t-il choisi de nous donner la vie ?	Dieu a choisi de nous donner la vie par la parole de vérité.

1:19	d5qw				Que nous dit Jacques à propos de notre ouïe, de notre parole et de nos émotions ?	Jacques nous dit d'être prompt à entendre, lent à parler et lent à la colère.

1:22	cqtx				Comment Jacques dit-il que nous pouvons nous tromper nous-mêmes ?	Jacques dit que nous pouvons nous tromper nous-mêmes en entendant la parole et en ne la mettant pas en pratique.

1:26	gjxc				Qu'est-ce qui doit être contrôlé pour que nous soyons vraiment religieux ?	La langue doit être contrôlée pour que nous soyons vraiment religieux.

1:27	waey				Qu'est-ce que la religion pure et non souillée devant Dieu ?	La religion pure et non souillée devant Dieu consiste à visiter les orphelins et les veuves, et à se protéger de la corruption du monde.

2:1	shcx				Quelle attitude les croyants ne doivent-ils pas avoir ?	Ils ne doivent pas avoir une attitude de favoritisme.

2:3	r2in				Que disent les croyants à un homme riche qui entre dans leur réunion ?	Ils lui disent de venir devant, au meilleur endroit.

2:3	xoj5				Que disent les croyants à un pauvre homme qui entre dans leur réunion ?	Ils lui disent de se tenir loin ou dans un mauvais endroit.

2:4	xhf4				Que sont devenus les croyants à cause de leur favoritisme ?	Ils sont devenus des juges des mauvaises pensées.

2:5	zgpo				Que dit Jacques à propos du choix de Dieu pour les pauvres ?	Jacques dit que Dieu a choisi les pauvres pour qu'ils soient riches dans la foi et qu'ils héritent du royaume.

2:6-7	q92n				Qu'est-ce que Jacques dit que les riches ont fait ?	Jacques dit que les riches ont opprimé les frères et blasphémé le nom de Dieu.

2:8	vce9				Quelle est la loi royale des Écritures ?	La loi royale est : "Tu aimeras ton prochain comme toi-même".

2:10	bb6b				Quiconque enfreint un point de la loi de Dieu est coupable de quoi ?	Celui qui enfreint un seul point de la loi de Dieu est coupable d'enfreindre toute la loi.

2:13	er1a				Qu'arrive-t-il à ceux qui n'ont pas fait preuve de miséricorde ?	Le jugement sans miséricorde vient à ceux qui n'ont pas fait preuve de miséricorde.

2:14	pr7g				Que dit Jacques à propos de ceux qui prétendent avoir la foi, mais qui n'aident pas ceux qui sont dans le besoin ?	Jacques dit que ceux qui prétendent avoir la foi mais n'aident pas ceux qui sont dans le besoin ont une foi qui ne peut les sauver.

2:16	gdhh				Cela aide-t-il un pauvre si nous lui disons de se réchauffer et de se remplir, mais que nous ne lui donnons rien ?	Non, cela n'aide pas une personne pauvre si nous ne lui donnons rien pour la réchauffer ou la nourrir.

2:17	fpr8				Qu'est-ce que la foi par elle-même, si elle n'a pas d'œuvres ?	La foi par elle-même, si elle n'a pas d'œuvres, est morte.

2:18	r57z				Comment Jacques dit-il que nous devons montrer notre foi ?	Jacques dit que nous devons montrer notre foi par nos œuvres.

2:19	felv				Que croient les démons et ceux qui prétendent avoir la foi ?	Ceux qui prétendent avoir la foi et les démons croient tous deux qu'il y a un seul Dieu.

2:21	cex0				Comment Abraham a-t-il démontré sa foi par ses œuvres ?	Abraham a démontré sa foi par ses œuvres lorsqu'il a offert Isaac sur l'autel.

2:22	mshq				Comment la foi d'Abraham a-t-elle été perfectionnée ?	La foi d'Abraham a été perfectionnée par ses œuvres.

2:23	fs91				Quelle Écriture a été accomplie avec la foi et les œuvres d'Abraham ?	L'Écriture s'est accomplie : "Abraham a cru en Dieu, et cela lui a été crédité comme justice".

2:25	eoxe				Comment Rahab a-t-elle démontré sa foi par ses œuvres ?	Rahab a démontré sa foi par ses œuvres lorsqu'elle a accueilli les messagers et les a renvoyés par une autre route.

2:26	nfj5				Qu'est-ce qu'un corps en dehors de l'esprit ?	Un corps séparé de l'esprit est mort.

3:1	v31b				Pourquoi Jacques dit-il que peu de gens devraient devenir enseignants ?	Peu de gens devraient devenir enseignants, car ils recevront un plus grand jugement.

3:2	ef6y				Qui trébuche, et de combien de façons ?	Nous trébuchons tous de bien des façons.

3:2	ns4x				Quel genre de personne est capable de contrôler tout son corps ?	Une personne qui ne trébuche pas dans ses paroles est également capable de contrôler tout son corps.

3:3	sfjt				Quelle petite chose est capable de diriger un grand navire là où le pilote veut qu'il aille ?	Un petit gouvernail est capable de diriger un grand navire.

3:4	s8n4				Quelle petite chose est capable d'allumer un grand feu dans une forêt ?	Un petit feu est capable de déclencher un grand incendie dans une forêt.

3:6	ebm5				Qu'est-ce que la langue pécheresse est capable de faire à tout le corps ?	La langue pécheresse est capable de souiller le corps entier.

3:8	yjfd				Qu'est-ce que personne parmi les hommes n'a pu apprivoiser ?	Personne parmi les hommes n'a réussi à dompter la langue.

3:9	av25				De quelles deux façons les gens traitent-ils Dieu et les hommes avec leur langue ?	D'une seule langue, ils bénissent Dieu et maudissent les hommes.

3:11	id89				Quelles sont les deux choses qu'un ressort ne peut pas fournir ?	Une source ne peut fournir à la fois de l'eau douce et de l'eau amère.

3:13	gkvc				Comment une personne fait-elle preuve de sagesse et de compréhension ?	Une personne fait preuve de sagesse et de compréhension par ses œuvres réalisées dans l'humilité.

3:15	ci1j				Quelle sorte de sagesse pousse une personne à être jalouse et ambitieuse, et à mentir ?	La sagesse terrestre, spirituelle et démoniaque rend jaloux et ambitieux, et incite à mentir.

3:16	aj54				Qu'est-ce qui résulte de la jalousie et de l'ambition ?	La jalousie et l'ambition sont à l'origine de l'instabilité et de toute mauvaise action.

3:17	skge				Quelles attitudes reflètent une sagesse d'en haut ?	Une personne qui aime la paix, qui est douce, chaleureuse, pleine de miséricorde et de bons fruits, sans favoritisme et sincère a la sagesse d'en haut.

4:1	fjgf				Selon Jacques, quelle est la source des querelles et des disputes entre les croyants ?	La source en est les mauvais désirs qui se font la guerre entre eux.

4:3	ohar				Pourquoi les croyants ne reçoivent-ils pas leurs demandes à Dieu ?	Ils ne reçoivent pas parce qu'ils demandent de mauvaises choses à dépenser pour leurs mauvais désirs.

4:4	cwrc				Si une personne décide d'être un ami du monde, quelle est la relation de cette personne avec Dieu ?	Une personne qui décide d'être l'ami du monde se rend ennemi de Dieu.

4:6	yy3h				A qui Dieu résiste-t-il, et à qui fait-il grâce ?	Dieu résiste aux orgueilleux, mais fait grâce aux humbles.

4:7	gzwe				Que fera le diable lorsqu'un croyant se soumet à Dieu et résiste au diable ?	Le diable s'enfuira.

4:8	c3fr				Que fera Dieu pour ceux qui s'approchent de lui ?	Dieu s'approchera de ceux qui s'approchent de lui.

4:11	e4nr				Que dit Jacques aux croyants de ne pas faire ?	Jacques dit aux croyants de ne pas parler les uns contre les autres.

4:15	wedj				Que dit Jacques aux croyants à propos de ce qui se passera dans le futur ?	Jacques dit aux croyants de dire que si le Seigneur le permet, nous allons vivre et faire ceci ou cela.

4:16	iiz3				Que dit Jacques à propos de ceux qui se vantent de leurs projets ?	Jacques dit que ceux qui se vantent de leurs projets font le mal.

4:17	gy3y				Qu'en est-il si quelqu'un sait qu'il faut faire le bien, mais ne le fait pas ?	C'est un péché si quelqu'un sait qu'il faut faire le bien, mais ne le fait pas.

5:3	akso				Qu'ont fait les riches, dont parle Jacques, dans les derniers jours, qui témoignera contre eux ?	Les riches ont amassé leur trésor.

5:4	l7o1				Comment ces riches ont-ils traité leurs travailleurs ?	Ces riches n'ont pas payé leurs travailleurs.

5:6	add4				Comment ces riches ont-ils traité le juste ?	Ces riches ont condamné et tué le juste.

5:7	h3jr				Selon Jacques, quelle doit être l'attitude du croyant face à la venue du Seigneur ?	Les croyants doivent attendre patiemment la venue du Seigneur.

5:8	tl7n				Pourquoi les croyants devraient-ils fortifier leur cœur en attendant patiemment la venue du Seigneur ?	Ils doivent renforcer leurs cœurs car la venue du Seigneur est proche.

5:10	htuc				Que doivent devenir pour nous la souffrance et la patience des prophètes de l'Ancien Testament ?	La souffrance et la patience des prophètes de l'Ancien Testament doivent devenir un exemple pour nous.

5:11	mdqn				Quel trait de caractère positif Job a-t-il démontré ?	Le travail a démontré son endurance.

5:12	n35b				Que dit Jacques à propos de la fiabilité des "oui" et des "non" d'un croyant ?	Le "oui" d'un croyant doit signifier "oui" et son "non" doit signifier "non".

5:14	fdup				Que doivent faire ceux qui sont malades ?	Le malade doit appeler les anciens pour qu'ils prient sur lui et l'oignent d'huile.

5:16	zww3				Quelles sont les deux choses que Jacques dit que les croyants devraient faire les uns avec les autres afin d'être guéris ?	Les croyants doivent se confesser les uns aux autres et prier les uns pour les autres.

5:17	h5vg				Que s'est-il passé quand Elie a prié pour qu'il ne pleuve pas ?	Il n'a pas plu sur la terre pendant trois ans et six mois.

5:18	ws26				Que s'est-il passé quand Elie a prié à nouveau, cette fois pour la pluie ?	Lorsqu'il pria à nouveau, le ciel donna de la pluie et la terre produisit des fruits.

5:20	c28q				Qu'accomplit celui qui conduit un pécheur hors de l'erreur de sa voie ?	La personne qui conduit un pécheur hors de l'erreur de sa voie sauve une âme de la mort et couvre une multitude de péchés.
