1:1	v5pt				A qui Paul a-t-il adressé cette lettre ?	Paul a adressé cette lettre à tous ceux qui sont mis à part dans le Christ Jésus à Philippes, y compris les surveillants et les diacres.

1:5	g0p6				Pour quoi Paul a-t-il rendu grâce à Dieu pour les Philippiens ?	Paul a rendu grâce à Dieu pour la communion des Philippiens dans l'Évangile depuis le premier jour jusqu'à maintenant.

1:6	qyug				De quoi Paul était-il confiant à l'égard des Philippiens ?	Paul était convaincu que celui qui avait commencé une bonne œuvre en eux l'achèverait.

1:7	nn5a				Dans quoi les Philippiens avaient-ils été les partenaires de Paul ?	Dans l'emprisonnement de Paul, dans sa défense et sa confirmation de l'Évangile, les Philippiens avaient été ses partenaires.

1:9	i559				Qu'est-ce que Paul a prié pour que le nombre de Philippiens augmente de plus en plus ?	Paul a prié pour que l'amour augmente de plus en plus parmi les Philippiens.

1:11	pzs8				De quoi Paul souhaitait-il que les Philippiens soient remplis ?	Paul souhaite que les Philippiens soient remplis des fruits de la justice.

1:12-14	gdhi				Comment l'emprisonnement de Paul a-t-il fait progresser l'évangile ?	L'emprisonnement de Paul pour le Christ était devenu largement connu, et la plupart des frères parlaient maintenant avec plus d'audace.

1:17	qqp5				Pourquoi certains annonçaient-ils le Christ pour des motifs égoïstes et non sincères ?	Certains annonçaient le Christ pour des motifs égoïstes et non sincères, pensant qu'ils ajoutaient à l'affliction de Paul en prison.

1:18	m7cv				Quelle a été la réaction de Paul face à la prédication sincère et non sincère du Christ ?	Paul s'est réjoui du fait que, de toute façon, le Christ était proclamé.

1:20	mwia				Que voulait faire Paul dans la vie ou dans la mort ?	Paul désirait apporter la gloire au Christ soit dans la vie, soit par la mort.

1:21	ssns				Paul a dit que vivre, c'est quoi, et mourir, c'est quoi ?	Paul a dit que vivre, c'est le Christ, et mourir, c'est gagner.

1:22-24	vjr2				Quels choix ont tiré Paul dans des directions différentes ?	Paul était tiraillé par le choix d'être avec le Christ dans la mort ou de rester dans la chair pour continuer son travail.

1:25	wciu				Dans quel but Paul était-il confiant qu'il resterait avec les Philippiens ?	Paul était confiant qu'il resterait avec les Philippiens pour leur progrès et leur joie dans la foi.

1:27	zd8v				Que ce soit avec les Philippiens ou loin d'eux, qu'est-ce que Paul voulait entendre sur les Philippiens ?	Paul voulait entendre que les Philippiens restaient fermes dans un même esprit, d'une même âme, luttant ensemble pour la foi de l'Évangile.

1:28	qv5m				Lorsque les Philippiens ne craignaient pas ceux qui s'opposaient à eux, de quoi s'agissait-il ?	Lorsque les Philippiens ne craignaient pas ceux qui s'opposaient à eux, c'était un signe de la destruction de leurs adversaires, mais du salut des croyants.

1:29	sd8l				Quelles sont les deux choses qui ont été accordées aux Philippiens par Dieu ?	Il avait été accordé aux Philippiens qu'ils croient au Christ, mais aussi qu'ils souffrent en son nom.

2:2	mm4l				Qu'est-ce que Paul dit que les Philippiens doivent faire pour que sa joie soit complète ?	Les Philippiens doivent avoir le même esprit, avoir le même amour, être unis en esprit et en pensée.

2:3	etup				Comment Paul dit-il que les Philippiens doivent se considérer les uns les autres ?	Les Philippiens devraient considérer les autres comme meilleurs qu'eux-mêmes.

2:5-6	vyrj				De quel esprit Paul dit-il que nous devons avoir ?	Paul dit que nous devons avoir l'esprit de Jésus-Christ.

2:6	pasu				Sous quelle forme le Christ Jésus a-t-il existé ?	Le Christ Jésus a existé sous la forme de Dieu.

2:7	d1nd				Quelle forme le Christ Jésus a-t-il alors prise ?	Le Christ Jésus a alors pris la forme d'un serviteur, sous l'apparence d'un homme.

2:8	onkd				Comment Jésus s'est-il humilié ?	Jésus s'est humilié en obéissant jusqu'à la mort sur la croix.

2:9	qzz9				Qu'est-ce que Dieu a fait alors pour Jésus ?	Dieu a hautement exalté Jésus et lui a donné le nom au-dessus de tout nom.

2:11	r2q5				Que confessera chaque langue ?	Toute langue confessera que Jésus-Christ est Seigneur.

2:12	dwej				Comment les Philippiens sont-ils appelés à accomplir leur salut ?	Les Philippiens doivent travailler à leur salut avec crainte et tremblement.

2:13	g0xe				Qu'est-ce que Dieu travaille dans les croyants pour faire ?	Dieu agit dans les croyants à la fois pour vouloir et pour travailler selon son bon plaisir.

2:14	v65j				Tout doit être fait sans quoi ?	Tout doit être fait sans se plaindre ni se disputer.

2:17	rrv1				Dans quel but Paul déverse-t-il sa vie ?	Paul déverse sa vie dans le sacrifice et le service de la foi des Philippiens.

2:20	dglx				Pourquoi Timothée est-il un auxiliaire unique pour Paul ?	Timothée est unique parce qu'il se soucie vraiment des Philippiens.

2:24	fy7y				Paul s'attend-il à voir les Philippiens ?	Oui, Paul s'attend à voir les Philippiens bientôt.

2:30	k689				Pour quoi Epaphrodite a-t-il failli mourir ?	Epaphrodite a failli mourir en accomplissant l'œuvre du Christ, en servant Paul et en répondant à ses besoins.

3:2	ylu8				De qui Paul avertit-il les croyants de se méfier ?	Paul avertit les croyants de se méfier des chiens, des mauvais ouvriers et des mutilateurs.

3:3	qgbe				Qui sont les vrais circoncis, selon Paul ?	Paul dit que les vrais circoncis sont ceux qui adorent dans l'Esprit de Dieu, se glorifient dans le Christ Jésus, et n'ont aucune confiance dans la chair.

3:6	jsnk				Comment Paul décrit-il sa conduite antérieure en ce qui concerne la justice de la loi ?	Paul décrit sa conduite antérieure comme étant irréprochable au regard de la justice de la loi.

3:7	ieyj				Comment Paul considère-t-il maintenant sa confiance antérieure dans la chair ?	Paul considère maintenant que toute sa confiance antérieure dans la chair est sans valeur à cause du Christ.

3:8	jzfo				Dans quel but Paul considère-t-il maintenant toutes les choses précédentes comme des déchets ?	Paul considère toutes les choses précédentes comme des déchets afin de pouvoir gagner le Christ.

3:9	easa				Quelle justice Paul possède-t-il maintenant ?	Paul a maintenant la justice de Dieu qui est par la foi en Christ.

3:10	c5cv				En quoi Paul est-il en communion avec le Christ ?	Paul a la communion des souffrances du Christ.

3:12	iktp				Bien qu'il ne soit pas encore terminé, qu'est-ce que Paul continue à faire ?	Paul poursuit la perfection pour saisir la raison pour laquelle Jésus l'a saisi.

3:14	nqy3				Vers quel objectif Paul se dirige-t-il ?	Paul s'efforce d'atteindre le but, afin de gagner le prix de la vocation élevée de Dieu dans le Christ Jésus.

3:17	onyo				Que dit Paul aux Philippiens à propos de l'exemple de sa démarche ?	Paul demande aux Philippiens de le rejoindre et de l'imiter dans sa démarche.

3:19	ujgt				Quel est le destin de ceux dont le dieu est leur ventre et qui pensent aux choses terrestres ?	Ceux dont le dieu est leur ventre et qui pensent aux choses terrestres sont destinés à la destruction.

3:20	r8z5				Où Paul dit-il que se trouve la citoyenneté des croyants ?	Paul dit que la citoyenneté des croyants est au ciel.

3:21	m90c				Que fera le Christ aux corps des croyants lorsqu'il viendra du ciel ?	Le Christ transformera les corps humbles des croyants en corps formés comme son corps glorieux.

4:1	lmuj				Que veut Paul que ses amis bien-aimés de Philippes fassent ?	Paul veut que les Philippiens restent fermes dans le Seigneur.

4:2	oafh				Qu'est-ce que Paul souhaite voir se passer avec Euodia et Syntyche ?	Paul souhaite qu'Euodia et Syntyche aient le même esprit dans le Seigneur.

4:4	l4i8				Qu'est-ce que Paul dit aux Philippiens de toujours faire ?	Paul leur dit de se réjouir toujours dans le Seigneur.

4:6	minr				Au lieu d'être anxieux, que dit Paul de faire ?	Paul dit qu'au lieu d'être inquiets, nous devons dire à Dieu dans la prière ce dont nous avons besoin, et le remercier.

4:7	ytr6				Si nous faisons cela, qu'est-ce qui gardera nos cœurs et nos pensées ?	Si nous faisons cela, la paix de Dieu gardera nos cœurs et nos pensées.

4:8	sta3				Sur quels types de choses Paul dit-il de réfléchir ?	Paul dit qu'il faut penser aux choses qui sont honorables, justes, pures, charmantes, de bonne réputation, excellentes et dignes de louanges.

4:10	i20a				Qu'est-ce que les Philippiens ont maintenant pu renouveler ?	Les Philippiens ont maintenant pu renouveler leur intérêt pour Paul.

4:11-12	gk7e				Quel secret Paul a-t-il appris pour vivre dans des circonstances différentes ?	Paul a appris le secret de la satisfaction de vivre à la fois dans l'abondance et dans le besoin.

4:13	gh6b				Par quel pouvoir Paul peut-il vivre dans la joie ?	Paul peut vivre avec satisfaction en toutes circonstances grâce au Christ, qui le fortifie.

4:17	kjry				Que cherche Paul dans les dons des Philippiens pour subvenir à ses besoins ?	Paul recherche le fruit qui augmente sur le compte des Philippiens.

4:18	mnvi				Comment Dieu considère-t-il le don fait par les Philippiens à Paul ?	Dieu est heureux du cadeau que les Philippiens ont fait à Paul.

4:19	m6vc				Qu'est-ce que Paul dit que Dieu fera pour les Philippiens ?	Paul dit que Dieu pourvoira à tous les besoins des Philippiens selon sa richesse en gloire dans le Christ Jésus.

4:22	j5w3				Paul dit que ceux de quelle maison saluent les Philippiens ?	Ceux de la maison de César saluent les Philippiens.
