1:1-2	v2r2				Par quel moyen Dieu avait-il promis l'évangile avant l'époque de Paul ?	Dieu avait promis l'évangile auparavant par ses prophètes dans les saintes écritures.

1:3	bgxw				Le Fils de Dieu est né de quelle descendance selon la chair ?	Le Fils de Dieu est né de la descendance de David selon la chair.

1:4	wcya				Par quel événement Jésus-Christ a-t-il été déclaré Fils de Dieu ?	Jésus-Christ a été déclaré Fils de Dieu par la résurrection des morts.

1:5	ojj9				Dans quel but Paul a-t-il reçu la grâce et l'apostolat du Christ ?	Paul a reçu la grâce et l'apostolat pour l'obéissance de la foi parmi toutes les nations.

1:8	tl8v				Pourquoi Paul remercie-t-il Dieu pour les croyants de Rome ?	Paul remercie Dieu parce que leur foi est proclamée dans le monde entier.

1:11	kccq				Pourquoi Paul désire-t-il voir les croyants de Rome ?	Paul désire les voir pour leur donner quelque don spirituel afin de les établir.

1:13	m3aj				Pourquoi Paul n'avait-il pas pu rendre visite aux croyants de Rome jusqu'à présent ?	Jusqu'à présent, Paul n'avait pas pu lui rendre visite car il était gêné.

1:16	brj1				Que dit Paul de l'évangile ?	Paul dit que l'Évangile est la puissance de Dieu pour le salut de quiconque croit.

1:17	qpkd				Quel texte biblique Paul cite-t-il concernant la façon dont les justes vivront ?	Paul cite l'Écriture : "Le juste vivra par la foi".

1:18-19	smxu				Que font les impies et les injustes alors que ce qui est connu de Dieu leur est visible ?	Les impies et les injustes retiennent la vérité, même si ce qui est connu de Dieu leur est visible.

1:20	m0f7				Comment les choses invisibles de Dieu sont-elles clairement visibles ?	Les choses invisibles de Dieu sont clairement visibles à travers les choses créées.

1:20	ugju				Quelles caractéristiques de Dieu sont clairement visibles ?	La puissance éternelle et la nature divine de Dieu sont clairement visibles.

1:21	r8i9				Qu'arrive-t-il aux pensées et aux cœurs de ceux qui ne glorifient pas Dieu et ne lui rendent pas grâce ?	Ceux qui ne glorifient pas Dieu et ne lui rendent pas grâce deviennent fous dans leurs pensées et leur cœur s'obscurcit.

1:24	c9c3				Que fait Dieu à ceux qui échangent sa gloire contre les images d'hommes et d'animaux périssables ?	Dieu les livre aux convoitises de leur cœur pour les rendre impurs, pour que leur corps soit déshonoré entre eux.

1:26-27	f9b7				Pour quelles passions déshonorantes ces femmes et ces hommes brûlent-ils dans leur convoitise ?	Les femmes brûlent de désir pour l'autre, et les hommes brûlent de désir pour l'autre.

1:28	ox10				Que fait Dieu à ceux qui n'approuvent pas de l'avoir dans leur conscience ?	Dieu les livre à un esprit dépravé, pour faire ces choses qui ne sont pas appropriées.

1:29	y57z				Quelles sont certaines des caractéristiques de ceux qui ont un esprit dépravé ?	Ceux qui ont un esprit dépravé sont pleins d'envie, de meurtres, de querelles, de tromperies et de mauvaises intentions.

1:32	yjx3				Que comprennent ceux qui ont un esprit dépravé des exigences de Dieu ?	Ceux qui ont un esprit dépravé comprennent que ceux qui pratiquent de telles choses sont dignes de la mort.

